Anderson, Calvin Coolidge, Republican, 69.05
Bedford, John W Davis, Democrat, 64.6
Benton, John W Davis, Democrat, 58.92
Bledsoe, Calvin Coolidge, Republican, 58.28
Blount, Calvin Coolidge, Republican, 72.57
Bradley, Calvin Coolidge, Republican, 63.04
Campbell, Calvin Coolidge, Republican, 73.78
Cannon, John W Davis, Democrat, 66.17
Carroll, Calvin Coolidge, Republican, 51.54
Carter, Calvin Coolidge, Republican, 86.33
Cheatham, John W Davis, Democrat, 81.2
Chester, John W Davis, Democrat, 60.25
Claiborne, Calvin Coolidge, Republican, 59.97
Clay, John W Davis, Democrat, 56.8
Cocke, Calvin Coolidge, Republican, 73.13
Coffee, John W Davis, Democrat, 75.52
Crockett, John W Davis, Democrat, 65.8
Cumberland, Calvin Coolidge, Republican, 58.61
Davidson, John W Davis, Democrat, 65.69
Decatur, John W Davis, Democrat, 51.71
DeKalb, John W Davis, Democrat, 56.16
Dickson, John W Davis, Democrat, 72.38
Dyer, John W Davis, Democrat, 82.57
Fayette, John W Davis, Democrat, 92.63
Fentress, Calvin Coolidge, Republican, 70.16
Franklin, John W Davis, Democrat, 73.03
Gibson, John W Davis, Democrat, 74.97
Giles, John W Davis, Democrat, 76.94
Grainger, Calvin Coolidge, Republican, 68.8
Greene, Calvin Coolidge, Republican, 55.63
Grundy, John W Davis, Democrat, 51.37
Hamblen, Calvin Coolidge, Republican, 49.48
Hamilton, Calvin Coolidge, Republican, 50.18
Hancock, Calvin Coolidge, Republican, 76.72
Hardeman, John W Davis, Democrat, 83.52
Hardin, Calvin Coolidge, Republican, 65.39
Hawkins, Calvin Coolidge, Republican, 61.22
Haywood, John W Davis, Democrat, 96.15
Henderson, Calvin Coolidge, Republican, 60.34
Henry, John W Davis, Democrat, 77.36
Hickman, John W Davis, Democrat, 73.29
Houston, John W Davis, Democrat, 76.82
Humphreys, John W Davis, Democrat, 79.89
Jackson, John W Davis, Democrat, 74.69
Jefferson, Calvin Coolidge, Republican, 78.39
Johnson, Calvin Coolidge, Republican, 91.35
Knox, Calvin Coolidge, Republican, 56.41
Lake, John W Davis, Democrat, 89.39
Lauderdale, John W Davis, Democrat, 85.44
Lawrence, Calvin Coolidge, Republican, 51.45
Lewis, John W Davis, Democrat, 58.94
Lincoln, John W Davis, Democrat, 85.67
Loudon, Calvin Coolidge, Republican, 66.48
Macon, Calvin Coolidge, Republican, 71.97
Madison, John W Davis, Democrat, 69.4
Marion, Calvin Coolidge, Republican, 48.55
Marshall, John W Davis, Democrat, 81.34
Maury, John W Davis, Democrat, 76.06
McMinn, Calvin Coolidge, Republican, 58.85
McNairy, Calvin Coolidge, Republican, 58.54
Meigs, Calvin Coolidge, Republican, 52.77
Monroe, Calvin Coolidge, Republican, 52.56
Montgomery, John W Davis, Democrat, 66.1
Moore, John W Davis, Democrat, 91.62
Morgan, Calvin Coolidge, Republican, 62.78
Obion, John W Davis, Democrat, 85.51
Overton, John W Davis, Democrat, 61.85
Perry, John W Davis, Democrat, 64.49
Pickett, Calvin Coolidge, Republican, 51.06
Polk, Calvin Coolidge, Republican, 51.3
Putnam, John W Davis, Democrat, 61.47
Rhea, John W Davis, Democrat, 48.59
Roane, Calvin Coolidge, Republican, 63.25
Robertson, John W Davis, Democrat, 85.5
Rutherford, John W Davis, Democrat, 75.01
Scott, Calvin Coolidge, Republican, 77.71
Sequatchie, John W Davis, Democrat, 59.74
Sevier, Calvin Coolidge, Republican, 88.17
Shelby, John W Davis, Democrat, 59.37
Smith, John W Davis, Democrat, 69.86
Stewart, John W Davis, Democrat, 82.57
Sullivan, John W Davis, Democrat, 58.9
Sumner, John W Davis, Democrat, 84.25
Tipton, John W Davis, Democrat, 87.98
Trousdale, John W Davis, Democrat, 82.31
Unicoi, Calvin Coolidge, Republican, 72.57
Union, Calvin Coolidge, Republican, 78.37
Van Buren, John W Davis, Democrat, 73.91
Warren, John W Davis, Democrat, 72.17
Washington, Calvin Coolidge, Republican, 62.87
Wayne, Calvin Coolidge, Republican, 75.24
Weakley, John W Davis, Democrat, 72.78
White, John W Davis, Democrat, 70.17
Williamson, John W Davis, Democrat, 84.86
Wilson, John W Davis, Democrat, 76.78
