Adair, Calvin Coolidge, Republican, 53.4
Allen, Calvin Coolidge, Republican, 56.52
Anderson, John W Davis, Democrat, 58.65
Ballard, John W Davis, Democrat, 78.22
Barren, John W Davis, Democrat, 55.46
Bath, John W Davis, Democrat, 54.55
Bell, Calvin Coolidge, Republican, 68.02
Boone, John W Davis, Democrat, 59.86
Bourbon, John W Davis, Democrat, 51.43
Boyd, Calvin Coolidge, Republican, 55.55
Boyle, John W Davis, Democrat, 51.42
Bracken, Calvin Coolidge, Republican, 51.67
Breathitt, John W Davis, Democrat, 62.19
Breckinridge, Calvin Coolidge, Republican, 53.37
Bullitt, John W Davis, Democrat, 62.49
Butler, Calvin Coolidge, Republican, 68.18
Caldwell, Calvin Coolidge, Republican, 51.45
Calloway, John W Davis, Democrat, 77.63
Campbell, Calvin Coolidge, Republican, 49.44
Carlisle, John W Davis, Democrat, 81.58
Carroll, John W Davis, Democrat, 62.85
Carter, Calvin Coolidge, Republican, 61.5
Casey, Calvin Coolidge, Republican, 63.03
Christian, Calvin Coolidge, Republican, 51.77
Clark, John W Davis, Democrat, 58.18
Clay, Calvin Coolidge, Republican, 74.08
Clinton, Calvin Coolidge, Republican, 78.7
Crittenden, Calvin Coolidge, Republican, 56.75
Cumberland, Calvin Coolidge, Republican, 69.6
Daviess, John W Davis, Democrat, 52.1
Edmonson, Calvin Coolidge, Republican, 63.54
Elliott, John W Davis, Democrat, 72.52
Estill, Calvin Coolidge, Republican, 48.64
Fayette, Calvin Coolidge, Republican, 52.2
Fleming, John W Davis, Democrat, 49.72
Floyd, John W Davis, Democrat, 49.23
Franklin, John W Davis, Democrat, 61.5
Fulton, John W Davis, Democrat, 77.53
Gallatin, John W Davis, Democrat, 56.57
Garrard, Calvin Coolidge, Republican, 54.63
Grant, John W Davis, Democrat, 54.03
Graves, John W Davis, Democrat, 74.04
Grayson, Calvin Coolidge, Republican, 52.16
Green, Calvin Coolidge, Republican, 55.16
Greenup, Calvin Coolidge, Republican, 47.3
Hancock, Calvin Coolidge, Republican, 48.88
Hardin, John W Davis, Democrat, 59.68
Harlan, Calvin Coolidge, Republican, 72.94
Harrison, John W Davis, Democrat, 63.4
Hart, John W Davis, Democrat, 50.29
Henderson, Calvin Coolidge, Republican, 53.67
Henry, John W Davis, Democrat, 65.43
Hickman, John W Davis, Democrat, 78.14
Hopkins, John W Davis, Democrat, 49.47
Jackson, Calvin Coolidge, Republican, 87.96
Jefferson, Calvin Coolidge, Republican, 52.53
Jessamine, John W Davis, Democrat, 51.85
Johnson, Calvin Coolidge, Republican, 61.67
Kenton, Calvin Coolidge, Republican, 44.33
Knott, John W Davis, Democrat, 71.59
Knox, Calvin Coolidge, Republican, 67.34
Larue, John W Davis, Democrat, 58.72
Laurel, Calvin Coolidge, Republican, 66.24
Lawrence, Calvin Coolidge, Republican, 50.16
Lee, Calvin Coolidge, Republican, 49.25
Leslie, Calvin Coolidge, Republican, 88.91
Letcher, Calvin Coolidge, Republican, 54.96
Lewis, Calvin Coolidge, Republican, 65.13
Lincoln, John W Davis, Democrat, 49.29
Livingston, John W Davis, Democrat, 57
Logan, John W Davis, Democrat, 55.13
Lyon, John W Davis, Democrat, 62.06
Madison, Calvin Coolidge, Republican, 51.26
Magoffin, Calvin Coolidge, Republican, 55.25
Marion, John W Davis, Democrat, 59.6
Marshall, John W Davis, Democrat, 68.63
Martin, Calvin Coolidge, Republican, 72.94
Mason, John W Davis, Democrat, 49.96
McCracken, John W Davis, Democrat, 49.08
McCreary, Calvin Coolidge, Republican, 74.98
McLean, John W Davis, Democrat, 53.64
Meade, John W Davis, Democrat, 60.98
Menifee, John W Davis, Democrat, 64.96
Mercer, Calvin Coolidge, Republican, 49.62
Metcalfe, Calvin Coolidge, Republican, 53.15
Monroe, Calvin Coolidge, Republican, 71.18
Montgomery, John W Davis, Democrat, 53.9
Morgan, John W Davis, Democrat, 64.37
Muhlenberg, Calvin Coolidge, Republican, 49.76
Nelson, John W Davis, Democrat, 64.13
Nicholas, John W Davis, Democrat, 61.66
Ohio, Calvin Coolidge, Republican, 50.65
Oldham, John W Davis, Democrat, 67.5
Owen, John W Davis, Democrat, 76.84
Owsley, Calvin Coolidge, Republican, 80.38
Pendleton, Calvin Coolidge, Republican, 49.71
Perry, Calvin Coolidge, Republican, 59.09
Pike, Calvin Coolidge, Republican, 52.13
Powell, John W Davis, Democrat, 55.6
Pulaski, Calvin Coolidge, Republican, 62.66
Robertson, John W Davis, Democrat, 57.14
Rockcastle, Calvin Coolidge, Republican, 66.24
Rowan, Calvin Coolidge, Republican, 53.6
Russell, Calvin Coolidge, Republican, 64.61
Scott, John W Davis, Democrat, 61.3
Shelby, John W Davis, Democrat, 57.39
Simpson, John W Davis, Democrat, 66.63
Spencer, John W Davis, Democrat, 57.62
Taylor, Calvin Coolidge, Republican, 52.09
Todd, John W Davis, Democrat, 57.24
Trigg, John W Davis, Democrat, 54.66
Trimble, John W Davis, Democrat, 83.09
Union, John W Davis, Democrat, 62.97
Warren, John W Davis, Democrat, 54.85
Washington, Calvin Coolidge, Republican, 50.39
Wayne, Calvin Coolidge, Republican, 54.31
Webster, John W Davis, Democrat, 51.86
Whitley, Calvin Coolidge, Republican, 68.38
Wolfe, John W Davis, Democrat, 65.59
Woodford, John W Davis, Democrat, 54.02
