Robeson, John W Davis, Democrat, 92.53
Currituck, John W Davis, Democrat, 91.16
Bertie, John W Davis, Democrat, 91.59
Northampton, John W Davis, Democrat, 91.17
Halifax, John W Davis, Democrat, 90.2
Edgecombe, John W Davis, Democrat, 89.04
Anson, John W Davis, Democrat, 90.47
Martin, John W Davis, Democrat, 89.88
Warren, John W Davis, Democrat, 88.43
Craven, John W Davis, Democrat, 88.86
Hoke, John W Davis, Democrat, 88.77
Chowan, John W Davis, Democrat, 87.39
Scotland, John W Davis, Democrat, 87.18
Franklin, John W Davis, Democrat, 86.34
Greene, John W Davis, Democrat, 85.55
Pitt, John W Davis, Democrat, 84.91
Hertford, John W Davis, Democrat, 84.8
Granville, John W Davis, Democrat, 82.37
Pender, John W Davis, Democrat, 81.31
Wilson, John W Davis, Democrat, 79.99
Vance, John W Davis, Democrat, 80.39
Lenoir, John W Davis, Democrat, 80.26
Pasquotank, John W Davis, Democrat, 79.59
Union, John W Davis, Democrat, 79.45
Jones, John W Davis, Democrat, 79.27
Richmond, John W Davis, Democrat, 76.46
Nash, John W Davis, Democrat, 76.63
New Hanover, John W Davis, Democrat, 74.8
Camden, John W Davis, Democrat, 75.56
Gates, John W Davis, Democrat, 75.87
Mecklenburg, John W Davis, Democrat, 73.73
Wake, John W Davis, Democrat, 70.77
Onslow, John W Davis, Democrat, 71.19
Lee, John W Davis, Democrat, 71.81
Wayne, John W Davis, Democrat, 70.32
Caswell, John W Davis, Democrat, 69.53
Cleveland, John W Davis, Democrat, 67.81
Cumberland, John W Davis, Democrat, 67.47
Hyde, John W Davis, Democrat, 67.04
Beaufort, John W Davis, Democrat, 65.65
Bladen, John W Davis, Democrat, 65.72
Duplin, John W Davis, Democrat, 64.93
Haywood, John W Davis, Democrat, 65.18
Perquimans, John W Davis, Democrat, 64.48
Gaston, John W Davis, Democrat, 64.24
Iredell, John W Davis, Democrat, 63.54
Orange, John W Davis, Democrat, 62.43
Pamlico, John W Davis, Democrat, 63.48
Rockingham, John W Davis, Democrat, 62.72
Columbus, John W Davis, Democrat, 62.49
Buncombe, John W Davis, Democrat, 59.93
Durham, John W Davis, Democrat, 59.34
Person, John W Davis, Democrat, 60.52
Alamance, John W Davis, Democrat, 59.48
Tyrrell, John W Davis, Democrat, 59.02
Moore, John W Davis, Democrat, 57.93
Forsyth, John W Davis, Democrat, 56.18
Caldwell, John W Davis, Democrat, 56.97
Alleghany, John W Davis, Democrat, 56.99
Rowan, John W Davis, Democrat, 52.84
Dare, John W Davis, Democrat, 56.69
Rutherford, John W Davis, Democrat, 56.51
Burke, John W Davis, Democrat, 56.46
Guilford, John W Davis, Democrat, 55.22
Cabarrus, John W Davis, Democrat, 54.6
Chatham, John W Davis, Democrat, 55.44
Carteret, John W Davis, Democrat, 54.75
Yancey, John W Davis, Democrat, 54.35
Montgomery, John W Davis, Democrat, 54.39
McDowell, John W Davis, Democrat, 53.62
Harnett, John W Davis, Democrat, 53.14
Polk, John W Davis, Democrat, 52.52
Jackson, John W Davis, Democrat, 52.5
Ashe, John W Davis, Democrat, 52.28
Lincoln, John W Davis, Democrat, 51.86
Macon, John W Davis, Democrat, 51.72
Stanly, John W Davis, Democrat, 51.26
Washington, John W Davis, Democrat, 51.25
Davidson, John W Davis, Democrat, 50.88
Transylvania, Calvin Coolidge, Republican, 50.22
Catawba, Calvin Coolidge, Republican, 50.32
Johnston, Calvin Coolidge, Republican, 51.2
Alexander, Calvin Coolidge, Republican, 51.33
Stokes, Calvin Coolidge, Republican, 51.33
Graham, Calvin Coolidge, Republican, 51.56
Watauga, Calvin Coolidge, Republican, 52.9
Surry, Calvin Coolidge, Republican, 52.67
Clay, Calvin Coolidge, Republican, 52.89
Brunswick, Calvin Coolidge, Republican, 52.79
Randolph, Calvin Coolidge, Republican, 53.89
Henderson, Calvin Coolidge, Republican, 53.73
Swain, Calvin Coolidge, Republican, 54.85
Cherokee, Calvin Coolidge, Republican, 56.73
Davie, Calvin Coolidge, Republican, 59.64
Sampson, Calvin Coolidge, Republican, 60.79
Wilkes, Calvin Coolidge, Republican, 63.02
Yadkin, Calvin Coolidge, Republican, 67.48
Madison, Calvin Coolidge, Republican, 67.79
Mitchell, Calvin Coolidge, Republican, 68.84
Avery, Calvin Coolidge, Republican, 85.51
