Arkansas, John W Davis, Democrat, 57.19
Ashley, John W Davis, Democrat, 63.55
Baxter, John W Davis, Democrat, 58.02
Benton, John W Davis, Democrat, 50.58
Boone, John W Davis, Democrat, 54.02
Bradley, John W Davis, Democrat, 64.44
Calhoun, John W Davis, Democrat, 74.23
Carroll, John W Davis, Democrat, 56.3
Chicot, John W Davis, Democrat, 67.43
Clark, John W Davis, Democrat, 64.03
Clay, John W Davis, Democrat, 52.54
Cleburne, John W Davis, Democrat, 63.22
Cleveland, John W Davis, Democrat, 74.94
Columbia, John W Davis, Democrat, 76.99
Conway, John W Davis, Democrat, 58.27
Craighead, John W Davis, Democrat, 61.24
Crawford, John W Davis, Democrat, 49.66
Crittenden, John W Davis, Democrat, 88.9
Cross, John W Davis, Democrat, 68.61
Dallas, John W Davis, Democrat, 71.06
Desha, John W Davis, Democrat, 55.67
Drew, John W Davis, Democrat, 63.51
Faulkner, John W Davis, Democrat, 67.35
Franklin, John W Davis, Democrat, 64.88
Fulton, John W Davis, Democrat, 67.33
Garland, John W Davis, Democrat, 52.91
Grant, John W Davis, Democrat, 73.19
Greene, John W Davis, Democrat, 59.33
Hempstead, John W Davis, Democrat, 61.98
Hot Spring, John W Davis, Democrat, 59.18
Howard, John W Davis, Democrat, 65.25
Independence, John W Davis, Democrat, 64.3
Izard, John W Davis, Democrat, 72.8
Jackson, John W Davis, Democrat, 69.37
Jefferson, John W Davis, Democrat, 61.48
Johnson, John W Davis, Democrat, 65.46
Lafayette, John W Davis, Democrat, 64.86
Lawrence, John W Davis, Democrat, 61.19
Lee, John W Davis, Democrat, 64.77
Lincoln, John W Davis, Democrat, 76.29
Little River, John W Davis, Democrat, 62.9
Logan, John W Davis, Democrat, 49.85
Lonoke, John W Davis, Democrat, 71.52
Madison, John W Davis, Democrat, 49.52
Marion, John W Davis, Democrat, 63.07
Miller, John W Davis, Democrat, 63.56
Mississippi, John W Davis, Democrat, 72.1
Monroe, John W Davis, Democrat, 66.04
Montgomery, John W Davis, Democrat, 48.87
Nevada, John W Davis, Democrat, 55.69
Newton, Calvin Coolidge, Republican, 61.23
Ouachita, John W Davis, Democrat, 57.01
Perry, John W Davis, Democrat, 48.86
Phillips, John W Davis, Democrat, 77.27
Pike, John W Davis, Democrat, 61.82
Poinsett, John W Davis, Democrat, 68.6
Polk, John W Davis, Democrat, 54.14
Pope, John W Davis, Democrat, 70.08
Prairie, John W Davis, Democrat, 61.81
Pulaski, John W Davis, Democrat, 59.3
Randolph, John W Davis, Democrat, 63.91
St. Francis, John W Davis, Democrat, 66.26
Saline, John W Davis, Democrat, 72.99
Scott, John W Davis, Democrat, 53.81
Searcy, Calvin Coolidge, Republican, 60.33
Sebastian, John W Davis, Democrat, 52.54
Sevier, John W Davis, Democrat, 63.03
Sharp, John W Davis, Democrat, 73.27
Stone, John W Davis, Democrat, 59.38
Union, John W Davis, Democrat, 73.59
Van Buren, John W Davis, Democrat, 63.85
Washington, John W Davis, Democrat, 55.87
White, John W Davis, Democrat, 60.69
Woodruff, John W Davis, Democrat, 72.78
Yell, John W Davis, Democrat, 75.34
