Adams, John W Davis, Democrat, 53.38
Allen, Calvin Coolidge, Republican, 54.12
Bartholomew, Calvin Coolidge, Republican, 56.62
Benton, Calvin Coolidge, Republican, 58.14
Blackford, Calvin Coolidge, Republican, 51.1
Boone, Calvin Coolidge, Republican, 52.57
Brown, John W Davis, Democrat, 60.04
Carroll, Calvin Coolidge, Republican, 53.52
Cass, Calvin Coolidge, Republican, 55.89
Clark, Calvin Coolidge, Republican, 51.7
Clay, Calvin Coolidge, Republican, 48.86
Clinton, Calvin Coolidge, Republican, 53.88
Crawford, John W Davis, Democrat, 53.57
Daviess, Calvin Coolidge, Republican, 51.42
Dearborn, Calvin Coolidge, Republican, 48.11
Decatur, Calvin Coolidge, Republican, 52.94
DeKalb, Calvin Coolidge, Republican, 54.63
Delaware, Calvin Coolidge, Republican, 61.74
Dubois, John W Davis, Democrat, 63.71
Elkhart, Calvin Coolidge, Republican, 64.5
Fayette, Calvin Coolidge, Republican, 62.16
Floyd, John W Davis, Democrat, 48.15
Fountain, Calvin Coolidge, Republican, 51.28
Franklin, John W Davis, Democrat, 52.78
Fulton, Calvin Coolidge, Republican, 55.53
Gibson, Calvin Coolidge, Republican, 49.62
Grant, Calvin Coolidge, Republican, 55.1
Greene, Calvin Coolidge, Republican, 45.93
Hamilton, Calvin Coolidge, Republican, 64.91
Hancock, John W Davis, Democrat, 50.77
Harrison, John W Davis, Democrat, 49.67
Hendricks, Calvin Coolidge, Republican, 61.02
Henry, Calvin Coolidge, Republican, 60.85
Howard, Calvin Coolidge, Republican, 60.05
Huntington, Calvin Coolidge, Republican, 51.42
Jackson, John W Davis, Democrat, 53.02
Jasper, Calvin Coolidge, Republican, 64.36
Jay, Calvin Coolidge, Republican, 52.83
Jefferson, Calvin Coolidge, Republican, 55.5
Jennings, Calvin Coolidge, Republican, 54.41
Johnson, Calvin Coolidge, Republican, 50.77
Knox, John W Davis, Democrat, 44.88
Kosciusko, Calvin Coolidge, Republican, 58.33
LaGrange, Calvin Coolidge, Republican, 63.34
Lake, Calvin Coolidge, Republican, 64.61
LaPorte, Calvin Coolidge, Republican, 61.22
Lawrence, Calvin Coolidge, Republican, 60.7
Madison, Calvin Coolidge, Republican, 57.64
Marion, Calvin Coolidge, Republican, 59.13
Marshall, Calvin Coolidge, Republican, 53.22
Martin, John W Davis, Democrat, 50.54
Miami, Calvin Coolidge, Republican, 51.49
Monroe, Calvin Coolidge, Republican, 55.22
Montgomery, Calvin Coolidge, Republican, 58.52
Morgan, Calvin Coolidge, Republican, 55.58
Newton, Calvin Coolidge, Republican, 60.37
Noble, Calvin Coolidge, Republican, 55.72
Ohio, John W Davis, Democrat, 50.26
Orange, Calvin Coolidge, Republican, 56.04
Owen, John W Davis, Democrat, 48.19
Parke, Calvin Coolidge, Republican, 59.12
Perry, John W Davis, Democrat, 53.25
Pike, Calvin Coolidge, Republican, 48.78
Porter, Calvin Coolidge, Republican, 67.76
Posey, Calvin Coolidge, Republican, 48.82
Pulaski, Calvin Coolidge, Republican, 55.03
Putnam, Calvin Coolidge, Republican, 49.14
Randolph, Calvin Coolidge, Republican, 64.1
Ripley, Calvin Coolidge, Republican, 49.02
Rush, Calvin Coolidge, Republican, 62.58
Scott, John W Davis, Democrat, 53.08
Shelby, Calvin Coolidge, Republican, 51.52
Spencer, John W Davis, Democrat, 48.75
St. Joseph, Calvin Coolidge, Republican, 57.65
Starke, Calvin Coolidge, Republican, 53
Steuben, Calvin Coolidge, Republican, 68.52
Sullivan, John W Davis, Democrat, 43.25
Switzerland, John W Davis, Democrat, 49.69
Tippecanoe, Calvin Coolidge, Republican, 58.4
Tipton, Calvin Coolidge, Republican, 51.33
Union, Calvin Coolidge, Republican, 58.77
Vanderburgh, Calvin Coolidge, Republican, 55.29
Vermillion, Calvin Coolidge, Republican, 49.14
Vigo, Calvin Coolidge, Republican, 52.74
Wabash, Calvin Coolidge, Republican, 60.44
Warren, Calvin Coolidge, Republican, 69.66
Warrick, Calvin Coolidge, Republican, 51.49
Washington, John W Davis, Democrat, 52.55
Wayne, Calvin Coolidge, Republican, 59.75
Wells, John W Davis, Democrat, 51.83
White, Calvin Coolidge, Republican, 56.36
Whitley, Calvin Coolidge, Republican, 54.84
