Adams, Calvin Coolidge, Republican, 40.92
Alexander, Calvin Coolidge, Republican, 58.1
Bond, Calvin Coolidge, Republican, 56.88
Boone, Calvin Coolidge, Republican, 75.37
Brown, John W Davis, Democrat, 54.46
Bureau, Calvin Coolidge, Republican, 60.38
Calhoun, Calvin Coolidge, Republican, 48.12
Carroll, Calvin Coolidge, Republican, 60.93
Cass, Calvin Coolidge, Republican, 41.23
Champaign, Calvin Coolidge, Republican, 62.81
Christian, Calvin Coolidge, Republican, 46.08
Clark, Calvin Coolidge, Republican, 51.55
Clay, Calvin Coolidge, Republican, 49.6
Clinton, Robert M La Follette, Progressive, 48.8
Coles, Calvin Coolidge, Republican, 54.9
Cook, Calvin Coolidge, Republican, 61.87
Crawford, Calvin Coolidge, Republican, 51.25
Cumberland, Calvin Coolidge, Republican, 51.09
DeWitt, Calvin Coolidge, Republican, 58.77
DeKalb, Calvin Coolidge, Republican, 76.4
Douglas, Calvin Coolidge, Republican, 55.65
DuPage, Calvin Coolidge, Republican, 72.81
Edgar, Calvin Coolidge, Republican, 52.31
Edwards, Calvin Coolidge, Republican, 69.59
Effingham, John W Davis, Democrat, 47.3
Fayette, Calvin Coolidge, Republican, 48.43
Ford, Calvin Coolidge, Republican, 70.53
Franklin, Calvin Coolidge, Republican, 39.59
Fulton, Calvin Coolidge, Republican, 48.35
Gallatin, John W Davis, Democrat, 52.12
Greene, John W Davis, Democrat, 52.35
Grundy, Calvin Coolidge, Republican, 63.97
Hamilton, John W Davis, Democrat, 52.44
Hancock, Calvin Coolidge, Republican, 51.83
Hardin, Calvin Coolidge, Republican, 49.06
Henderson, Calvin Coolidge, Republican, 72.87
Henry, Calvin Coolidge, Republican, 72.39
Iroquois, Calvin Coolidge, Republican, 64.07
Jackson, Calvin Coolidge, Republican, 49.3
Jasper, John W Davis, Democrat, 49.15
Jefferson, John W Davis, Democrat, 51.59
Jersey, John W Davis, Democrat, 49.19
Jo Daviess, Calvin Coolidge, Republican, 50.36
Johnson, Calvin Coolidge, Republican, 60.59
Kane, Calvin Coolidge, Republican, 76.34
Kankakee, Calvin Coolidge, Republican, 67.47
Kendall, Calvin Coolidge, Republican, 79.68
Knox, Calvin Coolidge, Republican, 65.89
Lake, Calvin Coolidge, Republican, 75.48
LaSalle, Calvin Coolidge, Republican, 60.47
Lawrence, Calvin Coolidge, Republican, 51.5
Lee, Calvin Coolidge, Republican, 69.36
Livingston, Calvin Coolidge, Republican, 64.53
Logan, Calvin Coolidge, Republican, 57.16
Macon, Calvin Coolidge, Republican, 60.22
Macoupin, Calvin Coolidge, Republican, 39.24
Madison, Calvin Coolidge, Republican, 47.61
Marion, Calvin Coolidge, Republican, 44.01
Marshall, Calvin Coolidge, Republican, 58.41
Mason, Calvin Coolidge, Republican, 52.72
Massac, Calvin Coolidge, Republican, 71.44
McDonough, Calvin Coolidge, Republican, 60.99
McHenry, Calvin Coolidge, Republican, 67.24
McLean, Calvin Coolidge, Republican, 55.95
Menard, Calvin Coolidge, Republican, 56.18
Mercer, Calvin Coolidge, Republican, 68.3
Monroe, Calvin Coolidge, Republican, 48.35
Montgomery, Calvin Coolidge, Republican, 47.26
Morgan, Calvin Coolidge, Republican, 55.4
Moultrie, Calvin Coolidge, Republican, 53.1
Ogle, Calvin Coolidge, Republican, 71.61
Peoria, Calvin Coolidge, Republican, 58.55
Perry, Calvin Coolidge, Republican, 39.76
Piatt, Calvin Coolidge, Republican, 64.31
Pike, John W Davis, Democrat, 49.57
Pope, Calvin Coolidge, Republican, 66.51
Pulaski, Calvin Coolidge, Republican, 61.57
Putnam, Calvin Coolidge, Republican, 61.5
Randolph, Calvin Coolidge, Republican, 41.61
Richland, Calvin Coolidge, Republican, 50.07
Rock Island, Calvin Coolidge, Republican, 57.69
Saline, Calvin Coolidge, Republican, 47.03
Sangamon, Calvin Coolidge, Republican, 51.58
Schuyler, John W Davis, Democrat, 48.43
Scott, Calvin Coolidge, Republican, 50.49
Shelby, Calvin Coolidge, Republican, 48.13
St. Clair, Calvin Coolidge, Republican, 45.85
Stark, Calvin Coolidge, Republican, 71.07
Stephenson, Calvin Coolidge, Republican, 53.27
Tazewell, Calvin Coolidge, Republican, 52.11
Union, John W Davis, Democrat, 57.44
Vermilion, Calvin Coolidge, Republican, 54.64
Wabash, Calvin Coolidge, Republican, 45.61
Warren, Calvin Coolidge, Republican, 65.07
Washington, Calvin Coolidge, Republican, 56.43
Wayne, Calvin Coolidge, Republican, 52.7
White, John W Davis, Democrat, 51.77
Whiteside, Calvin Coolidge, Republican, 74.04
Will, Calvin Coolidge, Republican, 64.16
Williamson, Calvin Coolidge, Republican, 45.27
Winnebago, Calvin Coolidge, Republican, 71.32
Woodford, Calvin Coolidge, Republican, 57.48
