Appling, John W Davis, Democrat, 82.49
Atkinson, John W Davis, Democrat, 90.37
Bacon, John W Davis, Democrat, 91.09
Baker, John W Davis, Democrat, 89.74
Baldwin, John W Davis, Democrat, 83.94
Banks, John W Davis, Democrat, 74.05
Barrow, John W Davis, Democrat, 65.75
Bartow, John W Davis, Democrat, 60.73
Ben Hill, John W Davis, Democrat, 59.86
Berrien, John W Davis, Democrat, 94.68
Bibb, John W Davis, Democrat, 83.17
Bleckley, John W Davis, Democrat, 90.62
Brantley, John W Davis, Democrat, 85.3
Brooks, John W Davis, Democrat, 89.25
Bryan, John W Davis, Democrat, 94.23
Bulloch, John W Davis, Democrat, 94.01
Burke, John W Davis, Democrat, 82.99
Butts, John W Davis, Democrat, 84.85
Calhoun, John W Davis, Democrat, 83.25
Camden, John W Davis, Democrat, 98.29
Campbell, John W Davis, Democrat, 93.9
Candler, John W Davis, Democrat, 89.59
Carroll, John W Davis, Democrat, 70.29
Catoosa, John W Davis, Democrat, 70.92
Charlton, John W Davis, Democrat, 84.83
Chatham, John W Davis, Democrat, 69.86
Chattahoochee, John W Davis, Democrat, 91.63
Chattooga, John W Davis, Democrat, 78.36
Cherokee, John W Davis, Democrat, 56.42
Clarke, John W Davis, Democrat, 82.26
Clay, John W Davis, Democrat, 74.32
Clayton, John W Davis, Democrat, 69.29
Clinch, John W Davis, Democrat, 88.68
Cobb, John W Davis, Democrat, 71.2
Coffee, John W Davis, Democrat, 78.46
Colquitt, John W Davis, Democrat, 81.79
Columbia, John W Davis, Democrat, 71
Cook, John W Davis, Democrat, 86.4
Coweta, John W Davis, Democrat, 90.42
Crawford, John W Davis, Democrat, 94.12
Crisp, John W Davis, Democrat, 92.23
Dade, John W Davis, Democrat, 75.98
Dawson, John W Davis, Democrat, 51.1
Decatur, John W Davis, Democrat, 69.09
DeKalb, John W Davis, Democrat, 70.26
Dodge, John W Davis, Democrat, 94.3
Dooly, John W Davis, Democrat, 92.62
Dougherty, John W Davis, Democrat, 81.05
Douglas, John W Davis, Democrat, 61.74
Early, John W Davis, Democrat, 80.69
Echols, John W Davis, Democrat, 97.37
Effingham, John W Davis, Democrat, 83
Elbert, John W Davis, Democrat, 79.56
Emanuel, John W Davis, Democrat, 91.73
Evans, John W Davis, Democrat, 95.41
Fannin, Calvin Coolidge, Republican, 60.4
Fayette, John W Davis, Democrat, 79.57
Floyd, John W Davis, Democrat, 73.81
Forsyth, John W Davis, Democrat, 69.42
Franklin, John W Davis, Democrat, 73.31
