Adair, Calvin Coolidge, Republican, 53.56
Andrew, Calvin Coolidge, Republican, 55.36
Atchison, Calvin Coolidge, Republican, 49.26
Audrain, John W Davis, Democrat, 64.17
Barry, Calvin Coolidge, Republican, 47.93
Barton, Calvin Coolidge, Republican, 48.59
Bates, John W Davis, Democrat, 48.87
Benton, Calvin Coolidge, Republican, 60.71
Bollinger, Calvin Coolidge, Republican, 50.21
Boone, John W Davis, Democrat, 69.97
Buchanan, Calvin Coolidge, Republican, 50.13
Butler, Calvin Coolidge, Republican, 55.98
Caldwell, Calvin Coolidge, Republican, 58.66
Callaway, John W Davis, Democrat, 66.82
Camden, Calvin Coolidge, Republican, 57.14
Cape Girardeau, Calvin Coolidge, Republican, 52.08
Carroll, Calvin Coolidge, Republican, 51.05
Carter, John W Davis, Democrat, 55.23
Cass, John W Davis, Democrat, 55.01
Cedar, Calvin Coolidge, Republican, 55.83
Chariton, John W Davis, Democrat, 58.52
Christian, Calvin Coolidge, Republican, 62.77
Clark, Calvin Coolidge, Republican, 50.37
Clay, John W Davis, Democrat, 64.24
Clinton, John W Davis, Democrat, 51.56
Cole, Calvin Coolidge, Republican, 52.49
Cooper, Calvin Coolidge, Republican, 52.76
Crawford, Calvin Coolidge, Republican, 55.77
Dade, Calvin Coolidge, Republican, 54.66
Dallas, Calvin Coolidge, Republican, 61.03
Daviess, Calvin Coolidge, Republican, 51.42
DeKalb, Calvin Coolidge, Republican, 52.58
Dent, John W Davis, Democrat, 54.49
Douglas, Calvin Coolidge, Republican, 69.16
Dunklin, John W Davis, Democrat, 54.11
Franklin, Calvin Coolidge, Republican, 59.31
Gasconade, Calvin Coolidge, Republican, 75.88
Gentry, John W Davis, Democrat, 49.22
Greene, Calvin Coolidge, Republican, 45.74
Grundy, Calvin Coolidge, Republican, 50.65
Harrison, Calvin Coolidge, Republican, 58.18
Henry, John W Davis, Democrat, 47.68
Hickory, Calvin Coolidge, Republican, 70.71
Holt, Calvin Coolidge, Republican, 57.98
Howard, John W Davis, Democrat, 69.37
Howell, Calvin Coolidge, Republican, 48.21
Iron, John W Davis, Democrat, 54.54
Jackson, Calvin Coolidge, Republican, 51.79
Jasper, Calvin Coolidge, Republican, 55.11
Jefferson, Calvin Coolidge, Republican, 48.88
Johnson, John W Davis, Democrat, 50.21
Knox, John W Davis, Democrat, 52.15
Laclede, Calvin Coolidge, Republican, 51.61
Lafayette, Calvin Coolidge, Republican, 50.43
Lawrence, Calvin Coolidge, Republican, 49.35
Lewis, John W Davis, Democrat, 56.88
Lincoln, John W Davis, Democrat, 55.53
Linn, John W Davis, Democrat, 47.89
Livingston, Calvin Coolidge, Republican, 50.26
Macon, John W Davis, Democrat, 50.58
Madison, John W Davis, Democrat, 51
Maries, John W Davis, Democrat, 62.89
Marion, John W Davis, Democrat, 46.67
McDonald, Calvin Coolidge, Republican, 48.29
Mercer, Calvin Coolidge, Republican, 62.54
Miller, Calvin Coolidge, Republican, 56.16
Mississippi, John W Davis, Democrat, 54.76
Moniteau, Calvin Coolidge, Republican, 53.17
Monroe, John W Davis, Democrat, 81
Montgomery, Calvin Coolidge, Republican, 53.6
Morgan, Calvin Coolidge, Republican, 56.61
New Madrid, John W Davis, Democrat, 50.13
Newton, Calvin Coolidge, Republican, 50.96
Nodaway, Calvin Coolidge, Republican, 49.85
Oregon, John W Davis, Democrat, 63.98
Osage, Calvin Coolidge, Republican, 51.98
Ozark, Calvin Coolidge, Republican, 69.05
Pemiscot, John W Davis, Democrat, 53.12
Perry, Calvin Coolidge, Republican, 47.78
Pettis, Calvin Coolidge, Republican, 55.67
Phelps, John W Davis, Democrat, 53.05
Pike, John W Davis, Democrat, 50.51
Platte, John W Davis, Democrat, 63.96
Polk, Calvin Coolidge, Republican, 56.19
Pulaski, John W Davis, Democrat, 55
Putnam, Calvin Coolidge, Republican, 65.39
Ralls, John W Davis, Democrat, 64.27
Randolph, John W Davis, Democrat, 63.72
Ray, John W Davis, Democrat, 62.04
Reynolds, John W Davis, Democrat, 66.89
Ripley, John W Davis, Democrat, 54.41
Saint Charles, Calvin Coolidge, Republican, 59.11
Saint Clair, Calvin Coolidge, Republican, 49.7
Saint Francois, Calvin Coolidge, Republican, 51.16
Saint Louis County, Calvin Coolidge, Republican, 55.75
Saint Louis City, Calvin Coolidge, Republican, 52.7
Sainte Genevieve, Calvin Coolidge, Republican, 49.2
Saline, John W Davis, Democrat, 54.14
Schuyler, John W Davis, Democrat, 55.18
Scotland, John W Davis, Democrat, 50.96
Scott, John W Davis, Democrat, 44.16
Shannon, John W Davis, Democrat, 61.7
Shelby, John W Davis, Democrat, 68.37
Stoddard, John W Davis, Democrat, 50.09
Stone, Calvin Coolidge, Republican, 65.42
Sullivan, Calvin Coolidge, Republican, 49.33
Taney, Calvin Coolidge, Republican, 61.49
Texas, John W Davis, Democrat, 53.45
Vernon, John W Davis, Democrat, 52.38
Warren, Calvin Coolidge, Republican, 76.03
Washington, Calvin Coolidge, Republican, 54.42
Wayne, John W Davis, Democrat, 51.43
Webster, Calvin Coolidge, Republican, 51.12
Worth, Calvin Coolidge, Republican, 49.66
Wright, Calvin Coolidge, Republican, 55.04
