Adair, Calvin Coolidge, Republican, 51.63
Alfalfa, Calvin Coolidge, Republican, 57.27
Atoka, John W Davis, Democrat, 54.3
Beaver, Calvin Coolidge, Republican, 49.42
Beckham, John W Davis, Democrat, 56.9
Blaine, Calvin Coolidge, Republican, 48.53
Bryan, John W Davis, Democrat, 64.95
Caddo, Calvin Coolidge, Republican, 46.04
Canadian, Calvin Coolidge, Republican, 41.5
Carter, John W Davis, Democrat, 65.68
Cherokee, Calvin Coolidge, Republican, 49.84
Choctaw, John W Davis, Democrat, 47.9
Cimarron, John W Davis, Democrat, 47.26
Cleveland, John W Davis, Democrat, 56.73
Coal, John W Davis, Democrat, 55.74
Comanche, John W Davis, Democrat, 47.3
Cotton, John W Davis, Democrat, 49.26
Craig, John W Davis, Democrat, 53.51
Creek, Calvin Coolidge, Republican, 50.21
Custer, John W Davis, Democrat, 43.93
Delaware, John W Davis, Democrat, 48.64
Dewey, Calvin Coolidge, Republican, 44.43
Ellis, Calvin Coolidge, Republican, 48.7
Garfield, Calvin Coolidge, Republican, 56.28
Garvin, John W Davis, Democrat, 68.63
Grady, John W Davis, Democrat, 59.29
Grant, Calvin Coolidge, Republican, 51.74
Greer, John W Davis, Democrat, 70.13
Harmon, John W Davis, Democrat, 72.05
Harper, Calvin Coolidge, Republican, 50.77
Haskell, John W Davis, Democrat, 51.5
Hughes, John W Davis, Democrat, 64.45
Jackson, John W Davis, Democrat, 61.57
Jefferson, John W Davis, Democrat, 64.87
Johnston, John W Davis, Democrat, 57.03
Kay, Calvin Coolidge, Republican, 51.16
Kingfisher, Calvin Coolidge, Republican, 55.62
Kiowa, John W Davis, Democrat, 54.29
Latimer, John W Davis, Democrat, 53.92
Le Flore, John W Davis, Democrat, 49.34
Lincoln, Calvin Coolidge, Republican, 51.2
Logan, Calvin Coolidge, Republican, 58.78
Love, John W Davis, Democrat, 62.79
Major, Calvin Coolidge, Republican, 58.51
Marshall, John W Davis, Democrat, 57.83
Mayes, Calvin Coolidge, Republican, 47.4
McClain, John W Davis, Democrat, 62.8
McCurtain, John W Davis, Democrat, 63.24
McIntosh, John W Davis, Democrat, 60.58
Murray, John W Davis, Democrat, 69.09
Muskogee, John W Davis, Democrat, 50.34
Noble, Calvin Coolidge, Republican, 51.15
Nowata, Calvin Coolidge, Republican, 51.03
Okfuskee, John W Davis, Democrat, 61.03
Oklahoma, John W Davis, Democrat, 50.38
Okmulgee, Calvin Coolidge, Republican, 46.85
Osage, John W Davis, Democrat, 49.78
Ottawa, Calvin Coolidge, Republican, 50.08
Pawnee, Calvin Coolidge, Republican, 51.37
Payne, Calvin Coolidge, Republican, 48.49
Pittsburg, John W Davis, Democrat, 56.31
Pontotoc, John W Davis, Democrat, 64.47
Pottawatomie, John W Davis, Democrat, 48.73
Pushmataha, John W Davis, Democrat, 54.79
Roger Mills, John W Davis, Democrat, 47.36
Rogers, John W Davis, Democrat, 54.28
Seminole, John W Davis, Democrat, 51.77
Sequoyah, John W Davis, Democrat, 53.8
Stephens, John W Davis, Democrat, 62.98
Texas, John W Davis, Democrat, 45.73
Tillman, John W Davis, Democrat, 63.73
Tulsa, Calvin Coolidge, Republican, 55.54
Wagoner, John W Davis, Democrat, 50.86
Washington, Calvin Coolidge, Republican, 55.17
Washita, John W Davis, Democrat, 57.35
Woods, Calvin Coolidge, Republican, 52.43
Woodward, Calvin Coolidge, Republican, 45.64
