Anderson, Calvin Coolidge, Republican, 47.19
Andrews, John W Davis, Democrat, 84.51
Angelina, John W Davis, Democrat, 88.57
Aransas, John W Davis, Democrat, 70.14
Archer, John W Davis, Democrat, 79.05
Armstrong, John W Davis, Democrat, 76.62
Atascosa, John W Davis, Democrat, 62.56
Austin, John W Davis, Democrat, 71.71
Bailey, John W Davis, Democrat, 66.4
Bandera, Calvin Coolidge, Republican, 47.84
Bastrop, John W Davis, Democrat, 78.53
Baylor, John W Davis, Democrat, 87.02
Bee, Calvin Coolidge, Republican, 47.51
Bell, John W Davis, Democrat, 76.91
Bexar, John W Davis, Democrat, 43.88
Blanco, John W Davis, Democrat, 54.36
Borden, Calvin Coolidge, Republican, 57.31
Bosque, John W Davis, Democrat, 83.94
Bowie, John W Davis, Democrat, 77.4
Brazoria, John W Davis, Democrat, 58.82
Brazos, John W Davis, Democrat, 87.07
Brewster, John W Davis, Democrat, 73.2
Briscoe, John W Davis, Democrat, 83.4
Brooks, John W Davis, Democrat, 76.49
Brown, John W Davis, Democrat, 87.48
Burleson, John W Davis, Democrat, 90.96
Burnet, John W Davis, Democrat, 83.74
Caldwell, John W Davis, Democrat, 78.44
Calhoun, John W Davis, Democrat, 76.05
Callahan, John W Davis, Democrat, 82.94
Cameron, John W Davis, Democrat, 60.68
Camp, John W Davis, Democrat, 83.76
Carson, John W Davis, Democrat, 64.18
Cass, John W Davis, Democrat, 66.18
Castro, John W Davis, Democrat, 59.35
Chambers, John W Davis, Democrat, 57.8
Cherokee, John W Davis, Democrat, 85.17
Childress, John W Davis, Democrat, 81.77
Clay, John W Davis, Democrat, 76.49
Cochran, John W Davis, Democrat, 81.94
Coke, John W Davis, Democrat, 87.86
Coleman, John W Davis, Democrat, 82.7
Collin, John W Davis, Democrat, 77.04
Collingsworth, John W Davis, Democrat, 73.99
Colorado, John W Davis, Democrat, 66.57
Comal, Robert M La Follette, Progressive, 73.96
Comanche, Calvin Coolidge, Republican, 48.2
Concho, John W Davis, Democrat, 85.53
Cooke, John W Davis, Democrat, 77.58
Coryell, John W Davis, Democrat, 85.28
Cottle, John W Davis, Democrat, 88.15
Crockett, Calvin Coolidge, Republican, 61.54
Crosby, John W Davis, Democrat, 79.92
Culberson, John W Davis, Democrat, 79.49
Dallam, John W Davis, Democrat, 48.42
Dallas, John W Davis, Democrat, 76.99
Dawson, John W Davis, Democrat, 83.06
DeWitt, John W Davis, Democrat, 56.21
Deaf Smith, John W Davis, Democrat, 70.51
Delta, John W Davis, Democrat, 80.49
Denton, John W Davis, Democrat, 81.1
Dickens, John W Davis, Democrat, 83.24
Dimmit, John W Davis, Democrat, 58.62
Donley, John W Davis, Democrat, 72.37
