Accomack, George Allen, Republican, 62.2
Albemarle, George Allen, Republican, 59.7
Alexandria, Mary Sue Terry, Democrat, 62.1
Alleghany, George Allen, Republican, 65.7
Amelia, George Allen, Republican, 62.3
Amherst, George Allen, Republican, 62.9
Appomattox, George Allen, Republican, 61.5
Arlington, Mary Sue Terry, Democrat, 63.3
Augusta, George Allen, Republican, 81
Bath, George Allen, Republican, 65.6
Bedford City, George Allen, Republican, 55.9
Bedford County, George Allen, Republican, 68.1
Bland, George Allen, Republican, 78.9
Botetourt, George Allen, Republican, 65.1
Bristol, George Allen, Republican, 70.7
Brunswick, Mary Sue Terry, Democrat, 51.7
Buchanan, George Allen, Republican, 57.9
Buckingham, George Allen, Republican, 59.6
Buena Vista, George Allen, Republican, 57.4
Campbell, George Allen, Republican, 67.9
Caroline, George Allen, Republican, 54.4
Carroll, George Allen, Republican, 67.4
Charles City, Mary Sue Terry, Democrat, 64.5
Charlotte, George Allen, Republican, 63.1
Charlottesville, Mary Sue Terry, Democrat, 54
Chesapeake, George Allen, Republican, 59.1
Chesterfield, George Allen, Republican, 70.8
Clarke, George Allen, Republican, 62.7
Clifton Forge, George Allen, Republican, 52.5
Colonial Heights, George Allen, Republican, 76.9
Covington, George Allen, Republican, 52.3
Craig, George Allen, Republican, 66.1
Culpeper, George Allen, Republican, 73.1
Cumberland, George Allen, Republican, 63.6
Danville, George Allen, Republican, 60.4
Dickenson, George Allen, Republican, 59.2
Dinwiddie, George Allen, Republican, 58.8
Emporia, George Allen, Republican, 58.9
Essex, George Allen, Republican, 59.3
Fairfax City, George Allen, Republican, 53.5
Fairfax County, George Allen, Republican, 51.5
Falls Church, Mary Sue Terry, Democrat, 60.3
Fauquier, George Allen, Republican, 68.3
Floyd, George Allen, Republican, 62.8
Fluvanna, George Allen, Republican, 67.7
Franklin City, George Allen, Republican, 52
Franklin County, George Allen, Republican, 58.4
Frederick, George Allen, Republican, 74.8
Fredericksburg, George Allen, Republican, 50.7
Galax, George Allen, Republican, 60.1
Giles, George Allen, Republican, 64.3
Gloucester, George Allen, Republican, 65.5
Goochland, George Allen, Republican, 65.7
Grayson, George Allen, Republican, 65.3
Greene, George Allen, Republican, 76.3
Greensville, Mary Sue Terry, Democrat, 51.8
Halifax, George Allen, Republican, 61.6
Hampton, George Allen, Republican, 50.4
Hanover, George Allen, Republican, 74.2
Harrisonburg, George Allen, Republican, 68.3
Henrico, George Allen, Republican, 64.4
Henry, George Allen, Republican, 50.5
Highland, George Allen, Republican, 69
Hopewell, George Allen, Republican, 64.5
Isle of Wight, George Allen, Republican, 59.1
James City, George Allen, Republican, 58.7
King and Queen, George Allen, Republican, 52.9
King George, George Allen, Republican, 65.6
King William, George Allen, Republican, 64.5
Lancaster, George Allen, Republican, 65.8
Lee, George Allen, Republican, 59.5
Lexington, George Allen, Republican, 50.1
Loudoun, George Allen, Republican, 58.6
Louisa, George Allen, Republican, 62.7
Lunenburg, George Allen, Republican, 59.3
Lynchburg, George Allen, Republican, 57.9
Madison, George Allen, Republican, 71
Manassas, George Allen, Republican, 64.2
Manassas Park, George Allen, Republican, 65.3
Martinsville, Mary Sue Terry, Democrat, 57.8
Mathews, George Allen, Republican, 65.7
Mecklenburg, George Allen, Republican, 65.9
Middlesex, George Allen, Republican, 62.1
Montgomery, George Allen, Republican, 56.2
Nelson, George Allen, Republican, 59.1
New Kent, George Allen, Republican, 66.3
Newport News, George Allen, Republican, 53.9
Norfolk, Mary Sue Terry, Democrat, 56.3
Northampton, George Allen, Republican, 50.6
Northumberland, George Allen, Republican, 64.3
Norton, George Allen, Republican, 57
Nottoway, George Allen, Republican, 60.9
Orange, George Allen, Republican, 66.8
Page, George Allen, Republican, 75.5
Patrick, George Allen, Republican, 53.4
Petersburg, Mary Sue Terry, Democrat, 64.6
Pittsylvania, George Allen, Republican, 66.5
Poquoson, George Allen, Republican, 71.2
Portsmouth, Mary Sue Terry, Democrat, 55.2
Powhatan, George Allen, Republican, 71.9
Prince Edward, George Allen, Republican, 58.8
Prince George, George Allen, Republican, 67.7
Prince William, George Allen, Republican, 62.6
Pulaski, George Allen, Republican, 64
Radford, George Allen, Republican, 54.2
Rappahannock, George Allen, Republican, 63.9
Richmond City, Mary Sue Terry, Democrat, 59.1
Richmond County, George Allen, Republican, 68.8
Roanoke City, Mary Sue Terry, Democrat, 51
Roanoke County, George Allen, Republican, 61.2
Rockbridge, George Allen, Republican, 63.6
Rockingham, George Allen, Republican, 79
Russell, George Allen, Republican, 59.5
South Boston, George Allen, Republican, 61.3
Salem, George Allen, Republican, 59.4
Scott, George Allen, Republican, 69.9
Shenandoah, George Allen, Republican, 76.1
Smyth, George Allen, Republican, 71.6
Southampton, George Allen, Republican, 56.7
Spotsylvania, George Allen, Republican, 67.9
Stafford, George Allen, Republican, 67.9
Staunton, George Allen, Republican, 72.5
Suffolk, George Allen, Republican, 55.4
Surry, Mary Sue Terry, Democrat, 52.1
Sussex, Mary Sue Terry, Democrat, 51.6
Tazewell, George Allen, Republican, 70.1
Virginia Beach, George Allen, Republican, 59.9
Warren, George Allen, Republican, 69.5
Washington, George Allen, Republican, 70.2
Waynesboro, George Allen, Republican, 70.7
Westmoreland, George Allen, Republican, 59
Williamsburg, Mary Sue Terry, Democrat, 55.2
Winchester, George Allen, Republican, 66.9
Wise, George Allen, Republican, 61.5
Wythe, George Allen, Republican, 69.2
York, George Allen, Republican, 62.8
