Autauga, Al Smith, Democrat, 56.39
Baldwin, Herbert Hoover, Republican, 51.05
Barbour, Al Smith, Democrat, 63.48
Bibb, Al Smith, Democrat, 54.02
Blount, Herbert Hoover, Republican, 52.06
Bullock, Al Smith, Democrat, 73.73
Butler, Al Smith, Democrat, 63.86
Calhoun, Herbert Hoover, Republican, 54.5
Chambers, Herbert Hoover, Republican, 63.42
Cherokee, Herbert Hoover, Republican, 62.78
Chilton, Herbert Hoover, Republican, 69.37
Choctaw, Al Smith, Democrat, 74.33
Clarke, Al Smith, Democrat, 63.97
Clay, Herbert Hoover, Republican, 65.86
Cleburne, Herbert Hoover, Republican, 58.25
Coffee, Al Smith, Democrat, 60.83
Colbert, Al Smith, Democrat, 65.75
Conecuh, Herbert Hoover, Republican, 56.47
Coosa, Herbert Hoover, Republican, 60.63
Covington, Al Smith, Democrat, 54.26
Crenshaw, Al Smith, Democrat, 57.33
Cullman, Herbert Hoover, Republican, 65.28
Dale, Al Smith, Democrat, 55.19
Dallas, Al Smith, Democrat, 72.96
DeKalb, Herbert Hoover, Republican, 59.27
Elmore, Herbert Hoover, Republican, 57.45
Escambia, Herbert Hoover, Republican, 61.94
Etowah, Herbert Hoover, Republican, 55.63
Fayette, Herbert Hoover, Republican, 59.83
Franklin, Herbert Hoover, Republican, 56.24
Geneva, Herbert Hoover, Republican, 50.8
Greene, Al Smith, Democrat, 93.91
Hale, Al Smith, Democrat, 72.23
Henry, Al Smith, Democrat, 50.53
Houston, Al Smith, Democrat, 53.81
Jackson, Herbert Hoover, Republican, 58.72
Jefferson, Herbert Hoover, Republican, 51.74
Lamar, Al Smith, Democrat, 63.72
Lauderdale, Al Smith, Democrat, 67.82
Lawrence, Al Smith, Democrat, 50.59
Lee, Al Smith, Democrat, 58.97
Limestone, Al Smith, Democrat, 80.58
Lowndes, Al Smith, Democrat, 79.61
Macon, Al Smith, Democrat, 59.98
Madison, Herbert Hoover, Republican, 50.11
Marengo, Al Smith, Democrat, 71.62
Marion, Al Smith, Democrat, 50.87
Marshall, Herbert Hoover, Republican, 51.84
Mobile, Al Smith, Democrat, 54.07
Monroe, Al Smith, Democrat, 57.22
Montgomery, Al Smith, Democrat, 67.06
Morgan, Herbert Hoover, Republican, 54.76
Perry, Al Smith, Democrat, 72.97
Pickens, Al Smith, Democrat, 61.85
Pike, Al Smith, Democrat, 76.59
Randolph, Herbert Hoover, Republican, 59.04
Russell, Al Smith, Democrat, 70.68
St. Clair, Herbert Hoover, Republican, 66.25
Shelby, Herbert Hoover, Republican, 59.53
Sumter, Al Smith, Democrat, 84.16
Talladega, Al Smith, Democrat, 51.18
Tallapoosa, Al Smith, Democrat, 59.51
Tuscaloosa, Al Smith, Democrat, 69.56
Walker, Al Smith, Democrat, 53.77
Washington, Al Smith, Democrat, 58.18
Wilcox, Al Smith, Democrat, 78.57
Winston, Herbert Hoover, Republican, 75.96
