Adair, Herbert Hoover, Republican, 65.7
Andrew, Herbert Hoover, Republican, 66.58
Atchison, Herbert Hoover, Republican, 55.98
Audrain, Al Smith, Democrat, 54.94
Barry, Herbert Hoover, Republican, 62.89
Barton, Herbert Hoover, Republican, 61.19
Bates, Herbert Hoover, Republican, 62.7
Benton, Herbert Hoover, Republican, 72.33
Bollinger, Herbert Hoover, Republican, 62.2
Boone, Al Smith, Democrat, 63.23
Buchanan, Herbert Hoover, Republican, 62.71
Butler, Herbert Hoover, Republican, 62.48
Caldwell, Herbert Hoover, Republican, 65.82
Callaway, Al Smith, Democrat, 61.08
Camden, Herbert Hoover, Republican, 77.37
Cape Girardeau, Herbert Hoover, Republican, 57.25
Carroll, Herbert Hoover, Republican, 61.05
Carter, Herbert Hoover, Republican, 50.41
Cass, Herbert Hoover, Republican, 59.11
Cedar, Herbert Hoover, Republican, 65.75
Chariton, Al Smith, Democrat, 53.63
Christian, Herbert Hoover, Republican, 75.75
Clark, Herbert Hoover, Republican, 59.83
Clay, Herbert Hoover, Republican, 49.92
Clinton, Herbert Hoover, Republican, 59.98
Cole, Herbert Hoover, Republican, 50.54
Cooper, Herbert Hoover, Republican, 52.02
Crawford, Herbert Hoover, Republican, 66.08
Dade, Herbert Hoover, Republican, 70.55
Dallas, Herbert Hoover, Republican, 74.94
Daviess, Herbert Hoover, Republican, 60.28
DeKalb, Herbert Hoover, Republican, 63.53
Dent, Herbert Hoover, Republican, 55.49
Douglas, Herbert Hoover, Republican, 84
Dunklin, Al Smith, Democrat, 57.39
Franklin, Herbert Hoover, Republican, 58.92
Gasconade, Herbert Hoover, Republican, 79.57
Gentry, Herbert Hoover, Republican, 56.04
Greene, Herbert Hoover, Republican, 66.86
Grundy, Herbert Hoover, Republican, 68.73
Harrison, Herbert Hoover, Republican, 67.36
Henry, Herbert Hoover, Republican, 59.07
Hickory, Herbert Hoover, Republican, 84.68
Holt, Herbert Hoover, Republican, 66.57
Howard, Al Smith, Democrat, 66.25
Howell, Herbert Hoover, Republican, 65.26
Iron, Herbert Hoover, Republican, 58.68
Jackson, Herbert Hoover, Republican, 56.59
Jasper, Herbert Hoover, Republican, 70.85
Jefferson, Herbert Hoover, Republican, 54.47
Johnson, Herbert Hoover, Republican, 61.86
Knox, Herbert Hoover, Republican, 54.21
Laclede, Herbert Hoover, Republican, 65.91
Lafayette, Herbert Hoover, Republican, 56.28
Lawrence, Herbert Hoover, Republican, 63.17
Lewis, Al Smith, Democrat, 51.04
Lincoln, Al Smith, Democrat, 55.12
Linn, Herbert Hoover, Republican, 61.31
Livingston, Herbert Hoover, Republican, 63.94
Macon, Herbert Hoover, Republican, 53.45
Madison, Herbert Hoover, Republican, 62.02
Maries, Al Smith, Democrat, 55.96
Marion, Herbert Hoover, Republican, 57.34
McDonald, Herbert Hoover, Republican, 64.79
Mercer, Herbert Hoover, Republican, 75.54
Miller, Herbert Hoover, Republican, 62.85
Mississippi, Al Smith, Democrat, 56.45
Moniteau, Herbert Hoover, Republican, 59.87
Monroe, Al Smith, Democrat, 78.01
Montgomery, Herbert Hoover, Republican, 63.03
Morgan, Herbert Hoover, Republican, 67.68
New Madrid, Herbert Hoover, Republican, 53.22
Newton, Herbert Hoover, Republican, 67.77
Nodaway, Herbert Hoover, Republican, 57.4
Oregon, Al Smith, Democrat, 53.07
Osage, Al Smith, Democrat, 55.49
Ozark, Herbert Hoover, Republican, 82.68
Pemiscot, Herbert Hoover, Republican, 54.33
Perry, Herbert Hoover, Republican, 50.49
Pettis, Herbert Hoover, Republican, 64.91
Phelps, Herbert Hoover, Republican, 50.51
Pike, Herbert Hoover, Republican, 54.74
Platte, Al Smith, Democrat, 57.88
Polk, Herbert Hoover, Republican, 69.63
Pulaski, Herbert Hoover, Republican, 53.44
Putnam, Herbert Hoover, Republican, 73.56
Ralls, Al Smith, Democrat, 55.83
Randolph, Al Smith, Democrat, 55.41
Ray, Al Smith, Democrat, 58.1
Reynolds, Al Smith, Democrat, 55.8
Ripley, Herbert Hoover, Republican, 61.31
Saint Charles, Herbert Hoover, Republican, 51.43
Saint Clair, Herbert Hoover, Republican, 68.88
Saint Francois, Herbert Hoover, Republican, 68.34
Saint Louis County, Herbert Hoover, Republican, 55.53
Saint Louis City, Al Smith, Democrat, 52.01
Sainte Genevieve, Al Smith, Democrat, 69.74
Saline, Herbert Hoover, Republican, 51.98
Schuyler, Herbert Hoover, Republican, 50.22
Scotland, Herbert Hoover, Republican, 51.47
Scott, Al Smith, Democrat, 57.68
Shannon, Al Smith, Democrat, 54.51
Shelby, Al Smith, Democrat, 57.75
Stoddard, Herbert Hoover, Republican, 54.81
Stone, Herbert Hoover, Republican, 83.88
Sullivan, Herbert Hoover, Republican, 55.8
Taney, Herbert Hoover, Republican, 70.23
Texas, Herbert Hoover, Republican, 56.78
Vernon, Herbert Hoover, Republican, 60.94
Warren, Herbert Hoover, Republican, 72.1
Washington, Herbert Hoover, Republican, 58.96
Wayne, Herbert Hoover, Republican, 56.82
Webster, Herbert Hoover, Republican, 62.99
Worth, Herbert Hoover, Republican, 56.46
Wright, Herbert Hoover, Republican, 69.28
