Appling, Herbert Hoover, Republican, 58.25
Atkinson, Al Smith, Democrat, 74.31
Bacon, Al Smith, Democrat, 60.04
Baker, Al Smith, Democrat, 82.35
Baldwin, Al Smith, Democrat, 72.51
Banks, Al Smith, Democrat, 53.76
Barrow, Herbert Hoover, Republican, 58.81
Bartow, Herbert Hoover, Republican, 50.24
Ben Hill, Al Smith, Democrat, 68.62
Berrien, Al Smith, Democrat, 87.5
Bibb, Al Smith, Democrat, 52.42
Bleckley, Al Smith, Democrat, 90.03
Brantley, Herbert Hoover, Republican, 50.89
Brooks, Al Smith, Democrat, 80.04
Bryan, Al Smith, Democrat, 59.19
Bulloch, Al Smith, Democrat, 76.47
Burke, Al Smith, Democrat, 72.54
Butts, Al Smith, Democrat, 85.11
Calhoun, Al Smith, Democrat, 86.25
Camden, Al Smith, Democrat, 50.65
Campbell, Al Smith, Democrat, 56.52
Candler, Al Smith, Democrat, 75.55
Carroll, Herbert Hoover, Republican, 52.47
Catoosa, Herbert Hoover, Republican, 51.84
Charlton, Al Smith, Democrat, 72.17
Chatham, Al Smith, Democrat, 51.14
Chattahoochee, Al Smith, Democrat, 88.68
Chattooga, Herbert Hoover, Republican, 54.37
Cherokee, Herbert Hoover, Republican, 74.29
Clarke, Al Smith, Democrat, 66.03
Clay, Al Smith, Democrat, 87.85
Clayton, Herbert Hoover, Republican, 50.28
Clinch, Al Smith, Democrat, 83.37
Cobb, Herbert Hoover, Republican, 54.54
Coffee, Al Smith, Democrat, 66.55
Colquitt, Al Smith, Democrat, 54.93
Columbia, Al Smith, Democrat, 54.39
Cook, Al Smith, Democrat, 74.41
Coweta, Al Smith, Democrat, 87.85
Crawford, Al Smith, Democrat, 88.18
Crisp, Al Smith, Democrat, 56.54
Dade, Al Smith, Democrat, 58
Dawson, Al Smith, Democrat, 53.38
Decatur, Herbert Hoover, Republican, 61.16
DeKalb, Herbert Hoover, Republican, 50.91
Dodge, Al Smith, Democrat, 71.26
Dooly, Al Smith, Democrat, 82.67
Dougherty, Al Smith, Democrat, 72.15
Douglas, Herbert Hoover, Republican, 57.28
Early, Al Smith, Democrat, 74.48
Echols, Al Smith, Democrat, 91.55
Effingham, Herbert Hoover, Republican, 79.37
Elbert, Al Smith, Democrat, 53.05
Emanuel, Al Smith, Democrat, 75.19
Evans, Al Smith, Democrat, 71.81
Fannin, Herbert Hoover, Republican, 68.08
Fayette, Al Smith, Democrat, 65.89
Floyd, Herbert Hoover, Republican, 53.66
Forsyth, Herbert Hoover, Republican, 76.49
Franklin, Herbert Hoover, Republican, 50.99
Fulton, Herbert Hoover, Republican, 51.36
Gilmer, Herbert Hoover, Republican, 65.67
Glascock, Herbert Hoover, Republican, 64.66
Glynn, Herbert Hoover, Republican, 59.27
Gordon, Herbert Hoover, Republican, 58.4
Grady, Al Smith, Democrat, 72.75
Greene, Al Smith, Democrat, 71.9
Gwinnett, Herbert Hoover, Republican, 52.26
Habersham, Herbert Hoover, Republican, 55.96
Hall, Herbert Hoover, Republican, 50.81
Hancock, Al Smith, Democrat, 82.39
Haralson, Herbert Hoover, Republican, 69.16
Harris, Al Smith, Democrat, 79.28
Hart, Al Smith, Democrat, 60.38
Heard, Al Smith, Democrat, 55.83
Henry, Al Smith, Democrat, 67.94
Houston, Al Smith, Democrat, 77.83
Irwin, Al Smith, Democrat, 84.99
Jackson, Al Smith, Democrat, 51.22
Jasper, Al Smith, Democrat, 81.87
Jeff Davis, Al Smith, Democrat, 63.64
Jefferson, Herbert Hoover, Republican, 56.98
Jenkins, Al Smith, Democrat, 55.2
Johnson, Al Smith, Democrat, 69
Jones, Al Smith, Democrat, 80.54
Lamar, Al Smith, Democrat, 84.21
Lanier, Al Smith, Democrat, 68.71
Laurens, Al Smith, Democrat, 80.87
Lee, Al Smith, Democrat, 86.45
Liberty, Herbert Hoover, Republican, 50.25
Lincoln, Al Smith, Democrat, 51.86
Long, Herbert Hoover, Republican, 70.72
Lowndes, Al Smith, Democrat, 70.33
Lumpkin, Al Smith, Democrat, 59.51
Macon, Al Smith, Democrat, 76.04
Madison, Herbert Hoover, Republican, 52.65
Marion, Al Smith, Democrat, 76.2
McDuffie, Herbert Hoover, Republican, 55.62
McIntosh, Herbert Hoover, Republican, 56.07
Meriwether, Al Smith, Democrat, 84.07
Miller, Al Smith, Democrat, 76.12
Milton, Herbert Hoover, Republican, 70.81
Mitchell, Al Smith, Democrat, 90.47
Monroe, Al Smith, Democrat, 70.88
Montgomery, Al Smith, Democrat, 77.47
Morgan, Al Smith, Democrat, 79.43
Murray, Herbert Hoover, Republican, 52.97
Muscogee, Al Smith, Democrat, 57.14
Newton, Al Smith, Democrat, 55.57
Oconee, Al Smith, Democrat, 53.42
Oglethorpe, Al Smith, Democrat, 79.86
Paulding, Herbert Hoover, Republican, 65.34
Peach, Al Smith, Democrat, 73.33
Pickens, Herbert Hoover, Republican, 70.84
Pierce, Al Smith, Democrat, 64.73
Pike, Al Smith, Democrat, 75
Polk, Herbert Hoover, Republican, 62.27
Pulaski, Al Smith, Democrat, 85.89
Putnam, Al Smith, Democrat, 92.29
Quitman, Al Smith, Democrat, 80.93
Rabun, Al Smith, Democrat, 65.85
Randolph, Al Smith, Democrat, 81.94
Richmond, Herbert Hoover, Republican, 70.99
Rockdale, Al Smith, Democrat, 75.16
Schley, Al Smith, Democrat, 80.99
Screven, Herbert Hoover, Republican, 70.18
Seminole, Al Smith, Democrat, 77.13
Spalding, Al Smith, Democrat, 80.8
Stephens, Al Smith, Democrat, 61.86
Stewart, Al Smith, Democrat, 89.27
Sumter, Al Smith, Democrat, 80.8
Talbot, Al Smith, Democrat, 87.87
Taliaferro, Al Smith, Democrat, 88.49
Tattnall, Herbert Hoover, Republican, 63.23
Taylor, Al Smith, Democrat, 62.57
Telfair, Al Smith, Democrat, 86.1
Terrell, Al Smith, Democrat, 88.55
Thomas, Al Smith, Democrat, 60.37
Tift, Al Smith, Democrat, 59.02
Toombs, Al Smith, Democrat, 52.74
Towns, Herbert Hoover, Republican, 62.37
Treutlen, Al Smith, Democrat, 85.96
Troup, Al Smith, Democrat, 61.69
Turner, Herbert Hoover, Republican, 61.59
Twiggs, Al Smith, Democrat, 88.53
Union, Herbert Hoover, Republican, 82.18
Upson, Al Smith, Democrat, 76.54
Walker, Herbert Hoover, Republican, 62.91
Walton, Al Smith, Democrat, 72.8
Ware, Al Smith, Democrat, 51.4
Warren, Herbert Hoover, Republican, 50.8
Washington, Al Smith, Democrat, 70.76
Wayne, Al Smith, Democrat, 54.16
Webster, Al Smith, Democrat, 74.04
Wheeler, Al Smith, Democrat, 75.54
White, Herbert Hoover, Republican, 67.46
Whitfield, Herbert Hoover, Republican, 58.84
Wilcox, Al Smith, Democrat, 68
Wilkes, Herbert Hoover, Republican, 51.65
Wilkinson, Al Smith, Democrat, 68.21
Worth, Al Smith, Democrat, 75.44
