Aitkin, Herbert Hoover, Republican, 70.1
Anoka, Herbert Hoover, Republican, 59.05
Becker, Herbert Hoover, Republican, 55.47
Beltrami, Herbert Hoover, Republican, 62.28
Benton, Al Smith, Democrat, 53.3
Big Stone, Al Smith, Democrat, 56.15
Blue Earth, Herbert Hoover, Republican, 60.71
Brown, Al Smith, Democrat, 59.24
Carlton, Herbert Hoover, Republican, 64.01
Carver, Herbert Hoover, Republican, 57.72
Cass, Herbert Hoover, Republican, 67.02
Chippewa, Herbert Hoover, Republican, 62.77
Chisago, Herbert Hoover, Republican, 75.51
Clay, Herbert Hoover, Republican, 61.13
Clearwater, Herbert Hoover, Republican, 60.01
Cook, Herbert Hoover, Republican, 72.59
Cottonwood, Herbert Hoover, Republican, 67.45
Crow Wing, Herbert Hoover, Republican, 67.87
Dakota, Al Smith, Democrat, 54.15
Dodge, Herbert Hoover, Republican, 74.49
Douglas, Herbert Hoover, Republican, 59.27
Faribault, Herbert Hoover, Republican, 69.21
Fillmore, Herbert Hoover, Republican, 77.77
Freeborn, Herbert Hoover, Republican, 72.7
Goodhue, Herbert Hoover, Republican, 72.93
Grant, Herbert Hoover, Republican, 54.33
Hennepin, Herbert Hoover, Republican, 60.19
Houston, Herbert Hoover, Republican, 64.87
Hubbard, Herbert Hoover, Republican, 65.76
Isanti, Herbert Hoover, Republican, 71.13
Itasca, Herbert Hoover, Republican, 58.95
Jackson, Herbert Hoover, Republican, 55.06
Kanabec, Herbert Hoover, Republican, 68.35
Kandiyohi, Herbert Hoover, Republican, 67.82
Kittson, Herbert Hoover, Republican, 56.81
Koochiching, Herbert Hoover, Republican, 53.67
Lac qui Parle, Herbert Hoover, Republican, 59.65
Lake, Herbert Hoover, Republican, 72.84
Lake of the Woods, Herbert Hoover, Republican, 51.45
Le Sueur, Al Smith, Democrat, 57.3
Lincoln, Al Smith, Democrat, 50.96
Lyon, Herbert Hoover, Republican, 54.93
McLeod, Herbert Hoover, Republican, 54.82
Mahnomen, Al Smith, Democrat, 67.98
Marshall, Herbert Hoover, Republican, 61.58
Martin, Herbert Hoover, Republican, 64.1
Meeker, Herbert Hoover, Republican, 59.63
Mille Lacs, Herbert Hoover, Republican, 72.01
Morrison, Al Smith, Democrat, 57.27
Mower, Herbert Hoover, Republican, 63.09
Murray, Herbert Hoover, Republican, 55.26
Nicollet, Herbert Hoover, Republican, 59.13
Nobles, Herbert Hoover, Republican, 56.01
Norman, Herbert Hoover, Republican, 67.39
Olmsted, Herbert Hoover, Republican, 63.63
Otter Tail, Herbert Hoover, Republican, 68.28
Pennington, Herbert Hoover, Republican, 65.29
Pine, Herbert Hoover, Republican, 56.53
Pipestone, Herbert Hoover, Republican, 61.4
Polk, Herbert Hoover, Republican, 56.08
Pope, Herbert Hoover, Republican, 66.13
Ramsey, Al Smith, Democrat, 51.22
Red Lake, Al Smith, Democrat, 66.8
Redwood, Herbert Hoover, Republican, 63.18
Renville, Herbert Hoover, Republican, 57.18
Rice, Herbert Hoover, Republican, 56.5
Rock, Herbert Hoover, Republican, 60.03
Roseau, Herbert Hoover, Republican, 63.16
Saint Louis, Herbert Hoover, Republican, 61.13
Scott, Al Smith, Democrat, 71.71
Sherburne, Herbert Hoover, Republican, 69.08
Sibley, Herbert Hoover, Republican, 55.94
Stearns, Al Smith, Democrat, 71.21
Steele, Herbert Hoover, Republican, 62.46
Stevens, Herbert Hoover, Republican, 60.7
Swift, Herbert Hoover, Republican, 49.72
Todd, Herbert Hoover, Republican, 59.81
Traverse, Al Smith, Democrat, 60.67
Wabasha, Herbert Hoover, Republican, 55.84
Wadena, Herbert Hoover, Republican, 64.09
Waseca, Herbert Hoover, Republican, 56.94
Washington, Herbert Hoover, Republican, 59.06
Watonwan, Herbert Hoover, Republican, 69.69
Wilkin, Herbert Hoover, Republican, 53.9
Winona, Herbert Hoover, Republican, 53.16
Wright, Herbert Hoover, Republican, 56.57
Yellow Medicine, Herbert Hoover, Republican, 52.56
