Anderson, Herbert Hoover, Republican, 50.94
Andrews, Herbert Hoover, Republican, 72.53
Angelina, Al Smith, Democrat, 65.59
Aransas, Herbert Hoover, Republican, 51.44
Archer, Al Smith, Democrat, 51.98
Armstrong, Al Smith, Democrat, 54.06
Atascosa, Herbert Hoover, Republican, 56.56
Austin, Al Smith, Democrat, 81.98
Bailey, Herbert Hoover, Republican, 74.28
Bandera, Herbert Hoover, Republican, 74.52
Bastrop, Al Smith, Democrat, 64.35
Baylor, Al Smith, Democrat, 61.49
Bee, Herbert Hoover, Republican, 53.18
Bell, Herbert Hoover, Republican, 52.17
Bexar, Al Smith, Democrat, 50.14
Blanco, Herbert Hoover, Republican, 53.25
Borden, Herbert Hoover, Republican, 57.31
Bosque, Herbert Hoover, Republican, 55.19
Bowie, Al Smith, Democrat, 57.43
Brazoria, Herbert Hoover, Republican, 59.39
Brazos, Al Smith, Democrat, 66.64
Brewster, Herbert Hoover, Republican, 59.36
Briscoe, Al Smith, Democrat, 52.42
Brooks, Al Smith, Democrat, 67.48
Brown, Herbert Hoover, Republican, 50.46
Burleson, Al Smith, Democrat, 82.13
Burnet, Herbert Hoover, Republican, 66.67
Caldwell, Al Smith, Democrat, 50.46
Calhoun, Al Smith, Democrat, 52.74
Callahan, Herbert Hoover, Republican, 51.02
Cameron, Herbert Hoover, Republican, 52.45
Camp, Al Smith, Democrat, 56.44
Carson, Herbert Hoover, Republican, 60.04
Cass, Al Smith, Democrat, 56.21
Castro, Al Smith, Democrat, 54.62
Chambers, Herbert Hoover, Republican, 51.41
Cherokee, Al Smith, Democrat, 50.06
Childress, Herbert Hoover, Republican, 66.45
Clay, Herbert Hoover, Republican, 53.36
Cochran, Herbert Hoover, Republican, 64.38
Coke, Herbert Hoover, Republican, 68.6
Coleman, Herbert Hoover, Republican, 53
Collin, Herbert Hoover, Republican, 50.55
Collingsworth, Herbert Hoover, Republican, 65.98
Colorado, Al Smith, Democrat, 66.63
Comal, Al Smith, Democrat, 78.78
Comanche, Herbert Hoover, Republican, 53.08
Concho, Herbert Hoover, Republican, 50.97
Cooke, Herbert Hoover, Republican, 53.99
