Accomack, Al Smith, Democrat, 57.15
Albemarle, Al Smith, Democrat, 64.94
Alleghany, Herbert Hoover, Republican, 72.53
Amelia, Al Smith, Democrat, 64.18
Amherst, Al Smith, Democrat, 75.89
Appomattox, Al Smith, Democrat, 66.34
Arlington, Herbert Hoover, Republican, 74.41
Augusta, Herbert Hoover, Republican, 63.82
Bath, Herbert Hoover, Republican, 63.9
Bedford, Al Smith, Democrat, 56.05
Bland, Herbert Hoover, Republican, 58.92
Botetourt, Herbert Hoover, Republican, 56.7
Brunswick, Al Smith, Democrat, 78.94
Buchanan, Al Smith, Democrat, 50.42
Buckingham, Al Smith, Democrat, 50.85
Campbell, Al Smith, Democrat, 54.45
Caroline, Al Smith, Democrat, 49.92
Carroll, Herbert Hoover, Republican, 68.51
Charles City, Herbert Hoover, Republican, 66.35
Charlotte, Al Smith, Democrat, 73.35
Chesterfield, Herbert Hoover, Republican, 54.89
Clarke, Al Smith, Democrat, 74.82
Craig, Al Smith, Democrat, 51.91
Culpeper, Al Smith, Democrat, 52.58
Cumberland, Al Smith, Democrat, 67.07
Dickenson, Al Smith, Democrat, 50.05
Dinwiddie, Al Smith, Democrat, 73.83
Elizabeth City, Herbert Hoover, Republican, 57.78
Essex, Al Smith, Democrat, 62.21
Fairfax, Herbert Hoover, Republican, 66.98
Fauquier, Al Smith, Democrat, 61.09
Floyd, Herbert Hoover, Republican, 77.34
Fluvanna, Al Smith, Democrat, 57.46
Franklin, Al Smith, Democrat, 54.83
Frederick, Al Smith, Democrat, 53
Giles, Herbert Hoover, Republican, 50.23
Gloucester, Herbert Hoover, Republican, 51.12
Goochland, Al Smith, Democrat, 57.16
Grayson, Herbert Hoover, Republican, 61.25
Greene, Herbert Hoover, Republican, 61.93
Greensville, Al Smith, Democrat, 61.86
Halifax, Al Smith, Democrat, 71.31
Hanover, Al Smith, Democrat, 58.4
Henrico, Herbert Hoover, Republican, 57.87
Henry, Al Smith, Democrat, 52.59
Highland, Herbert Hoover, Republican, 62.36
Isle of Wight, Herbert Hoover, Republican, 51.1
James City, Herbert Hoover, Republican, 50.12
King and Queen, Herbert Hoover, Republican, 52.9
King George, Herbert Hoover, Republican, 57.04
King William, Al Smith, Democrat, 56.41
Lancaster, Herbert Hoover, Republican, 62.28
Lee, Herbert Hoover, Republican, 58.23
Loudoun, Al Smith, Democrat, 59.03
Louisa, Herbert Hoover, Republican, 51.23
Lunenburg, Al Smith, Democrat, 79.25
Madison, Herbert Hoover, Republican, 56.97
Mathews, Herbert Hoover, Republican, 66.43
Mecklenburg, Al Smith, Democrat, 69.06
Middlesex, Al Smith, Democrat, 55.37
Montgomery, Herbert Hoover, Republican, 65.64
Nansemond, Al Smith, Democrat, 53.14
Nelson, Al Smith, Democrat, 66.27
New Kent, Herbert Hoover, Republican, 54.66
Norfolk, Herbert Hoover, Republican, 57.39
Northampton, Al Smith, Democrat, 57.61
Northumberland, Herbert Hoover, Republican, 72.09
Nottoway, Al Smith, Democrat, 59.61
Orange, Al Smith, Democrat, 53.61
Page, Herbert Hoover, Republican, 60.65
Patrick, Herbert Hoover, Republican, 57.26
Pittsylvania, Herbert Hoover, Republican, 60.52
Powhatan, Al Smith, Democrat, 60.29
Prince Edward, Al Smith, Democrat, 58.35
Prince George, Al Smith, Democrat, 64.36
Prince William, Al Smith, Democrat, 50.27
Princess Anne, Herbert Hoover, Republican, 55.23
Pulaski, Herbert Hoover, Republican, 52.32
Rappahannock, Al Smith, Democrat, 60.93
Richmond, Herbert Hoover, Republican, 61.53
Roanoke, Herbert Hoover, Republican, 67.53
Rockbridge, Al Smith, Democrat, 51.94
Rockingham, Herbert Hoover, Republican, 73.06
Russell, Al Smith, Democrat, 55.55
Scott, Herbert Hoover, Republican, 55.28
Shenandoah, Herbert Hoover, Republican, 68.01
Smyth, Herbert Hoover, Republican, 58.53
Southampton, Al Smith, Democrat, 56.53
Spotsylvania, Herbert Hoover, Republican, 59.78
Stafford, Herbert Hoover, Republican, 64.27
Surry, Al Smith, Democrat, 77.29
Sussex, Al Smith, Democrat, 58.69
Tazewell, Herbert Hoover, Republican, 60.65
Warren, Al Smith, Democrat, 55.64
Warwick, Herbert Hoover, Republican, 60.78
Washington, Herbert Hoover, Republican, 56.25
Westmoreland, Herbert Hoover, Republican, 58.5
Wise, Al Smith, Democrat, 50.24
Wythe, Herbert Hoover, Republican, 62.56
York, Herbert Hoover, Republican, 76.7
Alexandria City, Herbert Hoover, Republican, 55.26
Bristol City, Al Smith, Democrat, 59.25
Buena Vista City, Herbert Hoover, Republican, 60.68
Charlottesville City, Al Smith, Democrat, 58.25
Clifton Forge City, Herbert Hoover, Republican, 56.92
Danville City, Herbert Hoover, Republican, 66.27
Fredericksburg City, Herbert Hoover, Republican, 53.91
Hampton City, Al Smith, Democrat, 53.02
Harrisonburg City, Herbert Hoover, Republican, 62.66
Hopewell City, Herbert Hoover, Republican, 51.11
Lynchburg City, Herbert Hoover, Republican, 57.88
Newport News City, Herbert Hoover, Republican, 61.34
Norfolk City, Herbert Hoover, Republican, 58.65
Petersburg City, Al Smith, Democrat, 60.22
Portsmouth City, Herbert Hoover, Republican, 57.04
Radford City, Herbert Hoover, Republican, 58.29
Richmond City, Herbert Hoover, Republican, 51.2
Roanoke City, Herbert Hoover, Republican, 61.62
South Norfolk City, Herbert Hoover, Republican, 84.56
Staunton City, Herbert Hoover, Republican, 58.13
Suffolk City, Al Smith, Democrat, 52.56
Williamsburg City, Al Smith, Democrat, 75.98
Winchester City, Herbert Hoover, Republican, 59.35
