Adair, Herbert Hoover, Republican, 59.35
Alfalfa, Herbert Hoover, Republican, 77.98
Atoka, Al Smith, Democrat, 56.16
Beaver, Herbert Hoover, Republican, 73.67
Beckham, Herbert Hoover, Republican, 62.36
Blaine, Herbert Hoover, Republican, 67.83
Bryan, Al Smith, Democrat, 55.9
Caddo, Herbert Hoover, Republican, 64.27
Canadian, Herbert Hoover, Republican, 63.63
Carter, Herbert Hoover, Republican, 55.8
Cherokee, Herbert Hoover, Republican, 54.49
Choctaw, Al Smith, Democrat, 50.1
Cimarron, Herbert Hoover, Republican, 66.03
Cleveland, Herbert Hoover, Republican, 61.35
Coal, Al Smith, Democrat, 56.11
Comanche, Herbert Hoover, Republican, 62.45
Cotton, Herbert Hoover, Republican, 59.76
Craig, Herbert Hoover, Republican, 54.48
Creek, Herbert Hoover, Republican, 67.92
Custer, Herbert Hoover, Republican, 68.56
Delaware, Herbert Hoover, Republican, 59.7
Dewey, Herbert Hoover, Republican, 65.35
Ellis, Herbert Hoover, Republican, 62.8
Garfield, Herbert Hoover, Republican, 77.77
Garvin, Al Smith, Democrat, 51.26
Grady, Herbert Hoover, Republican, 62.64
Grant, Herbert Hoover, Republican, 74.3
Greer, Herbert Hoover, Republican, 57.48
Harmon, Herbert Hoover, Republican, 56.85
Harper, Herbert Hoover, Republican, 66.45
Haskell, Herbert Hoover, Republican, 53.95
Hughes, Herbert Hoover, Republican, 55.18
Jackson, Herbert Hoover, Republican, 57.72
Jefferson, Herbert Hoover, Republican, 53.79
Johnston, Al Smith, Democrat, 57.04
Kay, Herbert Hoover, Republican, 76.15
Kingfisher, Herbert Hoover, Republican, 69.08
Kiowa, Herbert Hoover, Republican, 63.54
Latimer, Al Smith, Democrat, 52.96
Le Flore, Herbert Hoover, Republican, 52.48
Lincoln, Herbert Hoover, Republican, 70.74
Logan, Herbert Hoover, Republican, 72.72
Love, Al Smith, Democrat, 60.07
Major, Herbert Hoover, Republican, 78.73
Marshall, Al Smith, Democrat, 54.3
Mayes, Herbert Hoover, Republican, 57.61
McClain, Herbert Hoover, Republican, 55.07
McCurtain, Al Smith, Democrat, 59.78
McIntosh, Herbert Hoover, Republican, 56.88
Murray, Herbert Hoover, Republican, 51.53
Muskogee, Herbert Hoover, Republican, 60.92
Noble, Herbert Hoover, Republican, 66.21
Nowata, Herbert Hoover, Republican, 62.18
Okfuskee, Herbert Hoover, Republican, 58.25
Oklahoma, Herbert Hoover, Republican, 69.13
Okmulgee, Herbert Hoover, Republican, 60.77
Osage, Herbert Hoover, Republican, 67.52
Ottawa, Herbert Hoover, Republican, 64.03
Pawnee, Herbert Hoover, Republican, 68.82
Payne, Herbert Hoover, Republican, 72.19
Pittsburg, Al Smith, Democrat, 49.91
Pontotoc, Herbert Hoover, Republican, 50.87
Pottawatomie, Herbert Hoover, Republican, 68.57
Pushmataha, Herbert Hoover, Republican, 52.88
Roger Mills, Herbert Hoover, Republican, 63.51
Rogers, Herbert Hoover, Republican, 61.38
Seminole, Herbert Hoover, Republican, 64.6
Sequoyah, Herbert Hoover, Republican, 55.04
Stephens, Herbert Hoover, Republican, 62.71
Texas, Herbert Hoover, Republican, 69.16
Tillman, Herbert Hoover, Republican, 60.6
Tulsa, Herbert Hoover, Republican, 70.49
Wagoner, Herbert Hoover, Republican, 60.62
Washington, Herbert Hoover, Republican, 73.48
Washita, Herbert Hoover, Republican, 63.28
Woods, Herbert Hoover, Republican, 70.38
Woodward, Herbert Hoover, Republican, 69.06
