Adams, Herbert Hoover, Republican, 53.59
Alexander, Herbert Hoover, Republican, 61.24
Bond, Herbert Hoover, Republican, 64.06
Boone, Herbert Hoover, Republican, 80.95
Brown, Herbert Hoover, Republican, 54.96
Bureau, Herbert Hoover, Republican, 63.73
Calhoun, Herbert Hoover, Republican, 50.16
Carroll, Herbert Hoover, Republican, 76.34
Cass, Herbert Hoover, Republican, 53.5
Champaign, Herbert Hoover, Republican, 68.28
Christian, Herbert Hoover, Republican, 56.77
Clark, Herbert Hoover, Republican, 60.64
Clay, Herbert Hoover, Republican, 65.16
Clinton, Al Smith, Democrat, 68.76
Coles, Herbert Hoover, Republican, 69.12
Cook, Herbert Hoover, Republican, 52.73
Crawford, Herbert Hoover, Republican, 62.9
Cumberland, Herbert Hoover, Republican, 63.04
DeKalb, Herbert Hoover, Republican, 74.19
DeWitt, Herbert Hoover, Republican, 69.4
Douglas, Herbert Hoover, Republican, 68.19
DuPage, Herbert Hoover, Republican, 72.37
Edgar, Herbert Hoover, Republican, 58.27
Edwards, Herbert Hoover, Republican, 74.78
Effingham, Al Smith, Democrat, 51.61
Fayette, Herbert Hoover, Republican, 61.65
Ford, Herbert Hoover, Republican, 68.72
Franklin, Al Smith, Democrat, 52.58
Fulton, Herbert Hoover, Republican, 59.95
Gallatin, Al Smith, Democrat, 53.58
Greene, Herbert Hoover, Republican, 51.05
Grundy, Herbert Hoover, Republican, 61.54
Hamilton, Herbert Hoover, Republican, 51.08
Hancock, Herbert Hoover, Republican, 58.65
Hardin, Herbert Hoover, Republican, 64.35
Henderson, Herbert Hoover, Republican, 71.11
Henry, Herbert Hoover, Republican, 70.83
Iroquois, Herbert Hoover, Republican, 60.71
Jackson, Herbert Hoover, Republican, 60.79
Jasper, Herbert Hoover, Republican, 51.04
Jefferson, Herbert Hoover, Republican, 55.08
Jersey, Herbert Hoover, Republican, 54.62
Jo Daviess, Herbert Hoover, Republican, 61.59
Johnson, Herbert Hoover, Republican, 70.69
Kane, Herbert Hoover, Republican, 69.94
Kankakee, Herbert Hoover, Republican, 53.44
Kendall, Herbert Hoover, Republican, 75.53
Knox, Herbert Hoover, Republican, 72.33
Lake, Herbert Hoover, Republican, 67.73
LaSalle, Herbert Hoover, Republican, 53.15
Lawrence, Herbert Hoover, Republican, 60.16
Lee, Herbert Hoover, Republican, 67.14
Livingston, Herbert Hoover, Republican, 65.68
Logan, Herbert Hoover, Republican, 59.97
Macon, Herbert Hoover, Republican, 70.68
Macoupin, Al Smith, Democrat, 50.32
Madison, Herbert Hoover, Republican, 53.48
Marion, Herbert Hoover, Republican, 60.52
Marshall, Herbert Hoover, Republican, 58.69
Mason, Herbert Hoover, Republican, 54.78
Massac, Herbert Hoover, Republican, 72.87
McDonough, Herbert Hoover, Republican, 68.15
McHenry, Herbert Hoover, Republican, 65.33
McLean, Herbert Hoover, Republican, 65.37
Menard, Herbert Hoover, Republican, 64.54
Mercer, Herbert Hoover, Republican, 70.59
Monroe, Al Smith, Democrat, 51.79
Montgomery, Herbert Hoover, Republican, 54.29
Morgan, Herbert Hoover, Republican, 63.52
Moultrie, Herbert Hoover, Republican, 60.31
Ogle, Herbert Hoover, Republican, 76.53
Peoria, Herbert Hoover, Republican, 56.5
Perry, Al Smith, Democrat, 51.49
Piatt, Herbert Hoover, Republican, 69.62
Pike, Herbert Hoover, Republican, 61.88
Pope, Herbert Hoover, Republican, 74.06
Pulaski, Herbert Hoover, Republican, 65.18
Putnam, Herbert Hoover, Republican, 61.1
Randolph, Al Smith, Democrat, 51.69
Richland, Herbert Hoover, Republican, 61.03
Rock Island, Herbert Hoover, Republican, 65.22
Saline, Herbert Hoover, Republican, 53.82
Sangamon, Herbert Hoover, Republican, 59.99
Schuyler, Herbert Hoover, Republican, 54
Scott, Herbert Hoover, Republican, 59.96
Shelby, Herbert Hoover, Republican, 62.58
St. Clair, Al Smith, Democrat, 53.46
Stark, Herbert Hoover, Republican, 69.09
Stephenson, Herbert Hoover, Republican, 67.97
Tazewell, Herbert Hoover, Republican, 56.73
Union, Al Smith, Democrat, 55.1
Vermilion, Herbert Hoover, Republican, 62.26
Wabash, Al Smith, Democrat, 62.1
Warren, Herbert Hoover, Republican, 73.61
Washington, Herbert Hoover, Republican, 55.9
Wayne, Herbert Hoover, Republican, 62.04
White, Herbert Hoover, Republican, 53.01
Whiteside, Herbert Hoover, Republican, 76.6
Will, Herbert Hoover, Republican, 55.02
Williamson, Herbert Hoover, Republican, 51.21
Winnebago, Herbert Hoover, Republican, 80.39
Woodford, Herbert Hoover, Republican, 60.3
