Adams, Al Smith, Democrat, 49.96
Allen, Herbert Hoover, Republican, 56.38
Bartholomew, Herbert Hoover, Republican, 57.76
Benton, Herbert Hoover, Republican, 58.37
Blackford, Herbert Hoover, Republican, 59.35
Boone, Herbert Hoover, Republican, 58.81
Brown, Al Smith, Democrat, 50.53
Carroll, Herbert Hoover, Republican, 59.54
Cass, Herbert Hoover, Republican, 61.31
Clark, Herbert Hoover, Republican, 56.39
Clay, Herbert Hoover, Republican, 56.19
Clinton, Herbert Hoover, Republican, 55.89
Crawford, Herbert Hoover, Republican, 57.39
Daviess, Herbert Hoover, Republican, 56.73
Dearborn, Herbert Hoover, Republican, 58.49
Decatur, Herbert Hoover, Republican, 58.4
DeKalb, Herbert Hoover, Republican, 64.04
Delaware, Herbert Hoover, Republican, 68.79
Dubois, Al Smith, Democrat, 64.41
Elkhart, Herbert Hoover, Republican, 74.76
Fayette, Herbert Hoover, Republican, 62.63
Floyd, Herbert Hoover, Republican, 58.49
Fountain, Herbert Hoover, Republican, 55.6
Franklin, Al Smith, Democrat, 52.58
Fulton, Herbert Hoover, Republican, 61.09
Gibson, Herbert Hoover, Republican, 57.07
Grant, Herbert Hoover, Republican, 65.98
Greene, Herbert Hoover, Republican, 57.81
Hamilton, Herbert Hoover, Republican, 67.6
Hancock, Herbert Hoover, Republican, 56.49
Harrison, Herbert Hoover, Republican, 54.43
Hendricks, Herbert Hoover, Republican, 64.79
Henry, Herbert Hoover, Republican, 68.53
Howard, Herbert Hoover, Republican, 66.89
Huntington, Herbert Hoover, Republican, 58.88
Jackson, Herbert Hoover, Republican, 49.78
Jasper, Herbert Hoover, Republican, 65.65
Jay, Herbert Hoover, Republican, 55.31
Jefferson, Herbert Hoover, Republican, 57.24
Jennings, Herbert Hoover, Republican, 60.76
Johnson, Herbert Hoover, Republican, 54.3
Knox, Herbert Hoover, Republican, 49.92
Kosciusko, Herbert Hoover, Republican, 63.18
LaGrange, Herbert Hoover, Republican, 64.4
Lake, Herbert Hoover, Republican, 59.68
LaPorte, Herbert Hoover, Republican, 61.32
Lawrence, Herbert Hoover, Republican, 68.7
Madison, Herbert Hoover, Republican, 64.45
Marion, Herbert Hoover, Republican, 59.55
Marshall, Herbert Hoover, Republican, 60.24
Martin, Herbert Hoover, Republican, 51.88
Miami, Herbert Hoover, Republican, 59.19
Monroe, Herbert Hoover, Republican, 67
Montgomery, Herbert Hoover, Republican, 63.69
Morgan, Herbert Hoover, Republican, 57.76
Newton, Herbert Hoover, Republican, 64.48
Noble, Herbert Hoover, Republican, 59.76
Ohio, Herbert Hoover, Republican, 57.1
Orange, Herbert Hoover, Republican, 61.77
Owen, Herbert Hoover, Republican, 55.03
Parke, Herbert Hoover, Republican, 59.25
Perry, Al Smith, Democrat, 50.02
Pike, Herbert Hoover, Republican, 54.61
Porter, Herbert Hoover, Republican, 70.44
Posey, Herbert Hoover, Republican, 51.8
Pulaski, Herbert Hoover, Republican, 56.43
Putnam, Herbert Hoover, Republican, 55.72
Randolph, Herbert Hoover, Republican, 71.32
Ripley, Herbert Hoover, Republican, 53.39
Rush, Herbert Hoover, Republican, 68.38
Scott, Herbert Hoover, Republican, 52.68
Shelby, Herbert Hoover, Republican, 56.14
Spencer, Herbert Hoover, Republican, 52.83
St. Joseph, Herbert Hoover, Republican, 57.56
Starke, Herbert Hoover, Republican, 57.32
Steuben, Herbert Hoover, Republican, 71.35
Sullivan, Herbert Hoover, Republican, 51.09
Switzerland, Herbert Hoover, Republican, 58.62
Tippecanoe, Herbert Hoover, Republican, 63.25
Tipton, Herbert Hoover, Republican, 59.3
Union, Herbert Hoover, Republican, 65.99
Vanderburgh, Herbert Hoover, Republican, 59.44
Vermillion, Herbert Hoover, Republican, 51.41
Vigo, Herbert Hoover, Republican, 54.71
Wabash, Herbert Hoover, Republican, 68.25
Warren, Herbert Hoover, Republican, 68.57
Warrick, Herbert Hoover, Republican, 54.12
Washington, Herbert Hoover, Republican, 51.96
Wayne, Herbert Hoover, Republican, 67.52
Wells, Al Smith, Democrat, 50.16
White, Herbert Hoover, Republican, 60.01
Whitley, Herbert Hoover, Republican, 57.43
