Adams, Henry M Jackson, Democrat, 79.6
Asotin, Henry M Jackson, Democrat, 82
Benton, Henry M Jackson, Democrat, 89.3
Chelan, Henry M Jackson, Democrat, 76.5
Clallam, Henry M Jackson, Democrat, 81.2
Clark, Henry M Jackson, Democrat, 83.9
Columbia, Henry M Jackson, Democrat, 80.9
Cowlitz, Henry M Jackson, Democrat, 81.8
Douglas, Henry M Jackson, Democrat, 82.5
Ferry, Henry M Jackson, Democrat, 81.4
Franklin, Henry M Jackson, Democrat, 89
Garfield, Henry M Jackson, Democrat, 81.6
Grant, Henry M Jackson, Democrat, 82.3
Grays Harbor, Henry M Jackson, Democrat, 85.3
Island, Henry M Jackson, Democrat, 76.8
Jefferson, Henry M Jackson, Democrat, 83
King, Henry M Jackson, Democrat, 82.5
Kitsap, Henry M Jackson, Democrat, 83.6
Kittitas, Henry M Jackson, Democrat, 81.6
Klickitat, Henry M Jackson, Democrat, 84.9
Lewis, Henry M Jackson, Democrat, 78.6
Lincoln, Henry M Jackson, Democrat, 79.1
Mason, Henry M Jackson, Democrat, 83.1
Okanogan, Henry M Jackson, Democrat, 81.9
Pacific, Henry M Jackson, Democrat, 85.4
Pend Oreille, Henry M Jackson, Democrat, 82.3
Pierce, Henry M Jackson, Democrat, 83.8
San Juan, Henry M Jackson, Democrat, 69.9
Skagit, Henry M Jackson, Democrat, 80.3
Skamania, Henry M Jackson, Democrat, 84.5
Snohomish, Henry M Jackson, Democrat, 85
Spokane, Henry M Jackson, Democrat, 79.8
Stevens, Henry M Jackson, Democrat, 80.2
Thurston, Henry M Jackson, Democrat, 82.8
Wahkiakum, Henry M Jackson, Democrat, 82.1
Walla Walla, Henry M Jackson, Democrat, 77.1
Whatcom, Henry M Jackson, Democrat, 79.1
Whitman, Henry M Jackson, Democrat, 72.4
Yakima, Henry M Jackson, Democrat, 83.4
