Aurora, Thomas E Dewey, Republican, 53.5
Beadle, Franklin D Roosevelt, Democrat, 51.56
Bennett, Franklin D Roosevelt, Democrat, 53.4
Bon Homme, Thomas E Dewey, Republican, 56.31
Brookings, Thomas E Dewey, Republican, 66.61
Brown, Franklin D Roosevelt, Democrat, 53.1
Brule, Franklin D Roosevelt, Democrat, 58.49
Buffalo, Thomas E Dewey, Republican, 56.45
Butte, Thomas E Dewey, Republican, 66.28
Campbell, Thomas E Dewey, Republican, 83.43
Charles Mix, Franklin D Roosevelt, Democrat, 55.44
Clark, Thomas E Dewey, Republican, 61.56
Clay, Thomas E Dewey, Republican, 52.31
Codington, Thomas E Dewey, Republican, 51.76
Corson, Thomas E Dewey, Republican, 56.19
Custer, Thomas E Dewey, Republican, 64.4
Davison, Franklin D Roosevelt, Democrat, 52.38
Day, Thomas E Dewey, Republican, 51.04
Deuel, Thomas E Dewey, Republican, 61.81
Dewey, Thomas E Dewey, Republican, 64.12
Douglas, Thomas E Dewey, Republican, 67.35
Edmunds, Thomas E Dewey, Republican, 64.71
Fall River, Thomas E Dewey, Republican, 63.33
Faulk, Thomas E Dewey, Republican, 54.88
Grant, Thomas E Dewey, Republican, 60.7
Gregory, Thomas E Dewey, Republican, 56.17
Haakon, Thomas E Dewey, Republican, 62.61
Hamlin, Thomas E Dewey, Republican, 63.97
Hand, Thomas E Dewey, Republican, 57.62
Hanson, Thomas E Dewey, Republican, 55.33
Harding, Thomas E Dewey, Republican, 52.82
Hughes, Thomas E Dewey, Republican, 64.12
Hutchinson, Thomas E Dewey, Republican, 84.46
Hyde, Thomas E Dewey, Republican, 64.97
Jackson, Thomas E Dewey, Republican, 61.48
Jerauld, Thomas E Dewey, Republican, 62.47
Jones, Thomas E Dewey, Republican, 63.79
Kingsbury, Thomas E Dewey, Republican, 68.73
Lake, Thomas E Dewey, Republican, 65.7
Lawrence, Thomas E Dewey, Republican, 65.41
Lincoln, Thomas E Dewey, Republican, 66.99
Lyman, Thomas E Dewey, Republican, 57.92
Marshall, Thomas E Dewey, Republican, 52.57
McCook, Thomas E Dewey, Republican, 68.39
McPherson, Thomas E Dewey, Republican, 84.81
Meade, Thomas E Dewey, Republican, 62.16
Mellette, Thomas E Dewey, Republican, 57.02
Miner, Thomas E Dewey, Republican, 58.62
Minnehaha, Thomas E Dewey, Republican, 57.67
Moody, Thomas E Dewey, Republican, 59.43
Pennington, Thomas E Dewey, Republican, 59.87
Perkins, Thomas E Dewey, Republican, 57.11
Potter, Thomas E Dewey, Republican, 58.27
Roberts, Franklin D Roosevelt, Democrat, 52.64
Sanborn, Thomas E Dewey, Republican, 54.84
Shannon, Thomas E Dewey, Republican, 53.93
Spink, Thomas E Dewey, Republican, 50.86
Stanley, Thomas E Dewey, Republican, 62.14
Sully, Thomas E Dewey, Republican, 67.11
Todd, Thomas E Dewey, Republican, 51.9
Tripp, Thomas E Dewey, Republican, 53.82
Turner, Thomas E Dewey, Republican, 73.13
Union, Thomas E Dewey, Republican, 54.87
Walworth, Thomas E Dewey, Republican, 55.64
Washabaugh, Franklin D Roosevelt, Democrat, 51.23
Yankton, Thomas E Dewey, Republican, 58.41
Ziebach, Franklin D Roosevelt, Democrat, 51.68
