Autauga, Franklin D Roosevelt, Democrat, 91.06
Baldwin, Franklin D Roosevelt, Democrat, 73.41
Barbour, Franklin D Roosevelt, Democrat, 94.91
Bibb, Franklin D Roosevelt, Democrat, 83.25
Blount, Franklin D Roosevelt, Democrat, 67.85
Bullock, Franklin D Roosevelt, Democrat, 97.78
Butler, Franklin D Roosevelt, Democrat, 95.75
Calhoun, Franklin D Roosevelt, Democrat, 85.65
Chambers, Franklin D Roosevelt, Democrat, 94.43
Cherokee, Franklin D Roosevelt, Democrat, 80.64
Chilton, Franklin D Roosevelt, Democrat, 58.77
Choctaw, Franklin D Roosevelt, Democrat, 93.32
Clarke, Franklin D Roosevelt, Democrat, 93.98
Clay, Franklin D Roosevelt, Democrat, 67.03
Cleburne, Franklin D Roosevelt, Democrat, 65.02
Coffee, Franklin D Roosevelt, Democrat, 96.02
Colbert, Franklin D Roosevelt, Democrat, 87.07
Conecuh, Franklin D Roosevelt, Democrat, 91.34
Coosa, Franklin D Roosevelt, Democrat, 72.86
Covington, Franklin D Roosevelt, Democrat, 91.98
Crenshaw, Franklin D Roosevelt, Democrat, 94.06
Cullman, Franklin D Roosevelt, Democrat, 63.43
Dale, Franklin D Roosevelt, Democrat, 85.57
Dallas, Franklin D Roosevelt, Democrat, 94.74
DeKalb, Franklin D Roosevelt, Democrat, 62.35
Elmore, Franklin D Roosevelt, Democrat, 94.32
Escambia, Franklin D Roosevelt, Democrat, 88.2
Etowah, Franklin D Roosevelt, Democrat, 78.38
Fayette, Franklin D Roosevelt, Democrat, 64.1
Franklin, Franklin D Roosevelt, Democrat, 59.3
Geneva, Franklin D Roosevelt, Democrat, 83.36
Greene, Franklin D Roosevelt, Democrat, 93.63
Hale, Franklin D Roosevelt, Democrat, 97.46
Henry, Franklin D Roosevelt, Democrat, 97.15
Houston, Franklin D Roosevelt, Democrat, 91.8
Jackson, Franklin D Roosevelt, Democrat, 74.18
Jefferson, Franklin D Roosevelt, Democrat, 80.4
Lamar, Franklin D Roosevelt, Democrat, 86.1
Lauderdale, Franklin D Roosevelt, Democrat, 86.77
Lawrence, Franklin D Roosevelt, Democrat, 76.86
Lee, Franklin D Roosevelt, Democrat, 93.49
Limestone, Franklin D Roosevelt, Democrat, 94.93
Lowndes, Franklin D Roosevelt, Democrat, 97.92
Macon, Franklin D Roosevelt, Democrat, 92.56
Madison, Franklin D Roosevelt, Democrat, 91.33
Marengo, Franklin D Roosevelt, Democrat, 94.69
Marion, Franklin D Roosevelt, Democrat, 59.48
Marshall, Franklin D Roosevelt, Democrat, 73.58
Mobile, Franklin D Roosevelt, Democrat, 75.98
Monroe, Franklin D Roosevelt, Democrat, 97.55
Montgomery, Franklin D Roosevelt, Democrat, 95.62
Morgan, Franklin D Roosevelt, Democrat, 85.24
Perry, Franklin D Roosevelt, Democrat, 95.35
Pickens, Franklin D Roosevelt, Democrat, 87.23
Pike, Franklin D Roosevelt, Democrat, 93.87
Randolph, Franklin D Roosevelt, Democrat, 71.06
Russell, Franklin D Roosevelt, Democrat, 94.66
Shelby, Franklin D Roosevelt, Democrat, 67.11
St. Clair, Franklin D Roosevelt, Democrat, 61.66
Sumter, Franklin D Roosevelt, Democrat, 95.05
Talladega, Franklin D Roosevelt, Democrat, 81.5
Tallapoosa, Franklin D Roosevelt, Democrat, 95.88
Tuscaloosa, Franklin D Roosevelt, Democrat, 88.62
Walker, Franklin D Roosevelt, Democrat, 66.87
Washington, Franklin D Roosevelt, Democrat, 92.28
Wilcox, Franklin D Roosevelt, Democrat, 97.42
Winston, Thomas E Dewey, Republican, 62.52
