Ada, Thomas E Dewey, Republican, 55.54
Adams, Franklin D Roosevelt, Democrat, 52.86
Bannock, Franklin D Roosevelt, Democrat, 64.09
Bear Lake, Franklin D Roosevelt, Democrat, 51.75
Benewah, Franklin D Roosevelt, Democrat, 54.71
Bingham, Franklin D Roosevelt, Democrat, 51.49
Blaine, Franklin D Roosevelt, Democrat, 54.12
Boise, Franklin D Roosevelt, Democrat, 54.7
Bonner, Franklin D Roosevelt, Democrat, 51.39
Bonneville, Franklin D Roosevelt, Democrat, 54.84
Boundary, Thomas E Dewey, Republican, 49.26
Butte, Thomas E Dewey, Republican, 50.77
Camas, Franklin D Roosevelt, Democrat, 51.29
Canyon, Thomas E Dewey, Republican, 54.98
Caribou, Franklin D Roosevelt, Democrat, 52.76
Cassia, Thomas E Dewey, Republican, 52.35
Clark, Thomas E Dewey, Republican, 63.53
Clearwater, Franklin D Roosevelt, Democrat, 66.41
Custer, Franklin D Roosevelt, Democrat, 52.04
Elmore, Franklin D Roosevelt, Democrat, 61
Franklin, Franklin D Roosevelt, Democrat, 50.22
Fremont, Franklin D Roosevelt, Democrat, 54.66
Gem, Franklin D Roosevelt, Democrat, 57.15
Gooding, Thomas E Dewey, Republican, 55.14
Idaho, Franklin D Roosevelt, Democrat, 50.97
Jefferson, Franklin D Roosevelt, Democrat, 59.97
Jerome, Thomas E Dewey, Republican, 55.34
Kootenai, Franklin D Roosevelt, Democrat, 56.66
Latah, Thomas E Dewey, Republican, 49.78
Lemhi, Thomas E Dewey, Republican, 51.37
Lewis, Franklin D Roosevelt, Democrat, 67.48
Lincoln, Thomas E Dewey, Republican, 54.3
Madison, Franklin D Roosevelt, Democrat, 55.73
Minidoka, Thomas E Dewey, Republican, 52.02
Nez Perce, Franklin D Roosevelt, Democrat, 63.05
Oneida, Franklin D Roosevelt, Democrat, 56.73
Owyhee, Thomas E Dewey, Republican, 54.04
Payette, Thomas E Dewey, Republican, 63.96
Power, Thomas E Dewey, Republican, 52.77
Shoshone, Franklin D Roosevelt, Democrat, 62.51
Teton, Franklin D Roosevelt, Democrat, 53.73
Twin Falls, Thomas E Dewey, Republican, 56.29
Valley, Thomas E Dewey, Republican, 50.52
Washington, Thomas E Dewey, Republican, 51.95
