Adams, Thomas E Dewey, Republican, 52.87
Alexander, Thomas E Dewey, Republican, 49.73
Bond, Thomas E Dewey, Republican, 58.24
Boone, Thomas E Dewey, Republican, 73.18
Brown, Franklin D Roosevelt, Democrat, 51.26
Bureau, Thomas E Dewey, Republican, 62.68
Calhoun, Thomas E Dewey, Republican, 60.35
Carroll, Thomas E Dewey, Republican, 68.08
Cass, Franklin D Roosevelt, Democrat, 51.54
Champaign, Thomas E Dewey, Republican, 57.46
Christian, Franklin D Roosevelt, Democrat, 50.77
Clark, Thomas E Dewey, Republican, 59.41
Clay, Thomas E Dewey, Republican, 55.29
Clinton, Thomas E Dewey, Republican, 62.82
Coles, Thomas E Dewey, Republican, 51.31
Cook, Franklin D Roosevelt, Democrat, 57.81
Crawford, Thomas E Dewey, Republican, 57.04
Cumberland, Thomas E Dewey, Republican, 52.88
DeKalb, Thomas E Dewey, Republican, 66.76
DeWitt, Thomas E Dewey, Republican, 55.4
Douglas, Thomas E Dewey, Republican, 58.29
DuPage, Thomas E Dewey, Republican, 68.93
Edgar, Thomas E Dewey, Republican, 57.68
Edwards, Thomas E Dewey, Republican, 70.96
Effingham, Thomas E Dewey, Republican, 53.77
Fayette, Thomas E Dewey, Republican, 53.27
Ford, Thomas E Dewey, Republican, 69.91
Franklin, Franklin D Roosevelt, Democrat, 50.24
Fulton, Thomas E Dewey, Republican, 54.96
Gallatin, Franklin D Roosevelt, Democrat, 50.64
Greene, Franklin D Roosevelt, Democrat, 49.78
Grundy, Thomas E Dewey, Republican, 63.89
Hamilton, Thomas E Dewey, Republican, 54.68
Hancock, Thomas E Dewey, Republican, 59.59
Hardin, Thomas E Dewey, Republican, 59.25
Henderson, Thomas E Dewey, Republican, 63.34
Henry, Thomas E Dewey, Republican, 59.48
Iroquois, Thomas E Dewey, Republican, 66.39
Jackson, Thomas E Dewey, Republican, 59.57
Jasper, Thomas E Dewey, Republican, 52.13
Jefferson, Franklin D Roosevelt, Democrat, 51.33
Jersey, Thomas E Dewey, Republican, 54.67
Jo Daviess, Thomas E Dewey, Republican, 65.99
Johnson, Thomas E Dewey, Republican, 68.24
Kane, Thomas E Dewey, Republican, 62.16
Kankakee, Thomas E Dewey, Republican, 57.16
Kendall, Thomas E Dewey, Republican, 70.55
Knox, Thomas E Dewey, Republican, 61.02
Lake, Thomas E Dewey, Republican, 58.19
LaSalle, Thomas E Dewey, Republican, 54.32
Lawrence, Thomas E Dewey, Republican, 55.79
Lee, Thomas E Dewey, Republican, 67.88
Livingston, Thomas E Dewey, Republican, 66.44
Logan, Thomas E Dewey, Republican, 61.9
Macon, Franklin D Roosevelt, Democrat, 53.58
Macoupin, Franklin D Roosevelt, Democrat, 50.46
Madison, Franklin D Roosevelt, Democrat, 58.24
Marion, Franklin D Roosevelt, Democrat, 51.32
Marshall, Thomas E Dewey, Republican, 61.68
Mason, Thomas E Dewey, Republican, 54.52
Massac, Thomas E Dewey, Republican, 67.53
McDonough, Thomas E Dewey, Republican, 66.3
McHenry, Thomas E Dewey, Republican, 73.55
McLean, Thomas E Dewey, Republican, 57.7
Menard, Thomas E Dewey, Republican, 61.17
Mercer, Thomas E Dewey, Republican, 63.12
Monroe, Thomas E Dewey, Republican, 66
Montgomery, Thomas E Dewey, Republican, 52.74
Morgan, Thomas E Dewey, Republican, 56.01
Moultrie, Thomas E Dewey, Republican, 52.31
Ogle, Thomas E Dewey, Republican, 72.59
Peoria, Thomas E Dewey, Republican, 50.81
Perry, Thomas E Dewey, Republican, 56.97
Piatt, Thomas E Dewey, Republican, 59.38
Pike, Franklin D Roosevelt, Democrat, 50.58
Pope, Thomas E Dewey, Republican, 72.99
Pulaski, Thomas E Dewey, Republican, 58.02
Putnam, Thomas E Dewey, Republican, 63.48
Randolph, Thomas E Dewey, Republican, 54.65
Richland, Thomas E Dewey, Republican, 60.91
Rock Island, Franklin D Roosevelt, Democrat, 55.48
Saline, Thomas E Dewey, Republican, 54.92
Sangamon, Thomas E Dewey, Republican, 53.24
Schuyler, Thomas E Dewey, Republican, 51.82
Scott, Thomas E Dewey, Republican, 53.84
Shelby, Thomas E Dewey, Republican, 50.65
St. Clair, Franklin D Roosevelt, Democrat, 58.78
Stark, Thomas E Dewey, Republican, 68.42
Stephenson, Thomas E Dewey, Republican, 60.28
Tazewell, Franklin D Roosevelt, Democrat, 53.3
Union, Franklin D Roosevelt, Democrat, 51.21
Vermilion, Thomas E Dewey, Republican, 52.7
Wabash, Thomas E Dewey, Republican, 52.95
Warren, Thomas E Dewey, Republican, 64.12
Washington, Thomas E Dewey, Republican, 66.31
Wayne, Thomas E Dewey, Republican, 58.21
White, Thomas E Dewey, Republican, 51.12
Whiteside, Thomas E Dewey, Republican, 71.21
Will, Thomas E Dewey, Republican, 52.32
Williamson, Thomas E Dewey, Republican, 55.55
Winnebago, Thomas E Dewey, Republican, 52.31
Woodford, Thomas E Dewey, Republican, 63.73
