Adams, Thomas E Dewey, Republican, 58.3
Allen, Thomas E Dewey, Republican, 62.59
Ashland, Thomas E Dewey, Republican, 59.47
Ashtabula, Thomas E Dewey, Republican, 56.33
Athens, Thomas E Dewey, Republican, 58.13
Auglaize, Thomas E Dewey, Republican, 64.75
Belmont, Franklin D Roosevelt, Democrat, 60.87
Brown, Thomas E Dewey, Republican, 51.44
Butler, Franklin D Roosevelt, Democrat, 54.04
Carroll, Thomas E Dewey, Republican, 62.75
Champaign, Thomas E Dewey, Republican, 61.89
Clark, Franklin D Roosevelt, Democrat, 50.17
Clermont, Thomas E Dewey, Republican, 53.48
Clinton, Thomas E Dewey, Republican, 65.98
Columbiana, Thomas E Dewey, Republican, 51.52
Coshocton, Thomas E Dewey, Republican, 56.38
Crawford, Thomas E Dewey, Republican, 59.65
Cuyahoga, Franklin D Roosevelt, Democrat, 60.29
Darke, Thomas E Dewey, Republican, 58.08
Defiance, Thomas E Dewey, Republican, 67.21
Delaware, Thomas E Dewey, Republican, 66.78
Erie, Thomas E Dewey, Republican, 57.9
Fairfield, Thomas E Dewey, Republican, 56.89
Fayette, Thomas E Dewey, Republican, 60.06
Franklin, Thomas E Dewey, Republican, 52.62
Fulton, Thomas E Dewey, Republican, 79.37
Gallia, Thomas E Dewey, Republican, 68.53
Geauga, Thomas E Dewey, Republican, 61.86
Greene, Thomas E Dewey, Republican, 54.95
Guernsey, Thomas E Dewey, Republican, 57.69
Hamilton, Thomas E Dewey, Republican, 51.75
Hancock, Thomas E Dewey, Republican, 68.27
Hardin, Thomas E Dewey, Republican, 62.55
Harrison, Thomas E Dewey, Republican, 60.57
Henry, Thomas E Dewey, Republican, 73.54
Highland, Thomas E Dewey, Republican, 59.88
Hocking, Thomas E Dewey, Republican, 54.63
Holmes, Thomas E Dewey, Republican, 54.69
Huron, Thomas E Dewey, Republican, 66.06
Jackson, Thomas E Dewey, Republican, 59.26
Jefferson, Franklin D Roosevelt, Democrat, 61.57
Knox, Thomas E Dewey, Republican, 64.13
Lake, Thomas E Dewey, Republican, 51.86
Lawrence, Thomas E Dewey, Republican, 53.9
Licking, Thomas E Dewey, Republican, 56.74
Logan, Thomas E Dewey, Republican, 66.65
Lorain, Franklin D Roosevelt, Democrat, 51.41
Lucas, Thomas E Dewey, Republican, 50.37
Madison, Thomas E Dewey, Republican, 62.17
Mahoning, Franklin D Roosevelt, Democrat, 66.58
Marion, Thomas E Dewey, Republican, 57.61
Medina, Thomas E Dewey, Republican, 63.35
Meigs, Thomas E Dewey, Republican, 65.32
Mercer, Thomas E Dewey, Republican, 63.04
Miami, Thomas E Dewey, Republican, 58.47
Monroe, Thomas E Dewey, Republican, 50.3
Montgomery, Franklin D Roosevelt, Democrat, 56.53
Morgan, Thomas E Dewey, Republican, 72.13
Morrow, Thomas E Dewey, Republican, 69.78
Muskingum, Thomas E Dewey, Republican, 58
Noble, Thomas E Dewey, Republican, 64.89
Ottawa, Thomas E Dewey, Republican, 58.35
Paulding, Thomas E Dewey, Republican, 65.72
Perry, Thomas E Dewey, Republican, 59.24
Pickaway, Thomas E Dewey, Republican, 52.8
Pike, Franklin D Roosevelt, Democrat, 56.01
Portage, Franklin D Roosevelt, Democrat, 50.5
Preble, Thomas E Dewey, Republican, 57.56
Putnam, Thomas E Dewey, Republican, 71.79
Richland, Thomas E Dewey, Republican, 53.97
Ross, Thomas E Dewey, Republican, 53.5
Sandusky, Thomas E Dewey, Republican, 69.19
Scioto, Thomas E Dewey, Republican, 50.51
Seneca, Thomas E Dewey, Republican, 70.86
Shelby, Thomas E Dewey, Republican, 55.75
Stark, Franklin D Roosevelt, Democrat, 52.7
Summit, Franklin D Roosevelt, Democrat, 58.39
Trumbull, Franklin D Roosevelt, Democrat, 57.7
Tuscarawas, Franklin D Roosevelt, Democrat, 52.99
Union, Thomas E Dewey, Republican, 70.38
Van Wert, Thomas E Dewey, Republican, 62.83
Vinton, Thomas E Dewey, Republican, 59.82
Warren, Thomas E Dewey, Republican, 59.86
Washington, Thomas E Dewey, Republican, 62.44
Wayne, Thomas E Dewey, Republican, 58.89
Williams, Thomas E Dewey, Republican, 71.89
Wood, Thomas E Dewey, Republican, 66.62
Wyandot, Thomas E Dewey, Republican, 65.54
