Adams, Thomas E Dewey, Republican, 59.63
Allegheny, Franklin D Roosevelt, Democrat, 57.09
Armstrong, Thomas E Dewey, Republican, 56.94
Beaver, Franklin D Roosevelt, Democrat, 57.79
Bedford, Thomas E Dewey, Republican, 62.4
Berks, Franklin D Roosevelt, Democrat, 53.91
Blair, Thomas E Dewey, Republican, 57.82
Bradford, Thomas E Dewey, Republican, 70.4
Bucks, Thomas E Dewey, Republican, 58.62
Butler, Thomas E Dewey, Republican, 60.55
Cambria, Franklin D Roosevelt, Democrat, 58.22
Cameron, Thomas E Dewey, Republican, 60.6
Carbon, Franklin D Roosevelt, Democrat, 52.74
Centre, Thomas E Dewey, Republican, 55.08
Chester, Thomas E Dewey, Republican, 58.7
Clarion, Thomas E Dewey, Republican, 60.16
Clearfield, Thomas E Dewey, Republican, 50.24
Clinton, Thomas E Dewey, Republican, 50.66
Columbia, Franklin D Roosevelt, Democrat, 50.63
Crawford, Thomas E Dewey, Republican, 61.83
Cumberland, Thomas E Dewey, Republican, 59.3
Dauphin, Thomas E Dewey, Republican, 59.05
Delaware, Thomas E Dewey, Republican, 54.8
Elk, Franklin D Roosevelt, Democrat, 51.63
Erie, Thomas E Dewey, Republican, 51.4
Fayette, Franklin D Roosevelt, Democrat, 61.04
Forest, Thomas E Dewey, Republican, 65.95
Franklin, Thomas E Dewey, Republican, 60.13
Fulton, Thomas E Dewey, Republican, 54.03
Greene, Franklin D Roosevelt, Democrat, 59.13
Huntingdon, Thomas E Dewey, Republican, 65.8
Indiana, Thomas E Dewey, Republican, 61.42
Jefferson, Thomas E Dewey, Republican, 62.52
Juniata, Thomas E Dewey, Republican, 56.71
Lackawanna, Franklin D Roosevelt, Democrat, 55.54
Lancaster, Thomas E Dewey, Republican, 61.77
Lawrence, Thomas E Dewey, Republican, 51.57
Lebanon, Thomas E Dewey, Republican, 56
Lehigh, Thomas E Dewey, Republican, 51.75
Luzerne, Franklin D Roosevelt, Democrat, 51.81
Lycoming, Thomas E Dewey, Republican, 55.64
McKean, Thomas E Dewey, Republican, 64.45
Mercer, Thomas E Dewey, Republican, 53.85
Mifflin, Thomas E Dewey, Republican, 51.92
Monroe, Thomas E Dewey, Republican, 52.88
Montgomery, Thomas E Dewey, Republican, 61.71
Montour, Thomas E Dewey, Republican, 55.12
Northampton, Franklin D Roosevelt, Democrat, 54.75
Northumberland, Thomas E Dewey, Republican, 51.81
Perry, Thomas E Dewey, Republican, 63.37
Philadelphia, Franklin D Roosevelt, Democrat, 58.7
Pike, Thomas E Dewey, Republican, 65.2
Potter, Thomas E Dewey, Republican, 69.86
Schuylkill, Thomas E Dewey, Republican, 53
Snyder, Thomas E Dewey, Republican, 75.81
Somerset, Thomas E Dewey, Republican, 60.74
Sullivan, Thomas E Dewey, Republican, 58.15
Susquehanna, Thomas E Dewey, Republican, 67.42
Tioga, Thomas E Dewey, Republican, 75.73
Union, Thomas E Dewey, Republican, 76.19
Venango, Thomas E Dewey, Republican, 68.91
Warren, Thomas E Dewey, Republican, 66.96
Washington, Franklin D Roosevelt, Democrat, 62.17
Wayne, Thomas E Dewey, Republican, 74.43
Westmoreland, Franklin D Roosevelt, Democrat, 58.17
Wyoming, Thomas E Dewey, Republican, 69.6
York, Franklin D Roosevelt, Democrat, 53.72
