Adair, Thomas E Dewey, Republican, 57.48
Andrew, Thomas E Dewey, Republican, 62.29
Atchison, Thomas E Dewey, Republican, 55.83
Audrain, Franklin D Roosevelt, Democrat, 65.11
Barry, Thomas E Dewey, Republican, 58.85
Barton, Thomas E Dewey, Republican, 55.32
Bates, Thomas E Dewey, Republican, 55.46
Benton, Thomas E Dewey, Republican, 74.73
Bollinger, Thomas E Dewey, Republican, 60.72
Boone, Franklin D Roosevelt, Democrat, 69.67
Buchanan, Franklin D Roosevelt, Democrat, 57.04
Butler, Thomas E Dewey, Republican, 59.99
Caldwell, Thomas E Dewey, Republican, 62.75
Callaway, Franklin D Roosevelt, Democrat, 64.51
Camden, Thomas E Dewey, Republican, 68.66
Cape Girardeau, Thomas E Dewey, Republican, 54.88
Carroll, Thomas E Dewey, Republican, 60.82
Carter, Franklin D Roosevelt, Democrat, 53.6
Cass, Thomas E Dewey, Republican, 51.84
Cedar, Thomas E Dewey, Republican, 70.69
Chariton, Franklin D Roosevelt, Democrat, 50.78
Christian, Thomas E Dewey, Republican, 78.47
Clark, Thomas E Dewey, Republican, 55.61
Clay, Franklin D Roosevelt, Democrat, 56.21
Clinton, Franklin D Roosevelt, Democrat, 51.35
Cole, Thomas E Dewey, Republican, 50.76
Cooper, Thomas E Dewey, Republican, 56.79
Crawford, Thomas E Dewey, Republican, 58.45
Dade, Thomas E Dewey, Republican, 69.29
Dallas, Thomas E Dewey, Republican, 75.06
Daviess, Thomas E Dewey, Republican, 58.31
DeKalb, Thomas E Dewey, Republican, 57.47
Dent, Franklin D Roosevelt, Democrat, 52.29
Douglas, Thomas E Dewey, Republican, 82.45
Dunklin, Franklin D Roosevelt, Democrat, 66.23
Franklin, Thomas E Dewey, Republican, 60.84
Gasconade, Thomas E Dewey, Republican, 83.27
Gentry, Franklin D Roosevelt, Democrat, 50.37
Greene, Thomas E Dewey, Republican, 55.37
Grundy, Thomas E Dewey, Republican, 58.02
Harrison, Thomas E Dewey, Republican, 62.18
Henry, Thomas E Dewey, Republican, 54.69
Hickory, Thomas E Dewey, Republican, 79.41
Holt, Thomas E Dewey, Republican, 63.73
Howard, Franklin D Roosevelt, Democrat, 66.88
Howell, Thomas E Dewey, Republican, 62.93
Iron, Franklin D Roosevelt, Democrat, 57.21
Jackson, Franklin D Roosevelt, Democrat, 54.29
Jasper, Thomas E Dewey, Republican, 56.77
Jefferson, Franklin D Roosevelt, Democrat, 53.94
Johnson, Thomas E Dewey, Republican, 57.32
Knox, Thomas E Dewey, Republican, 51.32
Laclede, Thomas E Dewey, Republican, 60.75
Lafayette, Thomas E Dewey, Republican, 58.63
Lawrence, Thomas E Dewey, Republican, 63.76
Lewis, Franklin D Roosevelt, Democrat, 59.17
Lincoln, Franklin D Roosevelt, Democrat, 56.33
Linn, Franklin D Roosevelt, Democrat, 51.43
Livingston, Thomas E Dewey, Republican, 54.55
Macon, Thomas E Dewey, Republican, 50.06
Madison, Thomas E Dewey, Republican, 50.74
Maries, Franklin D Roosevelt, Democrat, 54.19
Marion, Franklin D Roosevelt, Democrat, 65.21
McDonald, Thomas E Dewey, Republican, 58.12
Mercer, Thomas E Dewey, Republican, 68.4
Miller, Thomas E Dewey, Republican, 61.69
Mississippi, Franklin D Roosevelt, Democrat, 67.97
Moniteau, Thomas E Dewey, Republican, 58.04
Monroe, Franklin D Roosevelt, Democrat, 81.89
Montgomery, Thomas E Dewey, Republican, 56.2
Morgan, Thomas E Dewey, Republican, 62.4
New Madrid, Franklin D Roosevelt, Democrat, 64.89
Newton, Thomas E Dewey, Republican, 57.47
Nodaway, Thomas E Dewey, Republican, 51.57
Oregon, Franklin D Roosevelt, Democrat, 63.38
Osage, Thomas E Dewey, Republican, 60.68
Ozark, Thomas E Dewey, Republican, 81.1
Pemiscot, Franklin D Roosevelt, Democrat, 62.9
Perry, Thomas E Dewey, Republican, 67.57
Pettis, Thomas E Dewey, Republican, 51.67
Phelps, Franklin D Roosevelt, Democrat, 57.14
Pike, Franklin D Roosevelt, Democrat, 58.01
Platte, Franklin D Roosevelt, Democrat, 61.4
Polk, Thomas E Dewey, Republican, 66.45
Pulaski, Franklin D Roosevelt, Democrat, 56.44
Putnam, Thomas E Dewey, Republican, 72.55
Ralls, Franklin D Roosevelt, Democrat, 70.57
Randolph, Franklin D Roosevelt, Democrat, 72.48
Ray, Franklin D Roosevelt, Democrat, 59.28
Reynolds, Franklin D Roosevelt, Democrat, 66.25
Ripley, Franklin D Roosevelt, Democrat, 50.89
Saint Charles, Thomas E Dewey, Republican, 58.92
Saint Clair, Thomas E Dewey, Republican, 60.87
Saint Francois, Thomas E Dewey, Republican, 52
Saint Louis County, Thomas E Dewey, Republican, 52.45
Saint Louis City, Franklin D Roosevelt, Democrat, 60.22
Sainte Genevieve, Thomas E Dewey, Republican, 54.03
Saline, Franklin D Roosevelt, Democrat, 52.65
Schuyler, Franklin D Roosevelt, Democrat, 52.97
Scotland, Franklin D Roosevelt, Democrat, 51.11
Scott, Franklin D Roosevelt, Democrat, 63.86
Shannon, Franklin D Roosevelt, Democrat, 65.12
Shelby, Franklin D Roosevelt, Democrat, 63.76
Stoddard, Franklin D Roosevelt, Democrat, 53.96
Stone, Thomas E Dewey, Republican, 80.67
Sullivan, Thomas E Dewey, Republican, 53.07
Taney, Thomas E Dewey, Republican, 72.56
Texas, Franklin D Roosevelt, Democrat, 50.53
Vernon, Thomas E Dewey, Republican, 51.39
Warren, Thomas E Dewey, Republican, 78.42
Washington, Thomas E Dewey, Republican, 58.3
Wayne, Thomas E Dewey, Republican, 49.92
Webster, Thomas E Dewey, Republican, 60.53
Worth, Thomas E Dewey, Republican, 50.12
Wright, Thomas E Dewey, Republican, 67.51
