Adams, Thomas E Dewey, Republican, 60.8
Asotin, Franklin D Roosevelt, Democrat, 57.74
Benton, Franklin D Roosevelt, Democrat, 51.8
Chelan, Thomas E Dewey, Republican, 51.64
Clallam, Franklin D Roosevelt, Democrat, 60.11
Clark, Franklin D Roosevelt, Democrat, 59.78
Columbia, Thomas E Dewey, Republican, 53.35
Cowlitz, Franklin D Roosevelt, Democrat, 62.41
Douglas, Franklin D Roosevelt, Democrat, 49.99
Ferry, Franklin D Roosevelt, Democrat, 60.23
Franklin, Franklin D Roosevelt, Democrat, 58.56
Garfield, Thomas E Dewey, Republican, 57.38
Grant, Franklin D Roosevelt, Democrat, 60.33
Grays Harbor, Franklin D Roosevelt, Democrat, 63.41
Island, Franklin D Roosevelt, Democrat, 52.15
Jefferson, Franklin D Roosevelt, Democrat, 56.07
King, Franklin D Roosevelt, Democrat, 57.68
Kitsap, Franklin D Roosevelt, Democrat, 67.67
Kittitas, Franklin D Roosevelt, Democrat, 55
Klickitat, Franklin D Roosevelt, Democrat, 50.62
Lewis, Thomas E Dewey, Republican, 53.19
Lincoln, Thomas E Dewey, Republican, 53.75
Mason, Franklin D Roosevelt, Democrat, 62.61
Okanogan, Franklin D Roosevelt, Democrat, 52.97
Pacific, Franklin D Roosevelt, Democrat, 60.64
Pend Oreille, Franklin D Roosevelt, Democrat, 56.48
Pierce, Franklin D Roosevelt, Democrat, 61.68
San Juan, Thomas E Dewey, Republican, 51.92
Skagit, Franklin D Roosevelt, Democrat, 54.29
Skamania, Franklin D Roosevelt, Democrat, 58.77
Snohomish, Franklin D Roosevelt, Democrat, 63.4
Spokane, Franklin D Roosevelt, Democrat, 55.27
Stevens, Franklin D Roosevelt, Democrat, 55.14
Thurston, Franklin D Roosevelt, Democrat, 54.64
Wahkiakum, Franklin D Roosevelt, Democrat, 64.92
Walla Walla, Thomas E Dewey, Republican, 55.64
Whatcom, Franklin D Roosevelt, Democrat, 52.63
Whitman, Thomas E Dewey, Republican, 52.22
Yakima, Thomas E Dewey, Republican, 56.76
