Adams, Thomas E Dewey, Republican, 51.4
Ashland, Franklin D Roosevelt, Democrat, 58.8
Barron, Thomas E Dewey, Republican, 55.66
Bayfield, Franklin D Roosevelt, Democrat, 57.08
Brown, Thomas E Dewey, Republican, 50.14
Buffalo, Thomas E Dewey, Republican, 63.19
Burnett, Thomas E Dewey, Republican, 52.72
Calumet, Thomas E Dewey, Republican, 73.58
Chippewa, Thomas E Dewey, Republican, 53.59
Clark, Thomas E Dewey, Republican, 62.8
Columbia, Thomas E Dewey, Republican, 56.5
Crawford, Thomas E Dewey, Republican, 57.12
Dane, Franklin D Roosevelt, Democrat, 61.13
Dodge, Thomas E Dewey, Republican, 64.44
Door, Thomas E Dewey, Republican, 68.25
Douglas, Franklin D Roosevelt, Democrat, 64.08
Dunn, Thomas E Dewey, Republican, 60.37
Eau Claire, Thomas E Dewey, Republican, 51.13
Florence, Franklin D Roosevelt, Democrat, 53.46
Fond du Lac, Thomas E Dewey, Republican, 63.81
Forest, Franklin D Roosevelt, Democrat, 63.44
Grant, Thomas E Dewey, Republican, 62.56
Green, Thomas E Dewey, Republican, 57.28
Green Lake, Thomas E Dewey, Republican, 67.38
Iowa, Thomas E Dewey, Republican, 56
Iron, Franklin D Roosevelt, Democrat, 67.81
Jackson, Thomas E Dewey, Republican, 50.86
Jefferson, Thomas E Dewey, Republican, 59.16
Juneau, Thomas E Dewey, Republican, 61.97
Kenosha, Franklin D Roosevelt, Democrat, 58.88
Kewaunee, Thomas E Dewey, Republican, 61.25
La Crosse, Thomas E Dewey, Republican, 50.93
Lafayette, Thomas E Dewey, Republican, 54.27
Langlade, Franklin D Roosevelt, Democrat, 51.5
Lincoln, Thomas E Dewey, Republican, 64.71
Manitowoc, Thomas E Dewey, Republican, 53.52
Marathon, Thomas E Dewey, Republican, 53.54
Marinette, Thomas E Dewey, Republican, 52.21
Marquette, Thomas E Dewey, Republican, 73.47
Milwaukee, Franklin D Roosevelt, Democrat, 57.85
Monroe, Thomas E Dewey, Republican, 64.09
Oconto, Thomas E Dewey, Republican, 57.38
Oneida, Franklin D Roosevelt, Democrat, 55.21
Outagamie, Thomas E Dewey, Republican, 64.44
Ozaukee, Thomas E Dewey, Republican, 60.66
Pepin, Thomas E Dewey, Republican, 64.28
Pierce, Thomas E Dewey, Republican, 62.4
Polk, Thomas E Dewey, Republican, 53.58
Portage, Franklin D Roosevelt, Democrat, 61.44
Price, Franklin D Roosevelt, Democrat, 51.55
Racine, Franklin D Roosevelt, Democrat, 57.97
Richland, Thomas E Dewey, Republican, 61.85
Rock, Thomas E Dewey, Republican, 52.23
Rusk, Franklin D Roosevelt, Democrat, 50.69
Sauk, Thomas E Dewey, Republican, 62.72
Sawyer, Thomas E Dewey, Republican, 55.02
Shawano, Thomas E Dewey, Republican, 68.16
Sheboygan, Thomas E Dewey, Republican, 49.42
St. Croix, Thomas E Dewey, Republican, 53.01
Taylor, Franklin D Roosevelt, Democrat, 48.56
Trempealeau, Thomas E Dewey, Republican, 51.06
Vernon, Thomas E Dewey, Republican, 51.04
Vilas, Franklin D Roosevelt, Democrat, 50.31
Walworth, Thomas E Dewey, Republican, 65.34
Washburn, Thomas E Dewey, Republican, 53.85
Washington, Thomas E Dewey, Republican, 69.44
Waukesha, Thomas E Dewey, Republican, 57.44
Waupaca, Thomas E Dewey, Republican, 74.44
Waushara, Thomas E Dewey, Republican, 75.54
Winnebago, Thomas E Dewey, Republican, 59.56
Wood, Thomas E Dewey, Republican, 57.92
