Aitkin, Franklin D Roosevelt, Democrat, 49.79
Anoka, Franklin D Roosevelt, Democrat, 57.36
Becker, Franklin D Roosevelt, Democrat, 55.87
Beltrami, Franklin D Roosevelt, Democrat, 66.5
Benton, Thomas E Dewey, Republican, 56.76
Big Stone, Franklin D Roosevelt, Democrat, 56.5
Blue Earth, Thomas E Dewey, Republican, 64.67
Brown, Thomas E Dewey, Republican, 70.54
Carlton, Franklin D Roosevelt, Democrat, 69.48
Carver, Thomas E Dewey, Republican, 78.42
Cass, Franklin D Roosevelt, Democrat, 51.58
Chippewa, Franklin D Roosevelt, Democrat, 51.98
Chisago, Thomas E Dewey, Republican, 55.58
Clay, Franklin D Roosevelt, Democrat, 54.06
Clearwater, Franklin D Roosevelt, Democrat, 69.58
Cook, Franklin D Roosevelt, Democrat, 51.13
Cottonwood, Thomas E Dewey, Republican, 62.08
Crow Wing, Franklin D Roosevelt, Democrat, 54.67
Dakota, Franklin D Roosevelt, Democrat, 52.2
Dodge, Thomas E Dewey, Republican, 61.42
Douglas, Thomas E Dewey, Republican, 52.62
Faribault, Thomas E Dewey, Republican, 61.37
Fillmore, Thomas E Dewey, Republican, 66.29
Freeborn, Franklin D Roosevelt, Democrat, 52.96
Goodhue, Thomas E Dewey, Republican, 57.17
Grant, Franklin D Roosevelt, Democrat, 50.76
Hennepin, Franklin D Roosevelt, Democrat, 55.66
Houston, Thomas E Dewey, Republican, 68.31
Hubbard, Thomas E Dewey, Republican, 56.52
Isanti, Franklin D Roosevelt, Democrat, 49.59
Itasca, Franklin D Roosevelt, Democrat, 67.1
Jackson, Franklin D Roosevelt, Democrat, 54.85
Kanabec, Thomas E Dewey, Republican, 51.52
Kandiyohi, Franklin D Roosevelt, Democrat, 62.61
Kittson, Franklin D Roosevelt, Democrat, 73.25
Koochiching, Franklin D Roosevelt, Democrat, 70.6
Lac qui Parle, Thomas E Dewey, Republican, 52.61
Lake, Franklin D Roosevelt, Democrat, 74.13
Lake of the Woods, Franklin D Roosevelt, Democrat, 64.49
Le Sueur, Thomas E Dewey, Republican, 57.24
Lincoln, Franklin D Roosevelt, Democrat, 58.77
Lyon, Franklin D Roosevelt, Democrat, 55.94
Mahnomen, Franklin D Roosevelt, Democrat, 66.11
Marshall, Franklin D Roosevelt, Democrat, 64.94
Martin, Thomas E Dewey, Republican, 53.68
McLeod, Thomas E Dewey, Republican, 68.84
Meeker, Thomas E Dewey, Republican, 57.31
Mille Lacs, Franklin D Roosevelt, Democrat, 50.32
Morrison, Thomas E Dewey, Republican, 55.93
Mower, Franklin D Roosevelt, Democrat, 52.03
Murray, Thomas E Dewey, Republican, 50.67
Nicollet, Thomas E Dewey, Republican, 64.83
Nobles, Thomas E Dewey, Republican, 54.61
Norman, Franklin D Roosevelt, Democrat, 59.69
Olmsted, Thomas E Dewey, Republican, 54.7
Otter Tail, Thomas E Dewey, Republican, 67.55
Pennington, Franklin D Roosevelt, Democrat, 67.89
Pine, Franklin D Roosevelt, Democrat, 55.33
Pipestone, Thomas E Dewey, Republican, 56.95
Polk, Franklin D Roosevelt, Democrat, 66.18
Pope, Franklin D Roosevelt, Democrat, 51.49
Ramsey, Franklin D Roosevelt, Democrat, 58.89
Red Lake, Franklin D Roosevelt, Democrat, 68.02
Redwood, Thomas E Dewey, Republican, 65.06
Renville, Thomas E Dewey, Republican, 57.49
Rice, Thomas E Dewey, Republican, 60.27
Rock, Thomas E Dewey, Republican, 60.66
Roseau, Franklin D Roosevelt, Democrat, 70.42
Saint Louis, Franklin D Roosevelt, Democrat, 68.92
Scott, Thomas E Dewey, Republican, 54.08
Sherburne, Thomas E Dewey, Republican, 58.16
Sibley, Thomas E Dewey, Republican, 71.56
Stearns, Thomas E Dewey, Republican, 60.37
Steele, Thomas E Dewey, Republican, 58.9
Stevens, Thomas E Dewey, Republican, 58.23
Swift, Franklin D Roosevelt, Democrat, 56.33
Todd, Thomas E Dewey, Republican, 59.37
Traverse, Franklin D Roosevelt, Democrat, 56.78
Wabasha, Thomas E Dewey, Republican, 62.62
Wadena, Thomas E Dewey, Republican, 58.47
Waseca, Thomas E Dewey, Republican, 65.04
Washington, Thomas E Dewey, Republican, 51.49
Watonwan, Thomas E Dewey, Republican, 57.27
Wilkin, Thomas E Dewey, Republican, 51.51
Winona, Thomas E Dewey, Republican, 57.19
Wright, Thomas E Dewey, Republican, 64.99
Yellow Medicine, Thomas E Dewey, Republican, 50.68
