Martin, Franklin D Roosevelt, Democrat, 97.07
Bertie, Franklin D Roosevelt, Democrat, 96.2
Greene, Franklin D Roosevelt, Democrat, 95.72
Northampton, Franklin D Roosevelt, Democrat, 95.28
Pitt, Franklin D Roosevelt, Democrat, 94.53
Hertford, Franklin D Roosevelt, Democrat, 94.11
Halifax, Franklin D Roosevelt, Democrat, 94.08
Edgecombe, Franklin D Roosevelt, Democrat, 93.79
Franklin, Franklin D Roosevelt, Democrat, 93.21
Hoke, Franklin D Roosevelt, Democrat, 91.76
Warren, Franklin D Roosevelt, Democrat, 91.11
Granville, Franklin D Roosevelt, Democrat, 90.82
Lenoir, Franklin D Roosevelt, Democrat, 90.46
Nash, Franklin D Roosevelt, Democrat, 89.64
Wilson, Franklin D Roosevelt, Democrat, 89.39
Chowan, Franklin D Roosevelt, Democrat, 88.78
Scotland, Franklin D Roosevelt, Democrat, 88.67
Vance, Franklin D Roosevelt, Democrat, 88.62
Gates, Franklin D Roosevelt, Democrat, 87.84
Anson, Franklin D Roosevelt, Democrat, 87.54
Robeson, Franklin D Roosevelt, Democrat, 86.68
Onslow, Franklin D Roosevelt, Democrat, 86.23
Craven, Franklin D Roosevelt, Democrat, 85.5
Jones, Franklin D Roosevelt, Democrat, 85.27
Richmond, Franklin D Roosevelt, Democrat, 85.19
Union, Franklin D Roosevelt, Democrat, 83.72
Currituck, Franklin D Roosevelt, Democrat, 81.95
Wake, Franklin D Roosevelt, Democrat, 81.87
Lee, Franklin D Roosevelt, Democrat, 81.02
Beaufort, Franklin D Roosevelt, Democrat, 80.6
Person, Franklin D Roosevelt, Democrat, 80.51
Pender, Franklin D Roosevelt, Democrat, 79.71
Caswell, Franklin D Roosevelt, Democrat, 79.63
Duplin, Franklin D Roosevelt, Democrat, 79.18
Camden, Franklin D Roosevelt, Democrat, 78.91
Dare, Franklin D Roosevelt, Democrat, 78.86
Columbus, Franklin D Roosevelt, Democrat, 78.65
Perquimans, Franklin D Roosevelt, Democrat, 78.3
Washington, Franklin D Roosevelt, Democrat, 78.19
Bladen, Franklin D Roosevelt, Democrat, 77.67
Durham, Franklin D Roosevelt, Democrat, 77.57
New Hanover, Franklin D Roosevelt, Democrat, 76.99
Cumberland, Franklin D Roosevelt, Democrat, 76.66
Wayne, Franklin D Roosevelt, Democrat, 76.49
Cleveland, Franklin D Roosevelt, Democrat, 75.61
Pasquotank, Franklin D Roosevelt, Democrat, 74.71
Rockingham, Franklin D Roosevelt, Democrat, 74.33
Hyde, Franklin D Roosevelt, Democrat, 74.1
Mecklenburg, Franklin D Roosevelt, Democrat, 73.34
Haywood, Franklin D Roosevelt, Democrat, 72.65
Gaston, Franklin D Roosevelt, Democrat, 69.53
Orange, Franklin D Roosevelt, Democrat, 69.06
Carteret, Franklin D Roosevelt, Democrat, 69.02
Buncombe, Franklin D Roosevelt, Democrat, 68.96
Tyrrell, Franklin D Roosevelt, Democrat, 68.5
Cabarrus, Franklin D Roosevelt, Democrat, 68.17
Harnett, Franklin D Roosevelt, Democrat, 67.34
Johnston, Franklin D Roosevelt, Democrat, 65.19
Alamance, Franklin D Roosevelt, Democrat, 64.86
Guilford, Franklin D Roosevelt, Democrat, 64.45
Pamlico, Franklin D Roosevelt, Democrat, 64.3
McDowell, Franklin D Roosevelt, Democrat, 63.96
Iredell, Franklin D Roosevelt, Democrat, 63.21
Rowan, Franklin D Roosevelt, Democrat, 62.38
Forsyth, Franklin D Roosevelt, Democrat, 62.07
Chatham, Franklin D Roosevelt, Democrat, 61.33
Rutherford, Franklin D Roosevelt, Democrat, 61.1
Jackson, Franklin D Roosevelt, Democrat, 60.4
Surry, Franklin D Roosevelt, Democrat, 60.02
Catawba, Franklin D Roosevelt, Democrat, 58.45
Swain, Franklin D Roosevelt, Democrat, 58.37
Polk, Franklin D Roosevelt, Democrat, 58.24
Moore, Franklin D Roosevelt, Democrat, 58.22
Graham, Franklin D Roosevelt, Democrat, 58.21
Yancey, Franklin D Roosevelt, Democrat, 57.88
Montgomery, Franklin D Roosevelt, Democrat, 57.58
Transylvania, Franklin D Roosevelt, Democrat, 57.29
Caldwell, Franklin D Roosevelt, Democrat, 55.39
Henderson, Franklin D Roosevelt, Democrat, 55.18
Stokes, Franklin D Roosevelt, Democrat, 54.9
Alleghany, Franklin D Roosevelt, Democrat, 54.77
Brunswick, Franklin D Roosevelt, Democrat, 54.02
Burke, Franklin D Roosevelt, Democrat, 53.72
Macon, Franklin D Roosevelt, Democrat, 53.22
Lincoln, Franklin D Roosevelt, Democrat, 53.12
Davidson, Franklin D Roosevelt, Democrat, 50.03
Clay, Thomas E Dewey, Republican, 50.36
Cherokee, Thomas E Dewey, Republican, 50.41
Ashe, Thomas E Dewey, Republican, 50.91
Stanly, Thomas E Dewey, Republican, 52.52
Randolph, Thomas E Dewey, Republican, 54.39
Watauga, Thomas E Dewey, Republican, 55.16
Alexander, Thomas E Dewey, Republican, 56.56
Davie, Thomas E Dewey, Republican, 58.87
Sampson, Thomas E Dewey, Republican, 58.96
Wilkes, Thomas E Dewey, Republican, 62.01
Yadkin, Thomas E Dewey, Republican, 64
Madison, Thomas E Dewey, Republican, 65.7
Mitchell, Thomas E Dewey, Republican, 75.71
Avery, Thomas E Dewey, Republican, 79.13
