Allegany, Thomas E Dewey, Republican, 50.39
Anne Arundel, Thomas E Dewey, Republican, 51.4
Baltimore, Thomas E Dewey, Republican, 56.44
Baltimore City, Franklin D Roosevelt, Democrat, 59.17
Calvert, Thomas E Dewey, Republican, 58.51
Caroline, Thomas E Dewey, Republican, 59.87
Carroll, Thomas E Dewey, Republican, 66.75
Cecil, Franklin D Roosevelt, Democrat, 55.89
Charles, Thomas E Dewey, Republican, 59.5
Dorchester, Franklin D Roosevelt, Democrat, 52.9
Frederick, Thomas E Dewey, Republican, 57.13
Garrett, Thomas E Dewey, Republican, 67.97
Harford, Thomas E Dewey, Republican, 58.25
Howard, Thomas E Dewey, Republican, 51.57
Kent, Franklin D Roosevelt, Democrat, 51.07
Montgomery, Thomas E Dewey, Republican, 57.1
Prince George's, Franklin D Roosevelt, Democrat, 50.46
Queen Anne's, Franklin D Roosevelt, Democrat, 58.82
Somerset, Thomas E Dewey, Republican, 54.81
St. Mary's, Thomas E Dewey, Republican, 58.57
Talbot, Thomas E Dewey, Republican, 57.28
Washington, Thomas E Dewey, Republican, 51.83
Wicomico, Franklin D Roosevelt, Democrat, 52.96
Worcester, Thomas E Dewey, Republican, 53.6
