Adair, Thomas E Dewey, Republican, 59.69
Adams, Thomas E Dewey, Republican, 57.56
Allamakee, Thomas E Dewey, Republican, 63.27
Appanoose, Franklin D Roosevelt, Democrat, 50.05
Audubon, Franklin D Roosevelt, Democrat, 56.8
Benton, Franklin D Roosevelt, Democrat, 51.1
Black Hawk, Franklin D Roosevelt, Democrat, 51.16
Boone, Franklin D Roosevelt, Democrat, 55.09
Bremer, Thomas E Dewey, Republican, 63.61
Buchanan, Thomas E Dewey, Republican, 54.69
Buena Vista, Franklin D Roosevelt, Democrat, 51.47
Butler, Thomas E Dewey, Republican, 65.03
Calhoun, Franklin D Roosevelt, Democrat, 51.02
Carroll, Thomas E Dewey, Republican, 50.04
Cass, Thomas E Dewey, Republican, 65.53
Cedar, Thomas E Dewey, Republican, 63.95
Cerro Gordo, Franklin D Roosevelt, Democrat, 52.05
Cherokee, Thomas E Dewey, Republican, 53.58
Chickasaw, Thomas E Dewey, Republican, 51.59
Clarke, Thomas E Dewey, Republican, 56.78
Clay, Franklin D Roosevelt, Democrat, 54.12
Clayton, Thomas E Dewey, Republican, 57.61
Clinton, Thomas E Dewey, Republican, 58.77
Crawford, Thomas E Dewey, Republican, 56.49
Dallas, Thomas E Dewey, Republican, 49.83
Davis, Franklin D Roosevelt, Democrat, 51.28
Decatur, Franklin D Roosevelt, Democrat, 52.9
Delaware, Thomas E Dewey, Republican, 67.22
Des Moines, Thomas E Dewey, Republican, 55.24
Dickinson, Franklin D Roosevelt, Democrat, 53.45
Dubuque, Franklin D Roosevelt, Democrat, 50.54
Emmet, Thomas E Dewey, Republican, 50.47
Fayette, Thomas E Dewey, Republican, 56.5
Floyd, Thomas E Dewey, Republican, 60.11
Franklin, Thomas E Dewey, Republican, 51.96
Fremont, Thomas E Dewey, Republican, 52.97
Greene, Thomas E Dewey, Republican, 54.88
Grundy, Thomas E Dewey, Republican, 62.14
Guthrie, Thomas E Dewey, Republican, 57.93
Hamilton, Franklin D Roosevelt, Democrat, 52.59
Hancock, Thomas E Dewey, Republican, 51.87
Hardin, Thomas E Dewey, Republican, 55.63
Harrison, Thomas E Dewey, Republican, 54.35
Henry, Thomas E Dewey, Republican, 64.31
Howard, Franklin D Roosevelt, Democrat, 51.23
Humboldt, Franklin D Roosevelt, Democrat, 51.97
Ida, Thomas E Dewey, Republican, 57.38
Iowa, Thomas E Dewey, Republican, 53.94
Jackson, Thomas E Dewey, Republican, 55.05
Jasper, Franklin D Roosevelt, Democrat, 51.77
Jefferson, Thomas E Dewey, Republican, 59.03
Johnson, Franklin D Roosevelt, Democrat, 56.62
Jones, Thomas E Dewey, Republican, 55.44
Keokuk, Thomas E Dewey, Republican, 53.96
Kossuth, Franklin D Roosevelt, Democrat, 52.6
Lee, Thomas E Dewey, Republican, 53.03
Linn, Thomas E Dewey, Republican, 50.03
Louisa, Thomas E Dewey, Republican, 58.67
Lucas, Thomas E Dewey, Republican, 54.94
Lyon, Thomas E Dewey, Republican, 60.79
Madison, Thomas E Dewey, Republican, 59.2
Mahaska, Thomas E Dewey, Republican, 50.86
Marion, Franklin D Roosevelt, Democrat, 56.14
Marshall, Thomas E Dewey, Republican, 55.67
Mills, Thomas E Dewey, Republican, 60.65
Mitchell, Thomas E Dewey, Republican, 55.54
Monona, Franklin D Roosevelt, Democrat, 51.06
Monroe, Franklin D Roosevelt, Democrat, 55.12
Montgomery, Thomas E Dewey, Republican, 61.4
Muscatine, Thomas E Dewey, Republican, 59.38
O'Brien, Thomas E Dewey, Republican, 56.01
Osceola, Thomas E Dewey, Republican, 55.29
Page, Thomas E Dewey, Republican, 65.07
Palo Alto, Franklin D Roosevelt, Democrat, 57.03
Plymouth, Thomas E Dewey, Republican, 67.04
Pocahontas, Franklin D Roosevelt, Democrat, 57.7
Polk, Franklin D Roosevelt, Democrat, 55.43
Pottawattamie, Thomas E Dewey, Republican, 54.25
Poweshiek, Franklin D Roosevelt, Democrat, 50.04
Ringgold, Thomas E Dewey, Republican, 59.35
Sac, Thomas E Dewey, Republican, 53.63
Scott, Franklin D Roosevelt, Democrat, 51.14
Shelby, Thomas E Dewey, Republican, 55.86
Sioux, Thomas E Dewey, Republican, 65.92
Story, Thomas E Dewey, Republican, 51.84
Tama, Franklin D Roosevelt, Democrat, 50.02
Taylor, Thomas E Dewey, Republican, 61.35
Union, Thomas E Dewey, Republican, 61.29
Van Buren, Thomas E Dewey, Republican, 60.43
Wapello, Franklin D Roosevelt, Democrat, 55.38
Warren, Thomas E Dewey, Republican, 55.83
Washington, Thomas E Dewey, Republican, 60.57
Wayne, Thomas E Dewey, Republican, 50.31
Webster, Franklin D Roosevelt, Democrat, 57.55
Winnebago, Thomas E Dewey, Republican, 51.24
Winneshiek, Thomas E Dewey, Republican, 53.76
Woodbury, Franklin D Roosevelt, Democrat, 52.3
Worth, Franklin D Roosevelt, Democrat, 55.64
Wright, Franklin D Roosevelt, Democrat, 51.72
