Anderson, Franklin D Roosevelt, Democrat, 50.23
Bedford, Franklin D Roosevelt, Democrat, 77.81
Benton, Franklin D Roosevelt, Democrat, 60.85
Bledsoe, Thomas E Dewey, Republican, 59.89
Blount, Thomas E Dewey, Republican, 68.3
Bradley, Thomas E Dewey, Republican, 66.21
Campbell, Thomas E Dewey, Republican, 61.56
Cannon, Franklin D Roosevelt, Democrat, 61.47
Carroll, Thomas E Dewey, Republican, 58.88
Carter, Thomas E Dewey, Republican, 74.33
Cheatham, Franklin D Roosevelt, Democrat, 86.51
Chester, Franklin D Roosevelt, Democrat, 55.28
Claiborne, Thomas E Dewey, Republican, 59.2
Clay, Franklin D Roosevelt, Democrat, 53.7
Cocke, Thomas E Dewey, Republican, 78.14
Coffee, Franklin D Roosevelt, Democrat, 82.56
Crockett, Franklin D Roosevelt, Democrat, 64.24
Cumberland, Thomas E Dewey, Republican, 59.93
Davidson, Franklin D Roosevelt, Democrat, 72.07
Decatur, Franklin D Roosevelt, Democrat, 54.83
DeKalb, Franklin D Roosevelt, Democrat, 52
Dickson, Franklin D Roosevelt, Democrat, 79.57
Dyer, Franklin D Roosevelt, Democrat, 73.6
Fayette, Franklin D Roosevelt, Democrat, 89.06
Fentress, Thomas E Dewey, Republican, 71.38
Franklin, Franklin D Roosevelt, Democrat, 86.55
Gibson, Franklin D Roosevelt, Democrat, 74.57
Giles, Franklin D Roosevelt, Democrat, 84.98
Grainger, Thomas E Dewey, Republican, 76
Greene, Thomas E Dewey, Republican, 64.21
Grundy, Franklin D Roosevelt, Democrat, 77.48
Hamblen, Thomas E Dewey, Republican, 53.73
Hamilton, Franklin D Roosevelt, Democrat, 62.21
Hancock, Thomas E Dewey, Republican, 81.6
Hardeman, Franklin D Roosevelt, Democrat, 81.21
Hardin, Thomas E Dewey, Republican, 60.69
Hawkins, Thomas E Dewey, Republican, 67.64
Haywood, Franklin D Roosevelt, Democrat, 92.35
Henderson, Thomas E Dewey, Republican, 71.81
Henry, Franklin D Roosevelt, Democrat, 81.21
Hickman, Franklin D Roosevelt, Democrat, 78.11
Houston, Franklin D Roosevelt, Democrat, 79.74
Humphreys, Franklin D Roosevelt, Democrat, 78.01
Jackson, Franklin D Roosevelt, Democrat, 66.56
Jefferson, Thomas E Dewey, Republican, 76.25
Johnson, Thomas E Dewey, Republican, 85.47
Knox, Thomas E Dewey, Republican, 52.58
Lake, Franklin D Roosevelt, Democrat, 90.57
Lauderdale, Franklin D Roosevelt, Democrat, 90.63
Lawrence, Franklin D Roosevelt, Democrat, 51.68
Lewis, Franklin D Roosevelt, Democrat, 79.12
Lincoln, Franklin D Roosevelt, Democrat, 86.54
Loudon, Thomas E Dewey, Republican, 65.74
Macon, Thomas E Dewey, Republican, 76.26
Madison, Franklin D Roosevelt, Democrat, 75.91
Marion, Franklin D Roosevelt, Democrat, 58.81
Marshall, Franklin D Roosevelt, Democrat, 88.34
Maury, Franklin D Roosevelt, Democrat, 86.29
McMinn, Franklin D Roosevelt, Democrat, 58.93
McNairy, Thomas E Dewey, Republican, 61.17
Meigs, Franklin D Roosevelt, Democrat, 57.74
Monroe, Thomas E Dewey, Republican, 50.21
Montgomery, Franklin D Roosevelt, Democrat, 80.6
Moore, Franklin D Roosevelt, Democrat, 83.84
Morgan, Thomas E Dewey, Republican, 53.81
Obion, Franklin D Roosevelt, Democrat, 85.39
Overton, Franklin D Roosevelt, Democrat, 60.65
Perry, Franklin D Roosevelt, Democrat, 66.58
Pickett, Thomas E Dewey, Republican, 63.52
Polk, Franklin D Roosevelt, Democrat, 92.65
Putnam, Franklin D Roosevelt, Democrat, 61.17
Rhea, Thomas E Dewey, Republican, 54.32
Roane, Thomas E Dewey, Republican, 57.69
Robertson, Franklin D Roosevelt, Democrat, 82.9
Rutherford, Franklin D Roosevelt, Democrat, 83.89
Scott, Thomas E Dewey, Republican, 69.6
Sequatchie, Franklin D Roosevelt, Democrat, 67.11
Sevier, Thomas E Dewey, Republican, 87.24
Shelby, Franklin D Roosevelt, Democrat, 81.66
Smith, Franklin D Roosevelt, Democrat, 70.09
Stewart, Franklin D Roosevelt, Democrat, 85.12
Sullivan, Franklin D Roosevelt, Democrat, 54.49
Sumner, Franklin D Roosevelt, Democrat, 80.3
Tipton, Franklin D Roosevelt, Democrat, 92.8
Trousdale, Franklin D Roosevelt, Democrat, 89.72
Unicoi, Thomas E Dewey, Republican, 71.89
Union, Thomas E Dewey, Republican, 73.73
Van Buren, Franklin D Roosevelt, Democrat, 64.15
Warren, Franklin D Roosevelt, Democrat, 74.66
Washington, Thomas E Dewey, Republican, 61.17
Wayne, Thomas E Dewey, Republican, 77.48
Weakley, Franklin D Roosevelt, Democrat, 68.15
White, Franklin D Roosevelt, Democrat, 66.58
Williamson, Franklin D Roosevelt, Democrat, 81.27
Wilson, Franklin D Roosevelt, Democrat, 76.97
