Accomack, Franklin D Roosevelt, Democrat, 62.5
Albemarle, Franklin D Roosevelt, Democrat, 63.87
Alleghany, Franklin D Roosevelt, Democrat, 60.15
Amelia, Franklin D Roosevelt, Democrat, 64.98
Amherst, Franklin D Roosevelt, Democrat, 85.06
Appomattox, Franklin D Roosevelt, Democrat, 80.07
Arlington, Thomas E Dewey, Republican, 53.66
Augusta, Franklin D Roosevelt, Democrat, 55.52
Bath, Franklin D Roosevelt, Democrat, 53.35
Bedford, Franklin D Roosevelt, Democrat, 70.23
Bland, Franklin D Roosevelt, Democrat, 50.6
Botetourt, Franklin D Roosevelt, Democrat, 49.77
Brunswick, Franklin D Roosevelt, Democrat, 85.63
Buchanan, Franklin D Roosevelt, Democrat, 58.81
Buckingham, Franklin D Roosevelt, Democrat, 71.44
Campbell, Franklin D Roosevelt, Democrat, 75.77
Caroline, Franklin D Roosevelt, Democrat, 72.18
Carroll, Thomas E Dewey, Republican, 63.07
Charles City, Franklin D Roosevelt, Democrat, 70.11
Charlotte, Franklin D Roosevelt, Democrat, 80.49
Chesterfield, Franklin D Roosevelt, Democrat, 75.82
Clarke, Franklin D Roosevelt, Democrat, 66.02
Craig, Franklin D Roosevelt, Democrat, 63.23
Culpeper, Franklin D Roosevelt, Democrat, 57.64
Cumberland, Franklin D Roosevelt, Democrat, 67.59
Dickenson, Franklin D Roosevelt, Democrat, 61.18
Dinwiddie, Franklin D Roosevelt, Democrat, 79.59
Elizabeth City, Franklin D Roosevelt, Democrat, 69.2
Essex, Franklin D Roosevelt, Democrat, 73.73
Fairfax, Thomas E Dewey, Republican, 52.81
Fauquier, Franklin D Roosevelt, Democrat, 65.86
Floyd, Thomas E Dewey, Republican, 69.06
Fluvanna, Franklin D Roosevelt, Democrat, 66.32
Franklin, Franklin D Roosevelt, Democrat, 62.1
Frederick, Franklin D Roosevelt, Democrat, 56.26
Giles, Franklin D Roosevelt, Democrat, 58.52
Gloucester, Franklin D Roosevelt, Democrat, 69.24
Goochland, Franklin D Roosevelt, Democrat, 74.7
Grayson, Thomas E Dewey, Republican, 55.77
Greene, Thomas E Dewey, Republican, 58.14
Greensville, Franklin D Roosevelt, Democrat, 77.12
Halifax, Franklin D Roosevelt, Democrat, 86.59
Hanover, Franklin D Roosevelt, Democrat, 71.72
Henrico, Franklin D Roosevelt, Democrat, 70.56
Henry, Franklin D Roosevelt, Democrat, 67.75
Highland, Thomas E Dewey, Republican, 54.51
Isle of Wight, Franklin D Roosevelt, Democrat, 73.26
James City, Franklin D Roosevelt, Democrat, 66.32
King and Queen, Franklin D Roosevelt, Democrat, 68.62
King George, Franklin D Roosevelt, Democrat, 50.43
King William, Franklin D Roosevelt, Democrat, 71.94
Lancaster, Franklin D Roosevelt, Democrat, 62.77
Lee, Franklin D Roosevelt, Democrat, 53.22
Loudoun, Franklin D Roosevelt, Democrat, 54.71
Louisa, Franklin D Roosevelt, Democrat, 59.16
Lunenburg, Franklin D Roosevelt, Democrat, 86.5
Madison, Thomas E Dewey, Republican, 56.79
Mathews, Franklin D Roosevelt, Democrat, 55.56
Mecklenburg, Franklin D Roosevelt, Democrat, 85.62
Middlesex, Franklin D Roosevelt, Democrat, 76.84
Montgomery, Thomas E Dewey, Republican, 53.67
Nansemond, Franklin D Roosevelt, Democrat, 79.93
Nelson, Franklin D Roosevelt, Democrat, 76.42
New Kent, Franklin D Roosevelt, Democrat, 67.56
Norfolk, Franklin D Roosevelt, Democrat, 77.98
Northampton, Franklin D Roosevelt, Democrat, 74.21
Northumberland, Franklin D Roosevelt, Democrat, 56.92
Nottoway, Franklin D Roosevelt, Democrat, 75.28
Orange, Franklin D Roosevelt, Democrat, 63.24
Page, Thomas E Dewey, Republican, 60.79
Patrick, Franklin D Roosevelt, Democrat, 65.98
Pittsylvania, Franklin D Roosevelt, Democrat, 73.92
Powhatan, Franklin D Roosevelt, Democrat, 66.43
Prince Edward, Franklin D Roosevelt, Democrat, 71.25
Prince George, Franklin D Roosevelt, Democrat, 72.5
Prince William, Franklin D Roosevelt, Democrat, 63.57
Princess Anne, Franklin D Roosevelt, Democrat, 66.34
Pulaski, Franklin D Roosevelt, Democrat, 62.32
Rappahannock, Franklin D Roosevelt, Democrat, 62.36
Richmond, Franklin D Roosevelt, Democrat, 51.93
Roanoke, Franklin D Roosevelt, Democrat, 51.71
Rockbridge, Franklin D Roosevelt, Democrat, 62.81
Rockingham, Thomas E Dewey, Republican, 63.61
Russell, Franklin D Roosevelt, Democrat, 55.05
Scott, Thomas E Dewey, Republican, 51.63
Shenandoah, Thomas E Dewey, Republican, 64.12
Smyth, Thomas E Dewey, Republican, 54.53
Southampton, Franklin D Roosevelt, Democrat, 84.38
Spotsylvania, Franklin D Roosevelt, Democrat, 59.47
Stafford, Thomas E Dewey, Republican, 50.35
Surry, Franklin D Roosevelt, Democrat, 82.92
Sussex, Franklin D Roosevelt, Democrat, 78.88
Tazewell, Franklin D Roosevelt, Democrat, 55.23
Warren, Franklin D Roosevelt, Democrat, 57.51
Warwick, Franklin D Roosevelt, Democrat, 69.49
Washington, Franklin D Roosevelt, Democrat, 50.3
Westmoreland, Franklin D Roosevelt, Democrat, 60.12
Wise, Franklin D Roosevelt, Democrat, 71.46
Wythe, Thomas E Dewey, Republican, 55.43
York, Franklin D Roosevelt, Democrat, 69.34
Alexandria City, Franklin D Roosevelt, Democrat, 56.13
Bristol City, Franklin D Roosevelt, Democrat, 71.02
Buena Vista City, Franklin D Roosevelt, Democrat, 69.07
Charlottesville City, Franklin D Roosevelt, Democrat, 67.22
Clifton Forge City, Franklin D Roosevelt, Democrat, 72.04
Danville City, Franklin D Roosevelt, Democrat, 71.48
Fredericksburg City, Franklin D Roosevelt, Democrat, 60.9
Hampton City, Franklin D Roosevelt, Democrat, 76.69
Harrisonburg City, Thomas E Dewey, Republican, 50.04
Hopewell City, Franklin D Roosevelt, Democrat, 77.49
Lynchburg City, Franklin D Roosevelt, Democrat, 64.08
Martinsville City, Franklin D Roosevelt, Democrat, 70.38
Newport News City, Franklin D Roosevelt, Democrat, 76.3
Norfolk City, Franklin D Roosevelt, Democrat, 70.66
Petersburg City, Franklin D Roosevelt, Democrat, 75.68
Portsmouth City, Franklin D Roosevelt, Democrat, 83.39
Radford City, Franklin D Roosevelt, Democrat, 57.91
Richmond City, Franklin D Roosevelt, Democrat, 71.95
Roanoke City, Franklin D Roosevelt, Democrat, 58.81
South Norfolk City, Franklin D Roosevelt, Democrat, 79.11
Staunton City, Franklin D Roosevelt, Democrat, 57.6
Suffolk City, Franklin D Roosevelt, Democrat, 70.11
Williamsburg City, Franklin D Roosevelt, Democrat, 67.66
Winchester City, Thomas E Dewey, Republican, 52.09
