Adams, Thomas E Dewey, Republican, 58.83
Allen, Thomas E Dewey, Republican, 57.64
Bartholomew, Thomas E Dewey, Republican, 50.99
Benton, Thomas E Dewey, Republican, 63.38
Blackford, Franklin D Roosevelt, Democrat, 49.81
Boone, Thomas E Dewey, Republican, 56
Brown, Franklin D Roosevelt, Democrat, 52.59
Carroll, Thomas E Dewey, Republican, 57.28
Cass, Thomas E Dewey, Republican, 52.89
Clark, Franklin D Roosevelt, Democrat, 57.24
Clay, Thomas E Dewey, Republican, 53.28
Clinton, Thomas E Dewey, Republican, 55.37
Crawford, Thomas E Dewey, Republican, 50.5
Daviess, Thomas E Dewey, Republican, 57.14
Dearborn, Thomas E Dewey, Republican, 51.32
Decatur, Thomas E Dewey, Republican, 60.86
DeKalb, Thomas E Dewey, Republican, 60.38
Delaware, Franklin D Roosevelt, Democrat, 51.35
Dubois, Franklin D Roosevelt, Democrat, 51.89
Elkhart, Thomas E Dewey, Republican, 60.39
Fayette, Thomas E Dewey, Republican, 51.23
Floyd, Franklin D Roosevelt, Democrat, 55.27
Fountain, Thomas E Dewey, Republican, 57.74
Franklin, Thomas E Dewey, Republican, 59.82
Fulton, Thomas E Dewey, Republican, 61.28
Gibson, Thomas E Dewey, Republican, 50.85
Grant, Thomas E Dewey, Republican, 55.07
Greene, Thomas E Dewey, Republican, 54.44
Hamilton, Thomas E Dewey, Republican, 66.06
Hancock, Thomas E Dewey, Republican, 51.71
Harrison, Thomas E Dewey, Republican, 50.05
Hendricks, Thomas E Dewey, Republican, 60.45
Henry, Thomas E Dewey, Republican, 54.85
Howard, Thomas E Dewey, Republican, 49.49
Huntington, Thomas E Dewey, Republican, 57.15
Jackson, Thomas E Dewey, Republican, 50.87
Jasper, Thomas E Dewey, Republican, 66.63
Jay, Thomas E Dewey, Republican, 53.38
Jefferson, Thomas E Dewey, Republican, 56.17
Jennings, Thomas E Dewey, Republican, 58.58
Johnson, Thomas E Dewey, Republican, 53.06
Knox, Franklin D Roosevelt, Democrat, 50.32
Kosciusko, Thomas E Dewey, Republican, 65.11
LaGrange, Thomas E Dewey, Republican, 68.71
Lake, Franklin D Roosevelt, Democrat, 60.56
LaPorte, Thomas E Dewey, Republican, 54.12
Lawrence, Thomas E Dewey, Republican, 63.38
Madison, Franklin D Roosevelt, Democrat, 52.8
Marion, Thomas E Dewey, Republican, 52.01
Marshall, Thomas E Dewey, Republican, 59.88
Martin, Franklin D Roosevelt, Democrat, 50.33
Miami, Thomas E Dewey, Republican, 55.54
Monroe, Thomas E Dewey, Republican, 55.77
Montgomery, Thomas E Dewey, Republican, 59.43
Morgan, Thomas E Dewey, Republican, 59.09
Newton, Thomas E Dewey, Republican, 67.91
Noble, Thomas E Dewey, Republican, 62.89
Ohio, Thomas E Dewey, Republican, 51.56
Orange, Thomas E Dewey, Republican, 60.06
Owen, Thomas E Dewey, Republican, 55.53
Parke, Thomas E Dewey, Republican, 59.03
Perry, Thomas E Dewey, Republican, 50.44
Pike, Thomas E Dewey, Republican, 54.11
Porter, Thomas E Dewey, Republican, 60.52
Posey, Thomas E Dewey, Republican, 50.75
Pulaski, Thomas E Dewey, Republican, 55.03
Putnam, Thomas E Dewey, Republican, 52.38
Randolph, Thomas E Dewey, Republican, 61.18
Ripley, Thomas E Dewey, Republican, 59.12
Rush, Thomas E Dewey, Republican, 59.6
St. Joseph, Franklin D Roosevelt, Democrat, 53.83
Scott, Franklin D Roosevelt, Democrat, 51.86
Shelby, Thomas E Dewey, Republican, 49.63
Spencer, Thomas E Dewey, Republican, 57.4
Starke, Thomas E Dewey, Republican, 55.71
Steuben, Thomas E Dewey, Republican, 71.61
Sullivan, Franklin D Roosevelt, Democrat, 51.79
Switzerland, Franklin D Roosevelt, Democrat, 51.35
Tippecanoe, Thomas E Dewey, Republican, 60.61
Tipton, Thomas E Dewey, Republican, 54.77
Union, Thomas E Dewey, Republican, 63.05
Vanderburgh, Franklin D Roosevelt, Democrat, 52.61
Vermillion, Thomas E Dewey, Republican, 50.17
Vigo, Franklin D Roosevelt, Democrat, 53.33
Wabash, Thomas E Dewey, Republican, 62.3
Warren, Thomas E Dewey, Republican, 64.73
Warrick, Thomas E Dewey, Republican, 55.01
Washington, Thomas E Dewey, Republican, 50.32
Wayne, Thomas E Dewey, Republican, 54.51
Wells, Thomas E Dewey, Republican, 50.03
White, Thomas E Dewey, Republican, 58.25
Whitley, Thomas E Dewey, Republican, 55.88
