Allen, Thomas E Dewey, Republican, 68.56
Anderson, Thomas E Dewey, Republican, 64.89
Atchison, Thomas E Dewey, Republican, 58.58
Barber, Thomas E Dewey, Republican, 58.28
Barton, Thomas E Dewey, Republican, 59.36
Bourbon, Thomas E Dewey, Republican, 56.68
Brown, Thomas E Dewey, Republican, 72.98
Butler, Thomas E Dewey, Republican, 53.5
Chase, Thomas E Dewey, Republican, 59.99
Chautauqua, Thomas E Dewey, Republican, 67.38
Cherokee, Thomas E Dewey, Republican, 54.65
Cheyenne, Thomas E Dewey, Republican, 67.99
Clark, Thomas E Dewey, Republican, 55.69
Clay, Thomas E Dewey, Republican, 74.01
Cloud, Thomas E Dewey, Republican, 63.67
Coffey, Thomas E Dewey, Republican, 67.28
Comanche, Thomas E Dewey, Republican, 61.47
Cowley, Thomas E Dewey, Republican, 55.91
Crawford, Thomas E Dewey, Republican, 52.09
Decatur, Thomas E Dewey, Republican, 59.92
Dickinson, Thomas E Dewey, Republican, 65.92
Doniphan, Thomas E Dewey, Republican, 71.92
Douglas, Thomas E Dewey, Republican, 67.47
Edwards, Thomas E Dewey, Republican, 65.09
Elk, Thomas E Dewey, Republican, 70.33
Ellis, Thomas E Dewey, Republican, 60.13
Ellsworth, Thomas E Dewey, Republican, 57.62
Finney, Thomas E Dewey, Republican, 58.2
Ford, Thomas E Dewey, Republican, 57.23
Franklin, Thomas E Dewey, Republican, 64.68
Geary, Thomas E Dewey, Republican, 56.97
Gove, Thomas E Dewey, Republican, 72.02
Graham, Thomas E Dewey, Republican, 66.52
Grant, Thomas E Dewey, Republican, 66.35
Gray, Thomas E Dewey, Republican, 57.01
Greeley, Thomas E Dewey, Republican, 63
Greenwood, Thomas E Dewey, Republican, 63.99
Hamilton, Thomas E Dewey, Republican, 62.35
Harper, Thomas E Dewey, Republican, 63.76
Harvey, Thomas E Dewey, Republican, 61.35
Haskell, Thomas E Dewey, Republican, 59.91
Hodgeman, Thomas E Dewey, Republican, 66.31
Jackson, Thomas E Dewey, Republican, 69.72
Jefferson, Thomas E Dewey, Republican, 68.73
Jewell, Thomas E Dewey, Republican, 74.2
Johnson, Thomas E Dewey, Republican, 67.24
Kearny, Thomas E Dewey, Republican, 62.45
Kingman, Thomas E Dewey, Republican, 63.74
Kiowa, Thomas E Dewey, Republican, 69.6
Labette, Thomas E Dewey, Republican, 57.87
Lane, Thomas E Dewey, Republican, 65.9
Leavenworth, Thomas E Dewey, Republican, 58.55
Lincoln, Thomas E Dewey, Republican, 72.03
Linn, Thomas E Dewey, Republican, 68.54
Logan, Thomas E Dewey, Republican, 72.92
Lyon, Thomas E Dewey, Republican, 52.88
Marion, Thomas E Dewey, Republican, 72.64
Marshall, Thomas E Dewey, Republican, 69.59
McPherson, Thomas E Dewey, Republican, 62.31
Meade, Thomas E Dewey, Republican, 68.23
Miami, Thomas E Dewey, Republican, 57.28
Mitchell, Thomas E Dewey, Republican, 66.67
Montgomery, Thomas E Dewey, Republican, 62.29
Morris, Thomas E Dewey, Republican, 62.11
Morton, Thomas E Dewey, Republican, 62.51
Nemaha, Thomas E Dewey, Republican, 66.44
Neosho, Thomas E Dewey, Republican, 62.45
Ness, Thomas E Dewey, Republican, 65.45
Norton, Thomas E Dewey, Republican, 70.87
Osage, Thomas E Dewey, Republican, 64.4
Osborne, Thomas E Dewey, Republican, 71.52
Ottawa, Thomas E Dewey, Republican, 63.11
Pawnee, Thomas E Dewey, Republican, 54.05
Phillips, Thomas E Dewey, Republican, 72.74
Pottawatomie, Thomas E Dewey, Republican, 70.01
Pratt, Thomas E Dewey, Republican, 52.85
Rawlins, Thomas E Dewey, Republican, 61.72
Reno, Thomas E Dewey, Republican, 58.71
Republic, Thomas E Dewey, Republican, 66.53
Rice, Thomas E Dewey, Republican, 61.12
Riley, Thomas E Dewey, Republican, 70.43
Rooks, Thomas E Dewey, Republican, 66.53
Rush, Thomas E Dewey, Republican, 66.8
Russell, Thomas E Dewey, Republican, 67.56
Saline, Thomas E Dewey, Republican, 59.51
Scott, Thomas E Dewey, Republican, 60.93
Sedgwick, Thomas E Dewey, Republican, 52.78
Seward, Thomas E Dewey, Republican, 53.92
Shawnee, Thomas E Dewey, Republican, 59.03
Sheridan, Thomas E Dewey, Republican, 66.87
Sherman, Thomas E Dewey, Republican, 60.07
Smith, Thomas E Dewey, Republican, 69.93
Stafford, Thomas E Dewey, Republican, 56.25
Stanton, Thomas E Dewey, Republican, 61.71
Stevens, Thomas E Dewey, Republican, 64.63
Sumner, Thomas E Dewey, Republican, 59.87
Thomas, Thomas E Dewey, Republican, 59.14
Trego, Thomas E Dewey, Republican, 61.98
Wabaunsee, Thomas E Dewey, Republican, 75.95
Wallace, Thomas E Dewey, Republican, 70.8
Washington, Thomas E Dewey, Republican, 77.11
Wichita, Thomas E Dewey, Republican, 64.32
Wilson, Thomas E Dewey, Republican, 68.57
Woodson, Thomas E Dewey, Republican, 69.56
Wyandotte, Franklin D Roosevelt, Democrat, 54.91
