Arkansas, Franklin D Roosevelt, Democrat, 62.2
Ashley, Franklin D Roosevelt, Democrat, 88.17
Baxter, Franklin D Roosevelt, Democrat, 58.02
Benton, Thomas E Dewey, Republican, 53.52
Boone, Franklin D Roosevelt, Democrat, 61.25
Bradley, Franklin D Roosevelt, Democrat, 91.1
Calhoun, Franklin D Roosevelt, Democrat, 88.13
Carroll, Franklin D Roosevelt, Democrat, 55.45
Chicot, Franklin D Roosevelt, Democrat, 84.99
Clark, Franklin D Roosevelt, Democrat, 75.58
Clay, Franklin D Roosevelt, Democrat, 57.54
Cleburne, Franklin D Roosevelt, Democrat, 58.39
Cleveland, Franklin D Roosevelt, Democrat, 86.49
Columbia, Franklin D Roosevelt, Democrat, 84.35
Conway, Franklin D Roosevelt, Democrat, 71.09
Craighead, Franklin D Roosevelt, Democrat, 70.6
Crawford, Franklin D Roosevelt, Democrat, 59.47
Crittenden, Franklin D Roosevelt, Democrat, 80.63
Cross, Franklin D Roosevelt, Democrat, 79.01
Dallas, Franklin D Roosevelt, Democrat, 82.15
Desha, Franklin D Roosevelt, Democrat, 86.27
Drew, Franklin D Roosevelt, Democrat, 81.02
Faulkner, Franklin D Roosevelt, Democrat, 72
Franklin, Franklin D Roosevelt, Democrat, 72.13
Fulton, Franklin D Roosevelt, Democrat, 55.6
Garland, Franklin D Roosevelt, Democrat, 63.43
Grant, Franklin D Roosevelt, Democrat, 76.51
Greene, Franklin D Roosevelt, Democrat, 73.26
Hempstead, Franklin D Roosevelt, Democrat, 77.34
Hot Spring, Franklin D Roosevelt, Democrat, 65.58
Howard, Franklin D Roosevelt, Democrat, 72.62
Independence, Franklin D Roosevelt, Democrat, 59.7
Izard, Franklin D Roosevelt, Democrat, 67.75
Jackson, Franklin D Roosevelt, Democrat, 84.85
Jefferson, Franklin D Roosevelt, Democrat, 72.15
Johnson, Franklin D Roosevelt, Democrat, 68.6
Lafayette, Franklin D Roosevelt, Democrat, 86.66
Lawrence, Franklin D Roosevelt, Democrat, 66.06
Lee, Franklin D Roosevelt, Democrat, 80.09
Lincoln, Franklin D Roosevelt, Democrat, 88
Little River, Franklin D Roosevelt, Democrat, 74.55
Logan, Franklin D Roosevelt, Democrat, 63.83
Lonoke, Franklin D Roosevelt, Democrat, 74.7
Madison, Thomas E Dewey, Republican, 54.25
Marion, Franklin D Roosevelt, Democrat, 66.4
Miller, Franklin D Roosevelt, Democrat, 74.6
Mississippi, Franklin D Roosevelt, Democrat, 75.22
Monroe, Franklin D Roosevelt, Democrat, 81.63
Montgomery, Franklin D Roosevelt, Democrat, 62.01
Nevada, Franklin D Roosevelt, Democrat, 76.4
Newton, Thomas E Dewey, Republican, 56.61
Ouachita, Franklin D Roosevelt, Democrat, 86.93
Perry, Franklin D Roosevelt, Democrat, 71.36
Phillips, Franklin D Roosevelt, Democrat, 80.3
Pike, Franklin D Roosevelt, Democrat, 67.88
Poinsett, Franklin D Roosevelt, Democrat, 88.93
Polk, Franklin D Roosevelt, Democrat, 56.35
Pope, Franklin D Roosevelt, Democrat, 71.58
Prairie, Franklin D Roosevelt, Democrat, 70.47
Pulaski, Franklin D Roosevelt, Democrat, 72.91
Randolph, Franklin D Roosevelt, Democrat, 73.89
St. Francis, Franklin D Roosevelt, Democrat, 78.46
Saline, Franklin D Roosevelt, Democrat, 79.45
Scott, Franklin D Roosevelt, Democrat, 72.07
Searcy, Thomas E Dewey, Republican, 61.07
Sebastian, Franklin D Roosevelt, Democrat, 63.46
Sevier, Franklin D Roosevelt, Democrat, 77.66
Sharp, Franklin D Roosevelt, Democrat, 64.29
Stone, Franklin D Roosevelt, Democrat, 51.3
Union, Franklin D Roosevelt, Democrat, 84.7
Van Buren, Franklin D Roosevelt, Democrat, 62.39
Washington, Franklin D Roosevelt, Democrat, 49.81
White, Franklin D Roosevelt, Democrat, 65.29
Woodruff, Franklin D Roosevelt, Democrat, 82.85
Yell, Franklin D Roosevelt, Democrat, 77.02
