Appling, Franklin D Roosevelt, Democrat, 77.3
Atkinson, Franklin D Roosevelt, Democrat, 89.49
Bacon, Franklin D Roosevelt, Democrat, 77.62
Baker, Franklin D Roosevelt, Democrat, 93.91
Baldwin, Franklin D Roosevelt, Democrat, 80.98
Banks, Franklin D Roosevelt, Democrat, 79.16
Barrow, Franklin D Roosevelt, Democrat, 85.48
Bartow, Franklin D Roosevelt, Democrat, 79.1
Ben Hill, Franklin D Roosevelt, Democrat, 84.56
Berrien, Franklin D Roosevelt, Democrat, 87.22
Bibb, Franklin D Roosevelt, Democrat, 73.96
Bleckley, Franklin D Roosevelt, Democrat, 79.28
Brantley, Franklin D Roosevelt, Democrat, 81.33
Brooks, Franklin D Roosevelt, Democrat, 83.19
Bryan, Franklin D Roosevelt, Democrat, 88.43
Bulloch, Franklin D Roosevelt, Democrat, 87.52
Burke, Franklin D Roosevelt, Democrat, 85.59
Butts, Franklin D Roosevelt, Democrat, 93.99
Calhoun, Franklin D Roosevelt, Democrat, 95.21
Camden, Franklin D Roosevelt, Democrat, 87.97
Candler, Franklin D Roosevelt, Democrat, 82.55
Carroll, Franklin D Roosevelt, Democrat, 82.55
Catoosa, Franklin D Roosevelt, Democrat, 78.63
Charlton, Franklin D Roosevelt, Democrat, 83.85
Chatham, Franklin D Roosevelt, Democrat, 80.91
Chattahoochee, Franklin D Roosevelt, Democrat, 84.03
Chattooga, Franklin D Roosevelt, Democrat, 89.68
Cherokee, Franklin D Roosevelt, Democrat, 56
Clarke, Franklin D Roosevelt, Democrat, 91.91
Clay, Franklin D Roosevelt, Democrat, 92.66
Clayton, Franklin D Roosevelt, Democrat, 88.14
Clinch, Franklin D Roosevelt, Democrat, 90.09
Cobb, Franklin D Roosevelt, Democrat, 78.75
Coffee, Franklin D Roosevelt, Democrat, 81.62
Colquitt, Franklin D Roosevelt, Democrat, 76.83
Columbia, Franklin D Roosevelt, Democrat, 87.59
Cook, Franklin D Roosevelt, Democrat, 84.99
Coweta, Franklin D Roosevelt, Democrat, 95.32
Crawford, Franklin D Roosevelt, Democrat, 71.56
Crisp, Franklin D Roosevelt, Democrat, 84.68
Dade, Franklin D Roosevelt, Democrat, 84.8
Dawson, Franklin D Roosevelt, Democrat, 57.83
DeKalb, Franklin D Roosevelt, Democrat, 82.52
Decatur, Franklin D Roosevelt, Democrat, 84.53
Dodge, Franklin D Roosevelt, Democrat, 85.84
Dooly, Franklin D Roosevelt, Democrat, 90.67
Dougherty, Franklin D Roosevelt, Democrat, 90.44
Douglas, Franklin D Roosevelt, Democrat, 74.73
Early, Franklin D Roosevelt, Democrat, 95.79
Echols, Franklin D Roosevelt, Democrat, 91.73
Effingham, Franklin D Roosevelt, Democrat, 54.26
Elbert, Franklin D Roosevelt, Democrat, 80.79
Emanuel, Franklin D Roosevelt, Democrat, 83.72
Evans, Franklin D Roosevelt, Democrat, 86.5
Fannin, Thomas E Dewey, Republican, 60.4
Fayette, Franklin D Roosevelt, Democrat, 88.86
Floyd, Franklin D Roosevelt, Democrat, 80.92
Forsyth, Franklin D Roosevelt, Democrat, 60.1
Franklin, Franklin D Roosevelt, Democrat, 80.76
Fulton, Franklin D Roosevelt, Democrat, 82.86
Gilmer, Franklin D Roosevelt, Democrat, 52.71
Glascock, Franklin D Roosevelt, Democrat, 66.39
Glynn, Franklin D Roosevelt, Democrat, 83.82
Gordon, Franklin D Roosevelt, Democrat, 70.22
Grady, Franklin D Roosevelt, Democrat, 88.16
Greene, Franklin D Roosevelt, Democrat, 89.38
Gwinnett, Franklin D Roosevelt, Democrat, 82.4
Habersham, Franklin D Roosevelt, Democrat, 78.52
Hall, Franklin D Roosevelt, Democrat, 79.37
Hancock, Franklin D Roosevelt, Democrat, 77.71
Haralson, Franklin D Roosevelt, Democrat, 57.8
Harris, Franklin D Roosevelt, Democrat, 91.87
Hart, Franklin D Roosevelt, Democrat, 86.38
Heard, Franklin D Roosevelt, Democrat, 75.07
Henry, Franklin D Roosevelt, Democrat, 90.58
Houston, Franklin D Roosevelt, Democrat, 73.79
Irwin, Franklin D Roosevelt, Democrat, 76.9
Jackson, Franklin D Roosevelt, Democrat, 88.81
Jasper, Franklin D Roosevelt, Democrat, 90.03
Jeff Davis, Franklin D Roosevelt, Democrat, 86
Jefferson, Franklin D Roosevelt, Democrat, 79.2
Jenkins, Franklin D Roosevelt, Democrat, 87.36
Johnson, Franklin D Roosevelt, Democrat, 76.29
Jones, Franklin D Roosevelt, Democrat, 76.95
Lamar, Franklin D Roosevelt, Democrat, 87.65
Lanier, Franklin D Roosevelt, Democrat, 93.98
Laurens, Franklin D Roosevelt, Democrat, 83.63
Lee, Franklin D Roosevelt, Democrat, 94.3
Liberty, Franklin D Roosevelt, Democrat, 79.77
Lincoln, Franklin D Roosevelt, Democrat, 72.91
