Adams, Thomas E Dewey, Republican, 51.01
Barnes, Thomas E Dewey, Republican, 55.55
Benson, Franklin D Roosevelt, Democrat, 56.38
Billings, Thomas E Dewey, Republican, 62.54
Bottineau, Thomas E Dewey, Republican, 57.15
Bowman, Thomas E Dewey, Republican, 55.67
Burke, Thomas E Dewey, Republican, 54.47
Burleigh, Thomas E Dewey, Republican, 59.95
Cass, Thomas E Dewey, Republican, 50.37
Cavalier, Franklin D Roosevelt, Democrat, 52.79
Dickey, Thomas E Dewey, Republican, 61.11
Divide, Franklin D Roosevelt, Democrat, 54.58
Dunn, Thomas E Dewey, Republican, 59.79
Eddy, Franklin D Roosevelt, Democrat, 50.88
Emmons, Thomas E Dewey, Republican, 76.99
Foster, Franklin D Roosevelt, Democrat, 54.91
Golden Valley, Thomas E Dewey, Republican, 61.23
Grand Forks, Franklin D Roosevelt, Democrat, 57.37
Grant, Thomas E Dewey, Republican, 80.64
Griggs, Franklin D Roosevelt, Democrat, 55.14
Hettinger, Thomas E Dewey, Republican, 76.42
Kidder, Thomas E Dewey, Republican, 66.43
LaMoure, Thomas E Dewey, Republican, 61.25
Logan, Thomas E Dewey, Republican, 86.47
McHenry, Thomas E Dewey, Republican, 61.44
McIntosh, Thomas E Dewey, Republican, 91.98
McKenzie, Franklin D Roosevelt, Democrat, 55.61
McLean, Thomas E Dewey, Republican, 53.37
Mercer, Thomas E Dewey, Republican, 84.71
Morton, Thomas E Dewey, Republican, 65.32
Mountrail, Franklin D Roosevelt, Democrat, 53.64
Nelson, Franklin D Roosevelt, Democrat, 55.94
Oliver, Thomas E Dewey, Republican, 76.83
Pembina, Franklin D Roosevelt, Democrat, 54.15
Pierce, Thomas E Dewey, Republican, 60.07
Ramsey, Franklin D Roosevelt, Democrat, 49.95
Ransom, Thomas E Dewey, Republican, 55.06
Renville, Franklin D Roosevelt, Democrat, 50.6
Richland, Thomas E Dewey, Republican, 57.74
Rolette, Franklin D Roosevelt, Democrat, 61.62
Sargent, Thomas E Dewey, Republican, 50.72
Sheridan, Thomas E Dewey, Republican, 82.76
Sioux, Thomas E Dewey, Republican, 59.98
Slope, Franklin D Roosevelt, Democrat, 50
Stark, Thomas E Dewey, Republican, 64.85
Steele, Franklin D Roosevelt, Democrat, 55.6
Stutsman, Thomas E Dewey, Republican, 56.2
Towner, Franklin D Roosevelt, Democrat, 51.84
Traill, Franklin D Roosevelt, Democrat, 50.91
Walsh, Franklin D Roosevelt, Democrat, 65.46
Ward, Franklin D Roosevelt, Democrat, 50.99
Wells, Thomas E Dewey, Republican, 61.59
Williams, Franklin D Roosevelt, Democrat, 61.82
