Appling, Zell Miller, Democrat, 56.4
Atkinson, Zell Miller, Democrat, 57.7
Bacon, Zell Miller, Democrat, 58.3
Baker, Zell Miller, Democrat, 67.1
Baldwin, Zell Miller, Democrat, 57
Banks, Zell Miller, Democrat, 56.7
Barrow, Zell Miller, Democrat, 55.9
Bartow, Zell Miller, Democrat, 57.9
Ben Hill, Zell Miller, Democrat, 57.8
Berrien, Zell Miller, Democrat, 58
Bibb, Zell Miller, Democrat, 61.2
Bleckley, Zell Miller, Democrat, 49.8
Brantley, Zell Miller, Democrat, 67
Brooks, Zell Miller, Democrat, 54.3
Bryan, Zell Miller, Democrat, 61.8
Bulloch, Zell Miller, Democrat, 52.6
Burke, Zell Miller, Democrat, 57.8
Butts, Zell Miller, Democrat, 58.2
Calhoun, Zell Miller, Democrat, 66.9
Camden, Zell Miller, Democrat, 59.2
Candler, Zell Miller, Democrat, 61.7
Carroll, Zell Miller, Democrat, 50.1
Catoosa, Zell Miller, Democrat, 64.4
Charlton, Zell Miller, Democrat, 60.1
Chatham, Zell Miller, Democrat, 61.8
Chattahoochee, Zell Miller, Democrat, 75.1
Chattooga, Zell Miller, Democrat, 62
Cherokee, Johnny Isakson, Republican, 52.5
Clarke, Zell Miller, Democrat, 51.8
Clay, Zell Miller, Democrat, 68
Clayton, Zell Miller, Democrat, 54.9
Clinch, Zell Miller, Democrat, 65.6
Cobb, Johnny Isakson, Republican, 61.8
Coffee, Zell Miller, Democrat, 52.2
Colquitt, Johnny Isakson, Republican, 54.4
Columbia, Johnny Isakson, Republican, 55.7
Cook, Zell Miller, Democrat, 58.8
Coweta, Zell Miller, Democrat, 48.6
Crawford, Zell Miller, Democrat, 62.9
Crisp, Zell Miller, Democrat, 51.4
Dade, Zell Miller, Democrat, 65.5
Dawson, Zell Miller, Democrat, 56.5
Decatur, Johnny Isakson, Republican, 51.3
DeKalb, Zell Miller, Democrat, 53.4
Dodge, Zell Miller, Democrat, 56.1
Dooly, Zell Miller, Democrat, 63.1
Dougherty, Zell Miller, Democrat, 56.3
Douglas, Zell Miller, Democrat, 51.1
Early, Zell Miller, Democrat, 55.5
Echols, Zell Miller, Democrat, 63.3
Effingham, Zell Miller, Democrat, 61
Elbert, Zell Miller, Democrat, 63.4
Emanuel, Zell Miller, Democrat, 57.9
Evans, Zell Miller, Democrat, 63.6
Fannin, Zell Miller, Democrat, 58.2
Fayette, Johnny Isakson, Republican, 58.5
Floyd, Zell Miller, Democrat, 55.5
Forsyth, Zell Miller, Democrat, 50
Franklin, Zell Miller, Democrat, 63.6
Fulton, Zell Miller, Democrat, 57.6
Gilmer, Zell Miller, Democrat, 56
Glascock, Johnny Isakson, Republican, 56.3
Glynn, Zell Miller, Democrat, 50.1
Gordon, Zell Miller, Democrat, 56.6
Grady, Zell Miller, Democrat, 52.9
Greene, Zell Miller, Democrat, 66.5
Gwinnett, Johnny Isakson, Republican, 53.8
Habersham, Johnny Isakson, Republican, 50.9
Hall, Zell Miller, Democrat, 49.3
Hancock, Zell Miller, Democrat, 73.7
Haralson, Zell Miller, Democrat, 51.2
Harris, Zell Miller, Democrat, 57.5
Hart, Zell Miller, Democrat, 63.9
Heard, Zell Miller, Democrat, 64.6
Henry, Zell Miller, Democrat, 48.9
Houston, Zell Miller, Democrat, 54.5
Irwin, Zell Miller, Democrat, 52.2
Jackson, Zell Miller, Democrat, 56.4
Jasper, Zell Miller, Democrat, 60.6
Jeff Davis, Zell Miller, Democrat, 55.8
Jefferson, Zell Miller, Democrat, 56.3
Jenkins, Johnny Isakson, Republican, 52.6
Johnson, Zell Miller, Democrat, 55.1
Jones, Zell Miller, Democrat, 62.7
Lamar, Zell Miller, Democrat, 58.5
