Abbeville, Carroll Campbell, Republican, 65.5
Aiken, Carroll Campbell, Republican, 75.9
Allendale, Theo Mitchell, Democrat, 52
Anderson, Carroll Campbell, Republican, 74.7
Bamberg, Carroll Campbell, Republican, 54.3
Barnwell, Carroll Campbell, Republican, 66.8
Beaufort, Carroll Campbell, Republican, 70.2
Berkeley, Carroll Campbell, Republican, 68.6
Calhoun, Carroll Campbell, Republican, 64.4
Charleston, Carroll Campbell, Republican, 66.1
Cherokee, Carroll Campbell, Republican, 69.4
Chester, Carroll Campbell, Republican, 64.5
Chesterfield, Carroll Campbell, Republican, 68.3
Clarendon, Carroll Campbell, Republican, 52.8
Colleton, Carroll Campbell, Republican, 59.1
Darlington, Carroll Campbell, Republican, 65.3
Dillon, Carroll Campbell, Republican, 61.5
Dorchester, Carroll Campbell, Republican, 70.5
Edgefield, Carroll Campbell, Republican, 61.1
Fairfield, Carroll Campbell, Republican, 49.8
Florence, Carroll Campbell, Republican, 67.1
Georgetown, Carroll Campbell, Republican, 60
Greenville, Carroll Campbell, Republican, 77.1
Greenwood, Carroll Campbell, Republican, 70
Hampton, Theo Mitchell, Democrat, 50.2
Horry, Carroll Campbell, Republican, 77.8
Jasper, Theo Mitchell, Democrat, 57
Kershaw, Carroll Campbell, Republican, 75.4
Lancaster, Carroll Campbell, Republican, 75.2
Laurens, Carroll Campbell, Republican, 71
Lee, Carroll Campbell, Republican, 53.8
Lexington, Carroll Campbell, Republican, 84.2
McCormick, Carroll Campbell, Republican, 51.4
Marion, Carroll Campbell, Republican, 59.7
Marlboro, Carroll Campbell, Republican, 60.6
Newberry, Carroll Campbell, Republican, 73.5
Oconee, Carroll Campbell, Republican, 75.2
Orangeburg, Carroll Campbell, Republican, 53.1
Pickens, Carroll Campbell, Republican, 79.1
Richland, Carroll Campbell, Republican, 64
Saluda, Carroll Campbell, Republican, 71.4
Spartanburg, Carroll Campbell, Republican, 71.8
Sumter, Carroll Campbell, Republican, 64.7
Union, Carroll Campbell, Republican, 69.4
Williamsburg, Carroll Campbell, Republican, 49.8
York, Carroll Campbell, Republican, 75.6
