Anderson, Clayton Williams, Republican, 50.9
Andrews, Clayton Williams, Republican, 72.8
Angelina, Ann Richards, Democrat, 52.3
Aransas, Clayton Williams, Republican, 50.5
Archer, Ann Richards, Democrat, 49.4
Armstrong, Clayton Williams, Republican, 57
Atascosa, Clayton Williams, Republican, 49.7
Austin, Clayton Williams, Republican, 60.6
Bailey, Clayton Williams, Republican, 56.9
Bandera, Clayton Williams, Republican, 62.5
Bastrop, Ann Richards, Democrat, 58.2
Baylor, Ann Richards, Democrat, 61.3
Bee, Ann Richards, Democrat, 52.5
Bell, Clayton Williams, Republican, 49.1
Bexar, Ann Richards, Democrat, 52.5
Blanco, Clayton Williams, Republican, 58.6
Borden, Clayton Williams, Republican, 63
Bosque, Clayton Williams, Republican, 50.3
Bowie, Ann Richards, Democrat, 52.1
Brazoria, Clayton Williams, Republican, 51.6
Brazos, Clayton Williams, Republican, 52.3
Brewster, Clayton Williams, Republican, 57.2
Briscoe, Ann Richards, Democrat, 58.1
Brooks, Ann Richards, Democrat, 79
Brown, Clayton Williams, Republican, 52.6
Burleson, Ann Richards, Democrat, 51.1
Burnet, Clayton Williams, Republican, 52.1
Caldwell, Ann Richards, Democrat, 64.2
Calhoun, Ann Richards, Democrat, 49.3
Callahan, Clayton Williams, Republican, 57.7
Cameron, Ann Richards, Democrat, 56.7
Camp, Ann Richards, Democrat, 55.5
Carson, Clayton Williams, Republican, 50.3
Cass, Ann Richards, Democrat, 56.5
Castro, Clayton Williams, Republican, 48.7
Chambers, Clayton Williams, Republican, 50.6
Cherokee, Clayton Williams, Republican, 52.1
Childress, Ann Richards, Democrat, 53.5
Clay, Ann Richards, Democrat, 55.6
Cochran, Clayton Williams, Republican, 50.8
Coke, Clayton Williams, Republican, 55.2
Coleman, Clayton Williams, Republican, 55.3
Collin, Clayton Williams, Republican, 56.3
Collingsworth, Ann Richards, Democrat, 54.7
Colorado, Clayton Williams, Republican, 55.6
Comal, Clayton Williams, Republican, 58.7
Comanche, Ann Richards, Democrat, 54.6
Concho, Clayton Williams, Republican, 52.6
Cooke, Clayton Williams, Republican, 57.4
Coryell, Clayton Williams, Republican, 49.9
Cottle, Ann Richards, Democrat, 68.2
Crane, Clayton Williams, Republican, 69.9
Crockett, Clayton Williams, Republican, 65.7
Crosby, Ann Richards, Democrat, 49.3
Culberson, Clayton Williams, Republican, 52.4
Dallam, Clayton Williams, Republican, 54.2
Dallas, Ann Richards, Democrat, 50.2
Dawson, Clayton Williams, Republican, 66.7
Deaf Smith, Clayton Williams, Republican, 60.5
Delta, Ann Richards, Democrat, 61.3
Denton, Clayton Williams, Republican, 50.7
Dewitt, Clayton Williams, Republican, 60.3
Dickens, Ann Richards, Democrat, 51.2
Dimmit, Ann Richards, Democrat, 64.4
Donley, Clayton Williams, Republican, 51.7
Duval, Ann Richards, Democrat, 75.5
Eastland, Clayton Williams, Republican, 53.1
Ector, Clayton Williams, Republican, 64.5
Edwards, Clayton Williams, Republican, 65
Ellis, Clayton Williams, Republican, 51.1
El Paso, Ann Richards, Democrat, 54.2
Erath, Clayton Williams, Republican, 50.2
Falls, Ann Richards, Democrat, 58.1
Fannin, Ann Richards, Democrat, 60.6
Fayette, Clayton Williams, Republican, 58.6
Fisher, Ann Richards, Democrat, 64.2
Floyd, Clayton Williams, Republican, 58.3
Foard, Ann Richards, Democrat, 70.6
Fort Bend, Clayton Williams, Republican, 52.2
Franklin, Clayton Williams, Republican, 49.2
Freestone, Clayton Williams, Republican, 51.1
Frio, Ann Richards, Democrat, 55.6
Gaines, Clayton Williams, Republican, 64.4
Galveston, Ann Richards, Democrat, 56.3
Garza, Clayton Williams, Republican, 59.6
Gillespie, Clayton Williams, Republican, 67.5
Glasscock, Clayton Williams, Republican, 78.7
Goliad, Clayton Williams, Republican, 54
Gonzales, Clayton Williams, Republican, 54.5
Gray, Clayton Williams, Republican, 59.6
Grayson, Ann Richards, Democrat, 50.3
Gregg, Clayton Williams, Republican, 54.2
Grimes, Clayton Williams, Republican, 50.4
Guadalupe, Clayton Williams, Republican, 56.6
Hale, Clayton Williams, Republican, 61.2
Hall, Ann Richards, Democrat, 58.2
Hamilton, Clayton Williams, Republican, 51.8
Hansford, Clayton Williams, Republican, 71.9
Hardeman, Ann Richards, Democrat, 59.5
Hardin, Ann Richards, Democrat, 54.3
Harris, Ann Richards, Democrat, 50.3
Harrison, Ann Richards, Democrat, 48.9
Hartley, Clayton Williams, Republican, 57.1
Haskell, Ann Richards, Democrat, 58.6
Hays, Ann Richards, Democrat, 56.6
Hemphill, Clayton Williams, Republican, 55.7
Henderson, Ann Richards, Democrat, 49.1
Hidalgo, Ann Richards, Democrat, 62.5
Hill, Ann Richards, Democrat, 50.2
Hockley, Clayton Williams, Republican, 55.7
Hood, Clayton Williams, Republican, 51.4
Hopkins, Ann Richards, Democrat, 51.6
Houston, Ann Richards, Democrat, 51.3
Howard, Clayton Williams, Republican, 56.2
Hudspeth, Clayton Williams, Republican, 57.3
Hunt, Clayton Williams, Republican, 50.9
Hutchinson, Clayton Williams, Republican, 55.4
Irion, Clayton Williams, Republican, 57.1
Jack, Clayton Williams, Republican, 49.5
Jackson, Clayton Williams, Republican, 55
Jasper, Ann Richards, Democrat, 56.3
