Alamance, Elizabeth Dole, Republican, 59.2
Alexander, Elizabeth Dole, Republican, 59.5
Alleghany, Elizabeth Dole, Republican, 48.8
Anson, Erskine Bowles, Democrat, 64.9
Ashe, Elizabeth Dole, Republican, 54
Avery, Elizabeth Dole, Republican, 73.5
Beaufort, Elizabeth Dole, Republican, 58.5
Bertie, Erskine Bowles, Democrat, 67.8
Bladen, Erskine Bowles, Democrat, 59.2
Brunswick, Elizabeth Dole, Republican, 53.8
Buncombe, Erskine Bowles, Democrat, 49.4
Burke, Elizabeth Dole, Republican, 55
Cabarrus, Elizabeth Dole, Republican, 63.9
Caldwell, Elizabeth Dole, Republican, 59.3
Camden, Erskine Bowles, Democrat, 49.9
Carteret, Elizabeth Dole, Republican, 61.9
Caswell, Erskine Bowles, Democrat, 53.6
Catawba, Elizabeth Dole, Republican, 64.1
Chatham, Erskine Bowles, Democrat, 51.6
Cherokee, Elizabeth Dole, Republican, 58.5
Chowan, Erskine Bowles, Democrat, 51.2
Clay, Elizabeth Dole, Republican, 61.3
Cleveland, Elizabeth Dole, Republican, 54.4
Columbus, Erskine Bowles, Democrat, 59.6
Craven, Elizabeth Dole, Republican, 58.7
Cumberland, Erskine Bowles, Democrat, 50.6
Currituck, Elizabeth Dole, Republican, 57.8
Dare, Elizabeth Dole, Republican, 55.5
Davidson, Elizabeth Dole, Republican, 61.5
Davie, Elizabeth Dole, Republican, 70.5
Duplin, Erskine Bowles, Democrat, 51
Durham, Erskine Bowles, Democrat, 63.3
Edgecombe, Erskine Bowles, Democrat, 65.1
Forsyth, Elizabeth Dole, Republican, 53.6
Franklin, Elizabeth Dole, Republican, 49.8
Gaston, Elizabeth Dole, Republican, 63.4
Gates, Erskine Bowles, Democrat, 64.8
Graham, Elizabeth Dole, Republican, 53.3
Granville, Erskine Bowles, Democrat, 52.1
Greene, Elizabeth Dole, Republican, 49.8
Guilford, Elizabeth Dole, Republican, 49.8
Halifax, Erskine Bowles, Democrat, 60.9
Harnett, Elizabeth Dole, Republican, 58.6
Haywood, Erskine Bowles, Democrat, 51.3
Henderson, Elizabeth Dole, Republican, 64
Hertford, Erskine Bowles, Democrat, 71.6
Hoke, Erskine Bowles, Democrat, 58.4
Hyde, Erskine Bowles, Democrat, 53.5
Iredell, Elizabeth Dole, Republican, 63.6
Jackson, Erskine Bowles, Democrat, 53.8
Johnston, Elizabeth Dole, Republican, 63.2
Jones, Erskine Bowles, Democrat, 49.2
Lee, Elizabeth Dole, Republican, 55.2
Lenoir, Elizabeth Dole, Republican, 50.3
Lincoln, Elizabeth Dole, Republican, 60.2
McDowell, Elizabeth Dole, Republican, 54.9
Macon, Elizabeth Dole, Republican, 55
Madison, Erskine Bowles, Democrat, 54.1
Martin, Erskine Bowles, Democrat, 57.3
Mecklenburg, Elizabeth Dole, Republican, 50
Mitchell, Elizabeth Dole, Republican, 69.5
Montgomery, Elizabeth Dole, Republican, 49.3
Moore, Elizabeth Dole, Republican, 64.4
Nash, Elizabeth Dole, Republican, 56.3
New Hanover, Elizabeth Dole, Republican, 55.6
Northampton, Erskine Bowles, Democrat, 68.8
Onslow, Elizabeth Dole, Republican, 60.6
Orange, Erskine Bowles, Democrat, 64.3
Pamlico, Elizabeth Dole, Republican, 55.4
Pasquotank, Erskine Bowles, Democrat, 56.4
Pender, Elizabeth Dole, Republican, 51.2
Perquimans, Erskine Bowles, Democrat, 49.8
Person, Elizabeth Dole, Republican, 56.1
Pitt, Elizabeth Dole, Republican, 54.1
Polk, Elizabeth Dole, Republican, 58.4
Randolph, Elizabeth Dole, Republican, 69
Richmond, Erskine Bowles, Democrat, 60.2
Robeson, Erskine Bowles, Democrat, 62.3
Rockingham, Elizabeth Dole, Republican, 52.3
Rowan, Elizabeth Dole, Republican, 63.8
Rutherford, Elizabeth Dole, Republican, 57.7
Sampson, Elizabeth Dole, Republican, 51.7
Scotland, Erskine Bowles, Democrat, 58.5
Stanly, Elizabeth Dole, Republican, 62.5
Stokes, Elizabeth Dole, Republican, 62.1
Surry, Elizabeth Dole, Republican, 58.8
Swain, Erskine Bowles, Democrat, 53.7
Transylvania, Elizabeth Dole, Republican, 56.1
Tyrrell, Erskine Bowles, Democrat, 58.6
Union, Elizabeth Dole, Republican, 65.6
Vance, Erskine Bowles, Democrat, 57.1
Wake, Elizabeth Dole, Republican, 54.3
Warren, Erskine Bowles, Democrat, 66.5
Washington, Erskine Bowles, Democrat, 59.9
Watauga, Elizabeth Dole, Republican, 56.2
Wayne, Elizabeth Dole, Republican, 60.1
Wilkes, Elizabeth Dole, Republican, 61.5
Wilson, Elizabeth Dole, Republican, 51
Yadkin, Elizabeth Dole, Republican, 70.3
Yancey, Erskine Bowles, Democrat, 51.2
