Accomack, John Warner, Republican, 81.4
Albemarle, John Warner, Republican, 79
Alleghany, John Warner, Republican, 79.6
Amelia, John Warner, Republican, 86.9
Amherst, John Warner, Republican, 85.7
Appomattox, John Warner, Republican, 80.1
Arlington, John Warner, Republican, 73.4
Augusta, John Warner, Republican, 80
Bath, John Warner, Republican, 79.7
Bedford, John Warner, Republican, 83.4
Bland, John Warner, Republican, 86.2
Botetourt, John Warner, Republican, 80.8
Brunswick, John Warner, Republican, 80.8
Buchanan, John Warner, Republican, 81.9
Buckingham, John Warner, Republican, 82.9
Campbell, John Warner, Republican, 85
Caroline, John Warner, Republican, 80.7
Carroll, John Warner, Republican, 83.1
Charles City, John Warner, Republican, 80.7
Charlotte, John Warner, Republican, 79.4
Chesterfield, John Warner, Republican, 87
Clarke, John Warner, Republican, 81.2
Craig, John Warner, Republican, 80.4
Culpeper, John Warner, Republican, 82.4
Cumberland, John Warner, Republican, 82.2
Dickenson, John Warner, Republican, 78.9
Dinwiddie, John Warner, Republican, 84.3
Essex, John Warner, Republican, 87.1
Fairfax, John Warner, Republican, 81.7
Fauquier, John Warner, Republican, 85.1
Floyd, John Warner, Republican, 77.6
Fluvanna, John Warner, Republican, 82.6
Franklin, John Warner, Republican, 83.7
Frederick, John Warner, Republican, 85.3
Giles, John Warner, Republican, 82.2
Gloucester, John Warner, Republican, 85
Goochland, John Warner, Republican, 88.1
Grayson, John Warner, Republican, 83.4
Greene, John Warner, Republican, 82.3
Greensville, John Warner, Republican, 78.3
Halifax, John Warner, Republican, 81.2
Hanover, John Warner, Republican, 89.3
Henrico, John Warner, Republican, 85.4
Henry, John Warner, Republican, 81.3
Highland, John Warner, Republican, 80.6
Isle of Wight, John Warner, Republican, 87.4
James City, John Warner, Republican, 86.1
King and Queen, John Warner, Republican, 81.7
King George, John Warner, Republican, 86.2
King William, John Warner, Republican, 88
Lancaster, John Warner, Republican, 89.2
Lee, John Warner, Republican, 81.5
Loudoun, John Warner, Republican, 82.7
Louisa, John Warner, Republican, 81.3
Lunenburg, John Warner, Republican, 84.9
Madison, John Warner, Republican, 79.6
Mathews, John Warner, Republican, 82.2
Mecklenburg, John Warner, Republican, 79.9
Middlesex, John Warner, Republican, 86.9
Montgomery, John Warner, Republican, 79.5
Nelson, John Warner, Republican, 75.2
New Kent, John Warner, Republican, 87.8
Northampton, John Warner, Republican, 83.8
Northumberland, John Warner, Republican, 86.9
Nottoway, John Warner, Republican, 84
Orange, John Warner, Republican, 80.5
Page, John Warner, Republican, 81.1
Patrick, John Warner, Republican, 84.4
Pittsylvania, John Warner, Republican, 82
Powhatan, John Warner, Republican, 88
Prince Edward, John Warner, Republican, 83
Prince George, John Warner, Republican, 86
Prince William, John Warner, Republican, 81.4
Pulaski, John Warner, Republican, 83.5
Rappahannock, John Warner, Republican, 77.1
Richmond, John Warner, Republican, 89
Roanoke, John Warner, Republican, 86.1
Rockbridge, John Warner, Republican, 85.6
Rockingham, John Warner, Republican, 81.2
Russell, John Warner, Republican, 82.6
Scott, John Warner, Republican, 85.8
Shenandoah, John Warner, Republican, 84.7
Smyth, John Warner, Republican, 83.4
Southampton, John Warner, Republican, 84.3
Spotsylvania, John Warner, Republican, 84.8
Stafford, John Warner, Republican, 84.3
Surry, John Warner, Republican, 83.2
Sussex, John Warner, Republican, 81.3
Tazewell, John Warner, Republican, 83.9
Warren, John Warner, Republican, 83.2
Washington, John Warner, Republican, 86.9
Westmoreland, John Warner, Republican, 82.4
Wise, John Warner, Republican, 86.8
Wythe, John Warner, Republican, 86.5
York, John Warner, Republican, 86.8
Alexandria City, John Warner, Republican, 75.6
Bedford City, John Warner, Republican, 81.5
Bristol City, John Warner, Republican, 83.9
Buena Vista City, John Warner, Republican, 88.3
Charlottesville City, John Warner, Republican, 64.3
Chesapeake City, John Warner, Republican, 84.6
Colonial Heights City, John Warner, Republican, 91.1
Covington City, John Warner, Republican, 78
Danville City, John Warner, Republican, 84.3
Emporia City, John Warner, Republican, 85.5
Fairfax City, John Warner, Republican, 81.2
Falls Church City, John Warner, Republican, 77.2
Franklin City, John Warner, Republican, 85.9
Fredericksburg City, John Warner, Republican, 79.9
Galax City, John Warner, Republican, 86.8
Hampton City, John Warner, Republican, 81
Harrisonburg City, John Warner, Republican, 78.1
Hopewell City, John Warner, Republican, 80.7
Lexington City, John Warner, Republican, 80.9
Lynchburg City, John Warner, Republican, 83.7
Manassas City, John Warner, Republican, 83.4
Manassas Park City, John Warner, Republican, 78.2
Martinsville City, John Warner, Republican, 83.9
Newport News City, John Warner, Republican, 83.7
Norfolk City, John Warner, Republican, 80.1
Norton City, John Warner, Republican, 83.6
Petersburg City, John Warner, Republican, 77.1
Poquoson City, John Warner, Republican, 89.6
Portsmouth City, John Warner, Republican, 81.8
Radford City, John Warner, Republican, 81
Richmond City, John Warner, Republican, 77.9
Roanoke City, John Warner, Republican, 79.7
Salem City, John Warner, Republican, 85.1
Staunton City, John Warner, Republican, 81.6
Suffolk City, John Warner, Republican, 86.1
Virginia Beach City, John Warner, Republican, 84.4
Waynesboro City, John Warner, Republican, 83.3
Williamsburg City, John Warner, Republican, 80.8
Winchester City, John Warner, Republican, 84.8
