Appling, Saxby Chambliss, Republican, 61.4
Atkinson, Saxby Chambliss, Republican, 62.3
Bacon, Saxby Chambliss, Republican, 62
Baker, Max Cleland, Democrat, 59.8
Baldwin, Max Cleland, Democrat, 51.6
Banks, Saxby Chambliss, Republican, 62.8
Barrow, Saxby Chambliss, Republican, 64.8
Bartow, Saxby Chambliss, Republican, 60.7
Ben Hill, Max Cleland, Democrat, 50.1
Berrien, Saxby Chambliss, Republican, 54.8
Bibb, Max Cleland, Democrat, 51.1
Bleckley, Saxby Chambliss, Republican, 64.5
Brantley, Saxby Chambliss, Republican, 63.3
Brooks, Max Cleland, Democrat, 51
Bryan, Saxby Chambliss, Republican, 63.5
Bulloch, Saxby Chambliss, Republican, 57.1
Burke, Max Cleland, Democrat, 53.3
Butts, Saxby Chambliss, Republican, 56.7
Calhoun, Max Cleland, Democrat, 62.6
Camden, Saxby Chambliss, Republican, 54.6
Candler, Saxby Chambliss, Republican, 52.9
Carroll, Saxby Chambliss, Republican, 59.8
Catoosa, Saxby Chambliss, Republican, 61.4
Charlton, Saxby Chambliss, Republican, 64.3
Chatham, Max Cleland, Democrat, 52
Chattahoochee, Max Cleland, Democrat, 55.7
Chattooga, Saxby Chambliss, Republican, 50.5
Cherokee, Saxby Chambliss, Republican, 72.4
Clarke, Max Cleland, Democrat, 58.7
Clay, Max Cleland, Democrat, 68.3
Clayton, Max Cleland, Democrat, 69.8
Clinch, Saxby Chambliss, Republican, 58.4
Cobb, Saxby Chambliss, Republican, 59.5
Coffee, Saxby Chambliss, Republican, 59.3
Colquitt, Saxby Chambliss, Republican, 63.8
Columbia, Saxby Chambliss, Republican, 70
Cook, Saxby Chambliss, Republican, 51.8
Coweta, Saxby Chambliss, Republican, 66.5
Crawford, Saxby Chambliss, Republican, 58.2
Crisp, Saxby Chambliss, Republican, 55.2
Dade, Saxby Chambliss, Republican, 59.9
Dawson, Saxby Chambliss, Republican, 71.1
Decatur, Max Cleland, Democrat, 50.6
DeKalb, Max Cleland, Democrat, 72.4
Dodge, Saxby Chambliss, Republican, 59.3
Dooly, Max Cleland, Democrat, 51
Dougherty, Max Cleland, Democrat, 61
Douglas, Saxby Chambliss, Republican, 58.4
Early, Max Cleland, Democrat, 52.8
Echols, Saxby Chambliss, Republican, 56.5
Effingham, Saxby Chambliss, Republican, 63.7
Elbert, Max Cleland, Democrat, 52.2
Emanuel, Saxby Chambliss, Republican, 52.4
Evans, Saxby Chambliss, Republican, 51.4
Fannin, Saxby Chambliss, Republican, 59.9
Fayette, Saxby Chambliss, Republican, 65.3
Floyd, Saxby Chambliss, Republican, 54.9
Forsyth, Saxby Chambliss, Republican, 77.2
Franklin, Saxby Chambliss, Republican, 52.1
Fulton, Max Cleland, Democrat, 58.4
Gilmer, Saxby Chambliss, Republican, 64.2
Glascock, Saxby Chambliss, Republican, 64.4
Glynn, Saxby Chambliss, Republican, 62.3
Gordon, Saxby Chambliss, Republican, 59.6
Grady, Max Cleland, Democrat, 55.9
Greene, Saxby Chambliss, Republican, 55.8
Gwinnett, Saxby Chambliss, Republican, 64
Habersham, Saxby Chambliss, Republican, 65.3
Hall, Saxby Chambliss, Republican, 69.4
Hancock, Max Cleland, Democrat, 76.9
Haralson, Saxby Chambliss, Republican, 56.4
Harris, Saxby Chambliss, Republican, 59.1
Hart, Max Cleland, Democrat, 52.7
Heard, Saxby Chambliss, Republican, 51.5
Henry, Saxby Chambliss, Republican, 62.4
Houston, Saxby Chambliss, Republican, 63.2
Irwin, Saxby Chambliss, Republican, 54.2
Jackson, Saxby Chambliss, Republican, 66.2
Jasper, Saxby Chambliss, Republican, 57
Jeff Davis, Saxby Chambliss, Republican, 62
Jefferson, Max Cleland, Democrat, 58.1
