Anderson, Lamar Alexander, Republican, 55.2
Bedford, Bob Clement, Democrat, 49.3
Benton, Bob Clement, Democrat, 62.3
Bledsoe, Lamar Alexander, Republican, 53.9
Blount, Lamar Alexander, Republican, 63.9
Bradley, Lamar Alexander, Republican, 69.7
Campbell, Bob Clement, Democrat, 50.1
Cannon, Bob Clement, Democrat, 56.8
Carroll, Lamar Alexander, Republican, 49.1
Carter, Lamar Alexander, Republican, 68.7
Cheatham, Lamar Alexander, Republican, 51.4
Chester, Lamar Alexander, Republican, 57.5
Claiborne, Lamar Alexander, Republican, 53.4
Clay, Bob Clement, Democrat, 54.9
Cocke, Lamar Alexander, Republican, 58.1
Coffee, Lamar Alexander, Republican, 50.1
Crockett, Bob Clement, Democrat, 50.3
Cumberland, Lamar Alexander, Republican, 58.8
Davidson, Bob Clement, Democrat, 56.2
Decatur, Bob Clement, Democrat, 54.5
DeKalb, Bob Clement, Democrat, 58.3
Dickson, Bob Clement, Democrat, 56.2
Dyer, Lamar Alexander, Republican, 53.2
Fayette, Lamar Alexander, Republican, 60.7
Fentress, Lamar Alexander, Republican, 54.6
Franklin, Bob Clement, Democrat, 51.3
Gibson, Lamar Alexander, Republican, 50.2
Giles, Bob Clement, Democrat, 51.3
Grainger, Lamar Alexander, Republican, 58.6
Greene, Lamar Alexander, Republican, 65.6
Grundy, Bob Clement, Democrat, 65.9
Hamblen, Lamar Alexander, Republican, 61.6
Hamilton, Lamar Alexander, Republican, 60.6
Hancock, Lamar Alexander, Republican, 62.7
Hardeman, Bob Clement, Democrat, 51
Hardin, Lamar Alexander, Republican, 52.5
Hawkins, Lamar Alexander, Republican, 62.6
Haywood, Bob Clement, Democrat, 55.6
Henderson, Lamar Alexander, Republican, 57.7
Henry, Bob Clement, Democrat, 55.2
Hickman, Bob Clement, Democrat, 59.5
Houston, Bob Clement, Democrat, 69.1
Humphreys, Bob Clement, Democrat, 64.5
Jackson, Bob Clement, Democrat, 65.5
Jefferson, Lamar Alexander, Republican, 61.7
Johnson, Lamar Alexander, Republican, 70.3
Knox, Lamar Alexander, Republican, 61.8
Lake, Bob Clement, Democrat, 59
Lauderdale, Bob Clement, Democrat, 53.2
Lawrence, Lamar Alexander, Republican, 53.5
Lewis, Bob Clement, Democrat, 53.4
Lincoln, Lamar Alexander, Republican, 52.2
Loudon, Lamar Alexander, Republican, 66.1
McMinn, Lamar Alexander, Republican, 61.5
McNairy, Lamar Alexander, Republican, 52
Macon, Bob Clement, Democrat, 49.3
Madison, Lamar Alexander, Republican, 56.1
Marion, Bob Clement, Democrat, 53.2
Marshall, Bob Clement, Democrat, 53.2
Maury, Lamar Alexander, Republican, 49.8
Meigs, Lamar Alexander, Republican, 54.9
Monroe, Lamar Alexander, Republican, 58.8
Montgomery, Lamar Alexander, Republican, 49.6
Moore, Lamar Alexander, Republican, 50.7
Morgan, Bob Clement, Democrat, 51.9
Obion, Bob Clement, Democrat, 52.6
Overton, Bob Clement, Democrat, 62.4
Perry, Bob Clement, Democrat, 58.1
Pickett, Lamar Alexander, Republican, 57.2
Polk, Lamar Alexander, Republican, 49.7
Putnam, Lamar Alexander, Republican, 50.4
Rhea, Lamar Alexander, Republican, 65.9
Roane, Lamar Alexander, Republican, 55.7
Robertson, Bob Clement, Democrat, 52.8
Rutherford, Lamar Alexander, Republican, 56.7
Scott, Lamar Alexander, Republican, 51.3
Sequatchie, Bob Clement, Democrat, 50.2
Sevier, Lamar Alexander, Republican, 68.3
Shelby, Lamar Alexander, Republican, 49.5
Smith, Bob Clement, Democrat, 61.7
Stewart, Bob Clement, Democrat, 63.5
Sullivan, Lamar Alexander, Republican, 67.7
Sumner, Lamar Alexander, Republican, 56.6
Tipton, Lamar Alexander, Republican, 64.1
Trousdale, Bob Clement, Democrat, 64.2
Unicoi, Lamar Alexander, Republican, 69.1
Union, Lamar Alexander, Republican, 54.3
Van Buren, Bob Clement, Democrat, 60.4
Warren, Bob Clement, Democrat, 54.1
Washington, Lamar Alexander, Republican, 67.9
Wayne, Lamar Alexander, Republican, 61.2
Weakley, Bob Clement, Democrat, 50.4
White, Bob Clement, Democrat, 52.2
Williamson, Lamar Alexander, Republican, 70.2
Wilson, Lamar Alexander, Republican, 56.3
