Appling, Nathan Deal, Republican, 68.8
Atkinson, Nathan Deal, Republican, 63.5
Bacon, Nathan Deal, Republican, 69.8
Baker, Roy Barnes, Democrat, 54.3
Baldwin, Roy Barnes, Democrat, 50.8
Banks, Nathan Deal, Republican, 83.7
Barrow, Nathan Deal, Republican, 74
Bartow, Nathan Deal, Republican, 71.2
Ben Hill, Nathan Deal, Republican, 51.7
Berrien, Nathan Deal, Republican, 67
Bibb, Roy Barnes, Democrat, 56.7
Bleckley, Nathan Deal, Republican, 66.3
Brantley, Nathan Deal, Republican, 76.1
Brooks, Roy Barnes, Democrat, 50.7
Bryan, Nathan Deal, Republican, 69.2
Bulloch, Nathan Deal, Republican, 61.7
Burke, Roy Barnes, Democrat, 53.2
Butts, Nathan Deal, Republican, 64.3
Calhoun, Roy Barnes, Democrat, 62.2
Camden, Nathan Deal, Republican, 63.4
Candler, Nathan Deal, Republican, 64
Carroll, Nathan Deal, Republican, 66.9
Catoosa, Nathan Deal, Republican, 74.9
Charlton, Nathan Deal, Republican, 63.6
Chatham, Roy Barnes, Democrat, 50.3
Chattahoochee, Roy Barnes, Democrat, 49.4
Chattooga, Nathan Deal, Republican, 61.2
Cherokee, Nathan Deal, Republican, 76
Clarke, Roy Barnes, Democrat, 59.5
Clay, Roy Barnes, Democrat, 58.6
Clayton, Roy Barnes, Democrat, 79.6
Clinch, Roy Barnes, Democrat, 56.6
Cobb, Nathan Deal, Republican, 55.1
Coffee, Nathan Deal, Republican, 63.8
Colquitt, Nathan Deal, Republican, 65.1
Columbia, Nathan Deal, Republican, 71.5
Cook, Nathan Deal, Republican, 59.6
Coweta, Nathan Deal, Republican, 70.7
Crawford, Nathan Deal, Republican, 59.3
Crisp, Nathan Deal, Republican, 58.6
Dade, Nathan Deal, Republican, 72.5
Dawson, Nathan Deal, Republican, 83.7
Decatur, Nathan Deal, Republican, 52.6
DeKalb, Roy Barnes, Democrat, 74.5
Dodge, Nathan Deal, Republican, 59.3
Dooly, Roy Barnes, Democrat, 54.9
Dougherty, Roy Barnes, Democrat, 65.7
Douglas, Nathan Deal, Republican, 49.1
Early, Roy Barnes, Democrat, 51.9
Echols, Nathan Deal, Republican, 65.6
Effingham, Nathan Deal, Republican, 71.8
Elbert, Nathan Deal, Republican, 56.9
Emanuel, Nathan Deal, Republican, 57.9
Evans, Nathan Deal, Republican, 60.2
Fannin, Nathan Deal, Republican, 72.6
Fayette, Nathan Deal, Republican, 64.6
Floyd, Nathan Deal, Republican, 65.4
Forsyth, Nathan Deal, Republican, 81.2
Franklin, Nathan Deal, Republican, 74.9
Fulton, Roy Barnes, Democrat, 60.8
Gilmer, Nathan Deal, Republican, 76.4
Glascock, Nathan Deal, Republican, 76
Glynn, Nathan Deal, Republican, 63.5
Gordon, Nathan Deal, Republican, 74
Grady, Nathan Deal, Republican, 53.6
Greene, Nathan Deal, Republican, 61.8
Gwinnett, Nathan Deal, Republican, 57.5
Habersham, Nathan Deal, Republican, 80.1
Hall, Nathan Deal, Republican, 80.2
Hancock, Roy Barnes, Democrat, 78
Haralson, Nathan Deal, Republican, 73.6
Harris, Nathan Deal, Republican, 68.1
Hart, Nathan Deal, Republican, 63.2
Heard, Nathan Deal, Republican, 68.7
Henry, Nathan Deal, Republican, 52.4
Houston, Nathan Deal, Republican, 57.5
Irwin, Nathan Deal, Republican, 56.7
Jackson, Nathan Deal, Republican, 79.2
Jasper, Nathan Deal, Republican, 65.7
Jeff Davis, Nathan Deal, Republican, 67.9
Jefferson, Roy Barnes, Democrat, 55.4
Jenkins, Nathan Deal, Republican, 53.9
Johnson, Nathan Deal, Republican, 65.8
Jones, Nathan Deal, Republican, 57.2
Lamar, Nathan Deal, Republican, 62.7
Lanier, Nathan Deal, Republican, 51.3
Laurens, Nathan Deal, Republican, 59.5
Lee, Nathan Deal, Republican, 71
Liberty, Roy Barnes, Democrat, 60.5
Lincoln, Nathan Deal, Republican, 59.3
Long, Nathan Deal, Republican, 58.7
Lowndes, Nathan Deal, Republican, 54.2
Lumpkin, Nathan Deal, Republican, 75
