Appling, Brian Kemp, Republican, 82.83
Atkinson, Brian Kemp, Republican, 78.67
Bacon, Brian Kemp, Republican, 89.01
Baker, Brian Kemp, Republican, 60.02
Baldwin, Brian Kemp, Republican, 53.24
Banks, Brian Kemp, Republican, 90.79
Barrow, Brian Kemp, Republican, 74.19
Bartow, Brian Kemp, Republican, 78.83
Ben Hill, Brian Kemp, Republican, 66.67
Berrien, Brian Kemp, Republican, 86.54
Bibb, Stacey Abrams, Democrat, 58.14
Bleckley, Brian Kemp, Republican, 80.87
Brantley, Brian Kemp, Republican, 92.44
Brooks, Brian Kemp, Republican, 64.59
Bryan, Brian Kemp, Republican, 71.67
Bulloch, Brian Kemp, Republican, 68.11
Burke, Brian Kemp, Republican, 55.33
Butts, Brian Kemp, Republican, 74.5
Calhoun, Stacey Abrams, Democrat, 53.59
Camden, Brian Kemp, Republican, 69.62
Candler, Brian Kemp, Republican, 74.85
Carroll, Brian Kemp, Republican, 73.4
Catoosa, Brian Kemp, Republican, 81.66
Charlton, Brian Kemp, Republican, 77.94
Chatham, Stacey Abrams, Democrat, 55.47
Chattahoochee, Brian Kemp, Republican, 57.16
Chattooga, Brian Kemp, Republican, 83.91
Cherokee, Brian Kemp, Republican, 74.2
Clarke, Stacey Abrams, Democrat, 66.73
Clay, Brian Kemp, Republican, 50.62
Clayton, Stacey Abrams, Democrat, 86.05
Clinch, Brian Kemp, Republican, 78.9
Cobb, Stacey Abrams, Democrat, 51.85
Coffee, Brian Kemp, Republican, 74.07
Colquitt, Brian Kemp, Republican, 78.27
Columbia, Brian Kemp, Republican, 67.27
Cook, Brian Kemp, Republican, 74.46
Coweta, Brian Kemp, Republican, 71.2
Crawford, Brian Kemp, Republican, 75.14
Crisp, Brian Kemp, Republican, 67.95
Dade, Brian Kemp, Republican, 85.03
Dawson, Brian Kemp, Republican, 85.92
Decatur, Brian Kemp, Republican, 63.71
DeKalb, Stacey Abrams, Democrat, 81.11
Dodge, Brian Kemp, Republican, 76.73
Dooly, Brian Kemp, Republican, 56.6
Dougherty, Stacey Abrams, Democrat, 67.73
Douglas, Stacey Abrams, Democrat, 62.08
Early, Brian Kemp, Republican, 59.39
