Arkansas, Dwight D Eisenhower, Republican, 50.34
Ashley, Adlai Stevenson, Democrat, 73.4
Baxter, Adlai Stevenson, Democrat, 49.7
Benton, Dwight D Eisenhower, Republican, 68.83
Boone, Dwight D Eisenhower, Republican, 54.61
Bradley, Adlai Stevenson, Democrat, 73.31
Calhoun, Adlai Stevenson, Democrat, 82.89
Carroll, Dwight D Eisenhower, Republican, 64.63
Chicot, Adlai Stevenson, Democrat, 67.1
Clark, Adlai Stevenson, Democrat, 63.76
Clay, Adlai Stevenson, Democrat, 51.66
Cleburne, Adlai Stevenson, Democrat, 53.02
Cleveland, Adlai Stevenson, Democrat, 72.22
Columbia, Adlai Stevenson, Democrat, 63.39
Conway, Adlai Stevenson, Democrat, 59.7
Craighead, Adlai Stevenson, Democrat, 58.57
Crawford, Dwight D Eisenhower, Republican, 52.8
Crittenden, Adlai Stevenson, Democrat, 61.31
Cross, Adlai Stevenson, Democrat, 61.41
Dallas, Adlai Stevenson, Democrat, 74.8
Desha, Adlai Stevenson, Democrat, 75.14
Drew, Adlai Stevenson, Democrat, 68.39
Faulkner, Adlai Stevenson, Democrat, 63.27
Franklin, Adlai Stevenson, Democrat, 59.09
Fulton, Adlai Stevenson, Democrat, 54.08
Garland, Dwight D Eisenhower, Republican, 60.07
Grant, Adlai Stevenson, Democrat, 69.65
Greene, Adlai Stevenson, Democrat, 65.43
Hempstead, Adlai Stevenson, Democrat, 56.7
Hot Spring, Adlai Stevenson, Democrat, 65.17
Howard, Adlai Stevenson, Democrat, 61.07
Independence, Dwight D Eisenhower, Republican, 49.95
Izard, Adlai Stevenson, Democrat, 63.27
Jackson, Adlai Stevenson, Democrat, 74.38
Jefferson, Adlai Stevenson, Democrat, 58.24
Johnson, Adlai Stevenson, Democrat, 53.68
Lafayette, Adlai Stevenson, Democrat, 68.61
Lawrence, Adlai Stevenson, Democrat, 57.39
Lee, Adlai Stevenson, Democrat, 64.36
Lincoln, Adlai Stevenson, Democrat, 75.69
Little River, Adlai Stevenson, Democrat, 65.94
Logan, Adlai Stevenson, Democrat, 54.75
Lonoke, Adlai Stevenson, Democrat, 69.04
Madison, Dwight D Eisenhower, Republican, 57.51
Marion, Adlai Stevenson, Democrat, 56.07
Miller, Adlai Stevenson, Democrat, 62.72
Mississippi, Adlai Stevenson, Democrat, 60.24
Monroe, Adlai Stevenson, Democrat, 65.95
Montgomery, Dwight D Eisenhower, Republican, 50.25
Nevada, Adlai Stevenson, Democrat, 65.43
Newton, Dwight D Eisenhower, Republican, 60.89
Ouachita, Adlai Stevenson, Democrat, 72.96
Perry, Adlai Stevenson, Democrat, 61.22
Phillips, Adlai Stevenson, Democrat, 59.01
Pike, Adlai Stevenson, Democrat, 60.01
Poinsett, Adlai Stevenson, Democrat, 68.07
Polk, Dwight D Eisenhower, Republican, 55.91
Pope, Adlai Stevenson, Democrat, 57.65
Prairie, Adlai Stevenson, Democrat, 65.49
Pulaski, Adlai Stevenson, Democrat, 50.63
Randolph, Adlai Stevenson, Democrat, 59.65
St. Francis, Adlai Stevenson, Democrat, 57.9
Saline, Adlai Stevenson, Democrat, 68.99
Scott, Adlai Stevenson, Democrat, 56.97
Searcy, Dwight D Eisenhower, Republican, 66.44
Sebastian, Dwight D Eisenhower, Republican, 56.36
Sevier, Adlai Stevenson, Democrat, 59.64
Sharp, Adlai Stevenson, Democrat, 61.23
Stone, Dwight D Eisenhower, Republican, 54.95
Union, Adlai Stevenson, Democrat, 58.67
Van Buren, Adlai Stevenson, Democrat, 50.26
Washington, Dwight D Eisenhower, Republican, 63.55
White, Adlai Stevenson, Democrat, 59.11
Woodruff, Adlai Stevenson, Democrat, 71.05
Yell, Adlai Stevenson, Democrat, 59.92
