Abbeville, Adlai Stevenson, Democrat, 74.11
Aiken, Adlai Stevenson, Democrat, 50.37
Allendale, Dwight D Eisenhower, Republican, 63.06
Anderson, Adlai Stevenson, Democrat, 77.75
Bamberg, Dwight D Eisenhower, Republican, 65.23
Barnwell, Adlai Stevenson, Democrat, 70.86
Beaufort, Dwight D Eisenhower, Republican, 59.11
Berkeley, Dwight D Eisenhower, Republican, 59.24
Calhoun, Dwight D Eisenhower, Republican, 74.25
Charleston, Dwight D Eisenhower, Republican, 66.85
Cherokee, Adlai Stevenson, Democrat, 78.39
Chester, Adlai Stevenson, Democrat, 50.59
Chesterfield, Adlai Stevenson, Democrat, 72.44
Clarendon, Dwight D Eisenhower, Republican, 68.51
Colleton, Dwight D Eisenhower, Republican, 59.16
Darlington, Adlai Stevenson, Democrat, 62.28
Dillon, Adlai Stevenson, Democrat, 51.72
Dorchester, Dwight D Eisenhower, Republican, 73.13
Edgefield, Dwight D Eisenhower, Republican, 68.86
Fairfield, Dwight D Eisenhower, Republican, 50.27
Florence, Adlai Stevenson, Democrat, 50.49
Georgetown, Dwight D Eisenhower, Republican, 63.07
Greenville, Dwight D Eisenhower, Republican, 54.42
Greenwood, Adlai Stevenson, Democrat, 52.93
Hampton, Dwight D Eisenhower, Republican, 67.48
Horry, Adlai Stevenson, Democrat, 54.71
Jasper, Dwight D Eisenhower, Republican, 55.71
Kershaw, Dwight D Eisenhower, Republican, 58.85
Lancaster, Adlai Stevenson, Democrat, 61.83
Laurens, Adlai Stevenson, Democrat, 52.09
Lee, Dwight D Eisenhower, Republican, 64.29
Lexington, Dwight D Eisenhower, Republican, 53.35
Marion, Dwight D Eisenhower, Republican, 58.96
Marlboro, Adlai Stevenson, Democrat, 52.44
McCormick, Adlai Stevenson, Democrat, 51.91
Newberry, Dwight D Eisenhower, Republican, 54.69
Oconee, Adlai Stevenson, Democrat, 66.54
Orangeburg, Dwight D Eisenhower, Republican, 62.4
Pickens, Dwight D Eisenhower, Republican, 51.94
Richland, Dwight D Eisenhower, Republican, 64.17
Saluda, Adlai Stevenson, Democrat, 53.28
Spartanburg, Adlai Stevenson, Democrat, 68.58
Sumter, Dwight D Eisenhower, Republican, 70.12
Union, Adlai Stevenson, Democrat, 73.87
Williamsburg, Dwight D Eisenhower, Republican, 66.12
York, Adlai Stevenson, Democrat, 58.66
