Adair, Dwight D Eisenhower, Republican, 63.05
Allen, Dwight D Eisenhower, Republican, 62.45
Anderson, Adlai Stevenson, Democrat, 59.69
Ballard, Adlai Stevenson, Democrat, 77.25
Barren, Adlai Stevenson, Democrat, 55.21
Bath, Adlai Stevenson, Democrat, 57.94
Bell, Dwight D Eisenhower, Republican, 54.94
Boone, Adlai Stevenson, Democrat, 52.97
Bourbon, Adlai Stevenson, Democrat, 59.95
Boyd, Dwight D Eisenhower, Republican, 50.32
Boyle, Adlai Stevenson, Democrat, 55.76
Bracken, Adlai Stevenson, Democrat, 50.9
Breathitt, Adlai Stevenson, Democrat, 71.01
Breckinridge, Dwight D Eisenhower, Republican, 51.98
Bullitt, Adlai Stevenson, Democrat, 62.05
Butler, Dwight D Eisenhower, Republican, 71.93
Caldwell, Dwight D Eisenhower, Republican, 53.91
Calloway, Adlai Stevenson, Democrat, 74.69
Campbell, Dwight D Eisenhower, Republican, 57.64
Carlisle, Adlai Stevenson, Democrat, 73.97
Carroll, Adlai Stevenson, Democrat, 71.72
Carter, Dwight D Eisenhower, Republican, 58.12
Casey, Dwight D Eisenhower, Republican, 71.39
Christian, Adlai Stevenson, Democrat, 58.15
Clark, Adlai Stevenson, Democrat, 58.27
Clay, Dwight D Eisenhower, Republican, 75.05
Clinton, Dwight D Eisenhower, Republican, 80.54
Crittenden, Dwight D Eisenhower, Republican, 63.13
Cumberland, Dwight D Eisenhower, Republican, 72.44
Daviess, Dwight D Eisenhower, Republican, 58.09
Edmonson, Dwight D Eisenhower, Republican, 69.63
Elliott, Adlai Stevenson, Democrat, 76.73
Estill, Dwight D Eisenhower, Republican, 57.8
Fayette, Dwight D Eisenhower, Republican, 54.66
Fleming, Dwight D Eisenhower, Republican, 51.33
Floyd, Adlai Stevenson, Democrat, 67.78
Franklin, Adlai Stevenson, Democrat, 70.2
Fulton, Adlai Stevenson, Democrat, 67.81
Gallatin, Adlai Stevenson, Democrat, 74.72
Garrard, Dwight D Eisenhower, Republican, 55.37
Grant, Adlai Stevenson, Democrat, 61.16
Graves, Adlai Stevenson, Democrat, 76.55
Grayson, Dwight D Eisenhower, Republican, 63.05
Green, Dwight D Eisenhower, Republican, 59.75
Greenup, Adlai Stevenson, Democrat, 51.95
Hancock, Dwight D Eisenhower, Republican, 53.11
Hardin, Adlai Stevenson, Democrat, 53.74
Harlan, Adlai Stevenson, Democrat, 57.85
Harrison, Adlai Stevenson, Democrat, 64.26
Hart, Adlai Stevenson, Democrat, 50.01
Henderson, Adlai Stevenson, Democrat, 54.28
Henry, Adlai Stevenson, Democrat, 68.51
Hickman, Adlai Stevenson, Democrat, 69.39
Hopkins, Adlai Stevenson, Democrat, 62.4
Jackson, Dwight D Eisenhower, Republican, 86.75
Jefferson, Dwight D Eisenhower, Republican, 54.6
Jessamine, Adlai Stevenson, Democrat, 53.8
Johnson, Dwight D Eisenhower, Republican, 66.18
Kenton, Adlai Stevenson, Democrat, 50.26
Knott, Adlai Stevenson, Democrat, 79.49
Knox, Dwight D Eisenhower, Republican, 66.28
Larue, Adlai Stevenson, Democrat, 55.96
Laurel, Dwight D Eisenhower, Republican, 71.74
Lawrence, Dwight D Eisenhower, Republican, 50.85
Lee, Dwight D Eisenhower, Republican, 58.7
Leslie, Dwight D Eisenhower, Republican, 81.81
Letcher, Adlai Stevenson, Democrat, 52.08
Lewis, Dwight D Eisenhower, Republican, 67.86
Lincoln, Dwight D Eisenhower, Republican, 52.11
Livingston, Adlai Stevenson, Democrat, 58.49
Logan, Adlai Stevenson, Democrat, 63.94
Lyon, Adlai Stevenson, Democrat, 65.06
Madison, Adlai Stevenson, Democrat, 49.94
Magoffin, Adlai Stevenson, Democrat, 51.66
Marion, Adlai Stevenson, Democrat, 58.19
Marshall, Adlai Stevenson, Democrat, 69.82
Martin, Dwight D Eisenhower, Republican, 69.23
Mason, Adlai Stevenson, Democrat, 50
McCracken, Adlai Stevenson, Democrat, 66.95
McCreary, Dwight D Eisenhower, Republican, 77.98
McLean, Adlai Stevenson, Democrat, 52.11
Meade, Adlai Stevenson, Democrat, 61.63
Menifee, Adlai Stevenson, Democrat, 65.43
Mercer, Adlai Stevenson, Democrat, 51.58
Metcalfe, Dwight D Eisenhower, Republican, 53.9
Monroe, Dwight D Eisenhower, Republican, 77.22
Montgomery, Adlai Stevenson, Democrat, 57.08
Morgan, Adlai Stevenson, Democrat, 70.62
Muhlenberg, Adlai Stevenson, Democrat, 51.34
Nelson, Adlai Stevenson, Democrat, 52.62
Nicholas, Adlai Stevenson, Democrat, 61.06
Ohio, Dwight D Eisenhower, Republican, 62
Oldham, Adlai Stevenson, Democrat, 49.91
Owen, Adlai Stevenson, Democrat, 79.35
Owsley, Dwight D Eisenhower, Republican, 81.86
Pendleton, Adlai Stevenson, Democrat, 51.21
Perry, Adlai Stevenson, Democrat, 51.46
Pike, Adlai Stevenson, Democrat, 56.5
Powell, Adlai Stevenson, Democrat, 55.04
Pulaski, Dwight D Eisenhower, Republican, 70.41
Robertson, Adlai Stevenson, Democrat, 57
Rockcastle, Dwight D Eisenhower, Republican, 72.35
Rowan, Adlai Stevenson, Democrat, 52.66
Russell, Dwight D Eisenhower, Republican, 71.14
Scott, Adlai Stevenson, Democrat, 60.27
Shelby, Adlai Stevenson, Democrat, 62.12
Simpson, Adlai Stevenson, Democrat, 67.43
Spencer, Adlai Stevenson, Democrat, 63.93
Taylor, Dwight D Eisenhower, Republican, 55.9
Todd, Adlai Stevenson, Democrat, 67.82
Trigg, Adlai Stevenson, Democrat, 69.4
Trimble, Adlai Stevenson, Democrat, 82.81
Union, Adlai Stevenson, Democrat, 63.54
Warren, Dwight D Eisenhower, Republican, 50.44
Washington, Dwight D Eisenhower, Republican, 51.87
Wayne, Dwight D Eisenhower, Republican, 57.94
Webster, Adlai Stevenson, Democrat, 65.28
Whitley, Dwight D Eisenhower, Republican, 70.22
Wolfe, Adlai Stevenson, Democrat, 63.94
Woodford, Adlai Stevenson, Democrat, 55.6
