Allen, Roger Marshall, Republican, 65.7
Anderson, Roger Marshall, Republican, 70.4
Atchison, Roger Marshall, Republican, 60
Barber, Roger Marshall, Republican, 80.9
Barton, Roger Marshall, Republican, 73.6
Bourbon, Roger Marshall, Republican, 69.6
Brown, Roger Marshall, Republican, 67.1
Butler, Roger Marshall, Republican, 65.7
Chase, Roger Marshall, Republican, 68.9
Chautauqua, Roger Marshall, Republican, 82.9
Cherokee, Roger Marshall, Republican, 68.6
Cheyenne, Roger Marshall, Republican, 79.2
Clark, Roger Marshall, Republican, 78.8
Clay, Roger Marshall, Republican, 71.9
Cloud, Roger Marshall, Republican, 71.6
Coffey, Roger Marshall, Republican, 71.2
Comanche, Roger Marshall, Republican, 77.9
Cowley, Roger Marshall, Republican, 62.2
Crawford, Roger Marshall, Republican, 54.9
Decatur, Roger Marshall, Republican, 79.2
Dickinson, Roger Marshall, Republican, 70.6
Doniphan, Roger Marshall, Republican, 75.8
Douglas, Barbara Bollier, Democrat, 67.7
Edwards, Roger Marshall, Republican, 76.8
Elk, Roger Marshall, Republican, 77.3
Ellis, Roger Marshall, Republican, 67.5
Ellsworth, Roger Marshall, Republican, 69.9
Finney, Roger Marshall, Republican, 58.2
Ford, Roger Marshall, Republican, 61.3
Franklin, Roger Marshall, Republican, 63.1
Geary, Roger Marshall, Republican, 51.2
Gove, Roger Marshall, Republican, 82.2
Graham, Roger Marshall, Republican, 76.3
Grant, Roger Marshall, Republican, 72.8
Gray, Roger Marshall, Republican, 79.4
Greeley, Roger Marshall, Republican, 80.4
Greenwood, Roger Marshall, Republican, 72.3
Hamilton, Roger Marshall, Republican, 76.9
Harper, Roger Marshall, Republican, 74.6
Harvey, Roger Marshall, Republican, 55.3
Haskell, Roger Marshall, Republican, 74.7
Hodgeman, Roger Marshall, Republican, 79.4
Jackson, Roger Marshall, Republican, 62.9
Jefferson, Roger Marshall, Republican, 60.3
Jewell, Roger Marshall, Republican, 81.2
Johnson, Barbara Bollier, Democrat, 51.6
Kearny, Roger Marshall, Republican, 77
Kingman, Roger Marshall, Republican, 73.6
Kiowa, Roger Marshall, Republican, 80.6
Labette, Roger Marshall, Republican, 62
Lane, Roger Marshall, Republican, 79.4
Leavenworth, Roger Marshall, Republican, 55.2
Lincoln, Roger Marshall, Republican, 76.9
Linn, Roger Marshall, Republican, 73.4
Logan, Roger Marshall, Republican, 80.3
Lyon, Roger Marshall, Republican, 49.9
McPherson, Roger Marshall, Republican, 65.4
Marion, Roger Marshall, Republican, 69.6
Marshall, Roger Marshall, Republican, 67.9
Meade, Roger Marshall, Republican, 79.4
Miami, Roger Marshall, Republican, 65
Mitchell, Roger Marshall, Republican, 77.4
Montgomery, Roger Marshall, Republican, 70.9
Morris, Roger Marshall, Republican, 66.6
Morton, Roger Marshall, Republican, 81.4
Nemaha, Roger Marshall, Republican, 77.4
Neosho, Roger Marshall, Republican, 67
Ness, Roger Marshall, Republican, 84.8
Norton, Roger Marshall, Republican, 79.6
Osage, Roger Marshall, Republican, 64.9
Osborne, Roger Marshall, Republican, 77.7
Ottawa, Roger Marshall, Republican, 76.6
Pawnee, Roger Marshall, Republican, 70.8
Phillips, Roger Marshall, Republican, 81.7
Pottawatomie, Roger Marshall, Republican, 68.9
Pratt, Roger Marshall, Republican, 70.9
Rawlins, Roger Marshall, Republican, 80.5
Reno, Roger Marshall, Republican, 62.2
Republic, Roger Marshall, Republican, 79.4
Rice, Roger Marshall, Republican, 70.7
Riley, Barbara Bollier, Democrat, 50.6
Rooks, Roger Marshall, Republican, 80
Rush, Roger Marshall, Republican, 76.4
Russell, Roger Marshall, Republican, 75.7
Saline, Roger Marshall, Republican, 60
Scott, Roger Marshall, Republican, 81.7
Sedgwick, Roger Marshall, Republican, 52
Seward, Roger Marshall, Republican, 59.9
Shawnee, Barbara Bollier, Democrat, 50.5
Sheridan, Roger Marshall, Republican, 85.2
Sherman, Roger Marshall, Republican, 78.8
Smith, Roger Marshall, Republican, 78.6
Stafford, Roger Marshall, Republican, 77
Stanton, Roger Marshall, Republican, 78.4
Stevens, Roger Marshall, Republican, 81.8
Sumner, Roger Marshall, Republican, 68.3
Thomas, Roger Marshall, Republican, 78
Trego, Roger Marshall, Republican, 76.6
Wabaunsee, Roger Marshall, Republican, 68.7
Wallace, Roger Marshall, Republican, 90.2
Washington, Roger Marshall, Republican, 78.5
Wichita, Roger Marshall, Republican, 80.5
Wilson, Roger Marshall, Republican, 73.6
Woodson, Roger Marshall, Republican, 71
Wyandotte, Barbara Bollier, Democrat, 63.5
