Alamance, Richard Vinroot, Republican, 51.6
Alexander, Richard Vinroot, Republican, 59.6
Alleghany, Mike Easley, Democrat, 53.2
Anson, Mike Easley, Democrat, 67.9
Ashe, Richard Vinroot, Republican, 52.3
Avery, Richard Vinroot, Republican, 64.7
Beaufort, Mike Easley, Democrat, 51.4
Bertie, Mike Easley, Democrat, 76.3
Bladen, Mike Easley, Democrat, 70.4
Brunswick, Mike Easley, Democrat, 57.7
Buncombe, Mike Easley, Democrat, 50.5
Burke, Richard Vinroot, Republican, 52
Cabarrus, Richard Vinroot, Republican, 59.1
Caldwell, Richard Vinroot, Republican, 56.2
Camden, Mike Easley, Democrat, 57.7
Carteret, Richard Vinroot, Republican, 52.6
Caswell, Mike Easley, Democrat, 59.1
Catawba, Richard Vinroot, Republican, 59.4
Chatham, Mike Easley, Democrat, 57.4
Cherokee, Richard Vinroot, Republican, 56.6
Chowan, Mike Easley, Democrat, 63.5
Clay, Richard Vinroot, Republican, 56.9
Cleveland, Mike Easley, Democrat, 51.8
Columbus, Mike Easley, Democrat, 72.5
Craven, Mike Easley, Democrat, 50.003
Cumberland, Mike Easley, Democrat, 59.1
Currituck, Mike Easley, Democrat, 50.7
Dare, Mike Easley, Democrat, 57.9
Davidson, Richard Vinroot, Republican, 55
Davie, Richard Vinroot, Republican, 60.2
Duplin, Mike Easley, Democrat, 56.9
Durham, Mike Easley, Democrat, 69.2
Edgecombe, Mike Easley, Democrat, 73.5
Forsyth, Mike Easley, Democrat, 51.7
Franklin, Mike Easley, Democrat, 58.6
Gaston, Richard Vinroot, Republican, 58.8
Gates, Mike Easley, Democrat, 70.3
Graham, Richard Vinroot, Republican, 55
Granville, Mike Easley, Democrat, 63.3
Greene, Mike Easley, Democrat, 59.2
Guilford, Mike Easley, Democrat, 56.2
Halifax, Mike Easley, Democrat, 71.4
Harnett, Mike Easley, Democrat, 52.9
Haywood, Mike Easley, Democrat, 55.1
Henderson, Richard Vinroot, Republican, 59.2
Hertford, Mike Easley, Democrat, 79
Hoke, Mike Easley, Democrat, 69.1
Hyde, Mike Easley, Democrat, 63.6
Iredell, Richard Vinroot, Republican, 57.7
Jackson, Mike Easley, Democrat, 54.6
Johnston, Mike Easley, Democrat, 50.6
Jones, Mike Easley, Democrat, 57.7
Lee, Mike Easley, Democrat, 54.3
Lenoir, Mike Easley, Democrat, 59.8
Lincoln, Richard Vinroot, Republican, 56.2
McDowell, Richard Vinroot, Republican, 52.1
Macon, Richard Vinroot, Republican, 53.8
Madison, Mike Easley, Democrat, 52.5
Martin, Mike Easley, Democrat, 68.2
Mecklenburg, Richard Vinroot, Republican, 50.6
Mitchell, Richard Vinroot, Republican, 68.3
Montgomery, Mike Easley, Democrat, 56.6
Moore, Richard Vinroot, Republican, 55.4
Nash, Mike Easley, Democrat, 58.1
New Hanover, Mike Easley, Democrat, 55.6
Northampton, Mike Easley, Democrat, 77.4
Onslow, Richard Vinroot, Republican, 52.2
Orange, Mike Easley, Democrat, 67
Pamlico, Mike Easley, Democrat, 54.3
Pasquotank, Mike Easley, Democrat, 65
Pender, Mike Easley, Democrat, 56.1
Perquimans, Mike Easley, Democrat, 61.5
Person, Mike Easley, Democrat, 56.6
Pitt, Mike Easley, Democrat, 59.7
Polk, Richard Vinroot, Republican, 53.6
Randolph, Richard Vinroot, Republican, 60.6
Richmond, Mike Easley, Democrat, 61.4
Robeson, Mike Easley, Democrat, 74.4
Rockingham, Mike Easley, Democrat, 53.5
Rowan, Richard Vinroot, Republican, 56.1
Rutherford, Richard Vinroot, Republican, 50.2
Sampson, Mike Easley, Democrat, 56
Scotland, Mike Easley, Democrat, 70.3
Stanly, Richard Vinroot, Republican, 57.7
Stokes, Richard Vinroot, Republican, 55.9
Surry, Richard Vinroot, Republican, 54
Swain, Mike Easley, Democrat, 55.7
Transylvania, Richard Vinroot, Republican, 57.9
Tyrrell, Mike Easley, Democrat, 73
Union, Richard Vinroot, Republican, 61.9
Vance, Mike Easley, Democrat, 67.7
Wake, Mike Easley, Democrat, 55.1
Warren, Mike Easley, Democrat, 73.4
Washington, Mike Easley, Democrat, 68.3
Watauga, Mike Easley, Democrat, 48.4
Wayne, Mike Easley, Democrat, 50.8
Wilkes, Richard Vinroot, Republican, 57.2
Wilson, Mike Easley, Democrat, 60.9
Yadkin, Richard Vinroot, Republican, 62.6
Yancey, Mike Easley, Democrat, 50.6
