Accomack, John Warner, Republican, 77.3
Albemarle, John Warner, Republican, 79.1
Alleghany, John Warner, Republican, 87.9
Amelia, John Warner, Republican, 81.2
Amherst, John Warner, Republican, 80
Appomattox, John Warner, Republican, 84.2
Arlington, John Warner, Republican, 82.1
Augusta, John Warner, Republican, 83.1
Bath, John Warner, Republican, 86.4
Bedford, John Warner, Republican, 84.9
Bland, John Warner, Republican, 84.9
Botetourt, John Warner, Republican, 85.7
Brunswick, John Warner, Republican, 83.8
Buchanan, John Warner, Republican, 81.7
Buckingham, John Warner, Republican, 84.1
Campbell, John Warner, Republican, 85.2
Caroline, John Warner, Republican, 60.4
Carroll, John Warner, Republican, 78.7
Charles City, John Warner, Republican, 64.6
Charlotte, John Warner, Republican, 83.6
Chesterfield, John Warner, Republican, 79.3
Clarke, John Warner, Republican, 79.4
Craig, John Warner, Republican, 77.3
Culpeper, John Warner, Republican, 85.7
Cumberland, John Warner, Republican, 89.3
Dickenson, John Warner, Republican, 65
Dinwiddie, John Warner, Republican, 75.2
Essex, John Warner, Republican, 77.7
Fairfax, John Warner, Republican, 80
Fauquier, John Warner, Republican, 84.8
Floyd, John Warner, Republican, 83
Fluvanna, John Warner, Republican, 79.6
Franklin, John Warner, Republican, 82.2
Frederick, John Warner, Republican, 85
Giles, John Warner, Republican, 86.2
Gloucester, John Warner, Republican, 83.6
Goochland, John Warner, Republican, 80.5
Grayson, John Warner, Republican, 77.9
Greene, John Warner, Republican, 86.2
Greensville, John Warner, Republican, 82.9
Halifax, John Warner, Republican, 88.7
Hanover, John Warner, Republican, 79.9
Henrico, John Warner, Republican, 81.3
Henry, John Warner, Republican, 86.2
Highland, John Warner, Republican, 75.6
Isle of Wight, John Warner, Republican, 84.6
James City, John Warner, Republican, 81.8
King and Queen, John Warner, Republican, 72.6
King George, John Warner, Republican, 72.2
King William, John Warner, Republican, 77.6
Lancaster, John Warner, Republican, 86
Lee, John Warner, Republican, 72.8
Loudoun, John Warner, Republican, 84.8
Louisa, John Warner, Republican, 73.2
Lunenburg, John Warner, Republican, 89.4
Madison, John Warner, Republican, 85.6
Mathews, John Warner, Republican, 86.9
Mecklenburg, John Warner, Republican, 90.4
Middlesex, John Warner, Republican, 84.3
Montgomery, John Warner, Republican, 77.6
Nelson, John Warner, Republican, 78.5
New Kent, John Warner, Republican, 76.8
Northampton, John Warner, Republican, 81
Northumberland, John Warner, Republican, 81.4
Nottoway, John Warner, Republican, 86.6
Orange, John Warner, Republican, 84.4
Page, John Warner, Republican, 77
Patrick, John Warner, Republican, 89.3
Pittsylvania, John Warner, Republican, 88.4
Powhatan, John Warner, Republican, 74.1
Prince Edward, John Warner, Republican, 87.6
Prince George, John Warner, Republican, 68.5
Prince William, John Warner, Republican, 81.1
Pulaski, John Warner, Republican, 90.2
Rappahannock, John Warner, Republican, 76.9
Richmond, John Warner, Republican, 83.1
Roanoke, John Warner, Republican, 85.3
Rockbridge, John Warner, Republican, 86.9
Rockingham, John Warner, Republican, 83.5
Russell, John Warner, Republican, 80.5
Scott, John Warner, Republican, 81.5
Shenandoah, John Warner, Republican, 81.5
Smyth, John Warner, Republican, 88.3
Southampton, John Warner, Republican, 84.9
Spotsylvania, John Warner, Republican, 76.4
Stafford, John Warner, Republican, 76.2
Surry, John Warner, Republican, 81.6
Sussex, John Warner, Republican, 88.6
Tazewell, John Warner, Republican, 82.9
Warren, John Warner, Republican, 81.9
Washington, John Warner, Republican, 87.4
Westmoreland, John Warner, Republican, 79.2
Wise, John Warner, Republican, 82
Wythe, John Warner, Republican, 89.6
York, John Warner, Republican, 80.3
Alexandria City, John Warner, Republican, 77.1
Bedford City, John Warner, Republican, 87.5
Bristol City, John Warner, Republican, 77.2
Buena Vista City, John Warner, Republican, 88.1
Charlottesville City, John Warner, Republican, 73.6
Chesapeake City, John Warner, Republican, 77.2
Clifton Forge City, John Warner, Republican, 88.8
Colonial Heights City, John Warner, Republican, 80.9
Covington City, John Warner, Republican, 86.6
Danville City, John Warner, Republican, 88.2
Emporia City, John Warner, Republican, 84.7
Fairfax City, John Warner, Republican, 85.7
Falls Church City, John Warner, Republican, 77.5
Franklin City, John Warner, Republican, 84.8
Fredericksburg City, John Warner, Republican, 76.9
Galax City, John Warner, Republican, 84.2
Hampton City, John Warner, Republican, 80.6
Harrisonburg City, John Warner, Republican, 85.2
Hopewell City, John Warner, Republican, 82.3
Lexington City, John Warner, Republican, 88.1
Lynchburg City, John Warner, Republican, 87.6
Manassas City, John Warner, Republican, 79.3
Manassas Park City, John Warner, Republican, 75.4
Martinsville City, John Warner, Republican, 88.3
Newport News City, John Warner, Republican, 82.7
Norfolk City, John Warner, Republican, 76.6
Norton City, John Warner, Republican, 81.2
Petersburg City, John Warner, Republican, 72.2
Poquoson City, John Warner, Republican, 82.7
Portsmouth City, John Warner, Republican, 78.8
Radford City, John Warner, Republican, 81.4
Richmond City, John Warner, Republican, 76.2
Roanoke City, John Warner, Republican, 82.3
Salem City, John Warner, Republican, 85.1
South Boston City, John Warner, Republican, 84.8
Staunton City, John Warner, Republican, 85
Suffolk City, John Warner, Republican, 81.8
Virginia Beach City, John Warner, Republican, 77.6
Waynesboro City, John Warner, Republican, 85.4
Williamsburg City, John Warner, Republican, 81.2
Winchester City, John Warner, Republican, 86.6
