Adair, Jim Ross Lightfoot, Republican, 56.7
Adams, Jim Ross Lightfoot, Republican, 56.4
Allamakee, Jim Ross Lightfoot, Republican, 51.5
Appanoose, Jim Ross Lightfoot, Republican, 50.1
Audubon, Jim Ross Lightfoot, Republican, 53.3
Benton, Tom Vilsack, Democrat, 56.7
Black Hawk, Tom Vilsack, Democrat, 57.9
Boone, Tom Vilsack, Democrat, 57
Bremer, Tom Vilsack, Democrat, 50.8
Buchanan, Tom Vilsack, Democrat, 56.3
Buena Vista, Jim Ross Lightfoot, Republican, 52.5
Butler, Jim Ross Lightfoot, Republican, 54.4
Calhoun, Jim Ross Lightfoot, Republican, 54.9
Carroll, Jim Ross Lightfoot, Republican, 49.9
Cass, Jim Ross Lightfoot, Republican, 63.4
Cedar, Tom Vilsack, Democrat, 51.8
Cerro Gordo, Tom Vilsack, Democrat, 56
Cherokee, Jim Ross Lightfoot, Republican, 51.9
Chickasaw, Tom Vilsack, Democrat, 53.5
Clarke, Jim Ross Lightfoot, Republican, 50.3
Clay, Jim Ross Lightfoot, Republican, 50
Clayton, Tom Vilsack, Democrat, 50.9
Clinton, Tom Vilsack, Democrat, 53.1
Crawford, Jim Ross Lightfoot, Republican, 57.8
Dallas, Tom Vilsack, Democrat, 53.3
Davis, Tom Vilsack, Democrat, 53.4
Decatur, Jim Ross Lightfoot, Republican, 53.3
Delaware, Jim Ross Lightfoot, Republican, 51.5
Des Moines, Tom Vilsack, Democrat, 62.9
Dickinson, Tom Vilsack, Democrat, 50
Dubuque, Tom Vilsack, Democrat, 57.4
Emmet, Tom Vilsack, Democrat, 50.3
Fayette, Tom Vilsack, Democrat, 50
Floyd, Tom Vilsack, Democrat, 51.7
Franklin, Jim Ross Lightfoot, Republican, 49.8
Fremont, Jim Ross Lightfoot, Republican, 69.3
Greene, Tom Vilsack, Democrat, 53
Grundy, Jim Ross Lightfoot, Republican, 59
Guthrie, Tom Vilsack, Democrat, 50
Hamilton, Tom Vilsack, Democrat, 50.9
Hancock, Jim Ross Lightfoot, Republican, 54.1
Hardin, Jim Ross Lightfoot, Republican, 50
Harrison, Jim Ross Lightfoot, Republican, 62.2
Henry, Tom Vilsack, Democrat, 63.4
Howard, Tom Vilsack, Democrat, 52.8
Humboldt, Jim Ross Lightfoot, Republican, 52.7
Ida, Jim Ross Lightfoot, Republican, 58
Iowa, Jim Ross Lightfoot, Republican, 49.3
Jackson, Tom Vilsack, Democrat, 56.4
Jasper, Tom Vilsack, Democrat, 54.9
Jefferson, Tom Vilsack, Democrat, 49.4
Johnson, Tom Vilsack, Democrat, 66.9
Jones, Tom Vilsack, Democrat, 53.4
Keokuk, Tom Vilsack, Democrat, 50.8
Kossuth, Tom Vilsack, Democrat, 51.6
Lee, Tom Vilsack, Democrat, 63.9
Linn, Tom Vilsack, Democrat, 57.4
Louisa, Tom Vilsack, Democrat, 53.6
Lucas, Jim Ross Lightfoot, Republican, 50
Lyon, Jim Ross Lightfoot, Republican, 74.9
Madison, Tom Vilsack, Democrat, 49.6
Mahaska, Jim Ross Lightfoot, Republican, 59
Marion, Jim Ross Lightfoot, Republican, 55.2
Marshall, Tom Vilsack, Democrat, 52.9
Mills, Jim Ross Lightfoot, Republican, 67
Mitchell, Jim Ross Lightfoot, Republican, 49.4
Monona, Jim Ross Lightfoot, Republican, 50.5
Monroe, Tom Vilsack, Democrat, 55.2
Montgomery, Jim Ross Lightfoot, Republican, 70.7
Muscatine, Tom Vilsack, Democrat, 50
O'Brien, Jim Ross Lightfoot, Republican, 66.5
Osceola, Jim Ross Lightfoot, Republican, 66.4
Page, Jim Ross Lightfoot, Republican, 74.7
Palo Alto, Tom Vilsack, Democrat, 55.4
Plymouth, Jim Ross Lightfoot, Republican, 63.4
Pocahontas, Jim Ross Lightfoot, Republican, 49.6
Polk, Tom Vilsack, Democrat, 59.2
Pottawattamie, Jim Ross Lightfoot, Republican, 57.8
Poweshiek, Tom Vilsack, Democrat, 50.5
Ringgold, Jim Ross Lightfoot, Republican, 54.9
Sac, Jim Ross Lightfoot, Republican, 54.6
Scott, Jim Ross Lightfoot, Republican, 49.7
Shelby, Jim Ross Lightfoot, Republican, 65.4
Sioux, Jim Ross Lightfoot, Republican, 82.9
Story, Tom Vilsack, Democrat, 58.4
Tama, Tom Vilsack, Democrat, 54.9
Taylor, Jim Ross Lightfoot, Republican, 59.4
Union, Jim Ross Lightfoot, Republican, 53.1
Van Buren, Jim Ross Lightfoot, Republican, 50.3
Wapello, Tom Vilsack, Democrat, 60.9
Warren, Tom Vilsack, Democrat, 54.1
Washington, Tom Vilsack, Democrat, 51.3
Wayne, Jim Ross Lightfoot, Republican, 54.2
Webster, Tom Vilsack, Democrat, 52.7
Winnebago, Jim Ross Lightfoot, Republican, 50.6
Winneshiek, Tom Vilsack, Democrat, 50.3
Woodbury, Jim Ross Lightfoot, Republican, 49.9
Worth, Tom Vilsack, Democrat, 52
Wright, Jim Ross Lightfoot, Republican, 50.8
