Accomack, George Allen, Republican, 51.1
Albemarle, Jim Webb, Democrat, 57.5
Alleghany, Jim Webb, Democrat, 51.6
Amelia, George Allen, Republican, 64.6
Amherst, George Allen, Republican, 58.3
Appomattox, George Allen, Republican, 64.7
Arlington, Jim Webb, Democrat, 72.6
Augusta, George Allen, Republican, 68.7
Bath, George Allen, Republican, 58.6
Bedford, George Allen, Republican, 66.8
Bland, George Allen, Republican, 62.6
Botetourt, George Allen, Republican, 64
Brunswick, Jim Webb, Democrat, 56.2
Buchanan, Jim Webb, Democrat, 55.6
Buckingham, George Allen, Republican, 53.5
Campbell, George Allen, Republican, 67.5
Caroline, Jim Webb, Democrat, 50.6
Carroll, George Allen, Republican, 60.8
Charles City, Jim Webb, Democrat, 61
Charlotte, George Allen, Republican, 59.9
Chesterfield, George Allen, Republican, 58.4
Clarke, George Allen, Republican, 51.7
Craig, George Allen, Republican, 58.6
Culpeper, George Allen, Republican, 59.8
Cumberland, George Allen, Republican, 57.7
Dickenson, Jim Webb, Democrat, 54.6
Dinwiddie, George Allen, Republican, 57.2
Essex, George Allen, Republican, 53.1
Fairfax, Jim Webb, Democrat, 58.9
Fauquier, George Allen, Republican, 57.3
Floyd, George Allen, Republican, 57.2
Fluvanna, George Allen, Republican, 53.5
Franklin, George Allen, Republican, 60.7
Frederick, George Allen, Republican, 62.3
Giles, George Allen, Republican, 53.6
Gloucester, George Allen, Republican, 59.9
Goochland, George Allen, Republican, 60.7
Grayson, George Allen, Republican, 59.2
Greene, George Allen, Republican, 62.2
Greensville, Jim Webb, Democrat, 56.4
Halifax, George Allen, Republican, 59
Hanover, George Allen, Republican, 67.2
Henrico, George Allen, Republican, 49.7
Henry, George Allen, Republican, 54.9
Highland, George Allen, Republican, 63.1
Isle of Wight, George Allen, Republican, 57.3
James City, George Allen, Republican, 53.3
King and Queen, George Allen, Republican, 53.1
King George, George Allen, Republican, 58.8
King William, George Allen, Republican, 61.8
Lancaster, George Allen, Republican, 57.1
Lee, George Allen, Republican, 55.5
Loudoun, Jim Webb, Democrat, 50.1
Louisa, George Allen, Republican, 55.9
Lunenburg, George Allen, Republican, 56.4
Madison, George Allen, Republican, 57.6
Mathews, George Allen, Republican, 59.6
Mecklenburg, George Allen, Republican, 59
Middlesex, George Allen, Republican, 59
Montgomery, Jim Webb, Democrat, 51.1
Nelson, Jim Webb, Democrat, 52.8
New Kent, George Allen, Republican, 63.6
Northampton, Jim Webb, Democrat, 54.6
Northumberland, George Allen, Republican, 58.5
Nottoway, George Allen, Republican, 54.4
Orange, George Allen, Republican, 56.6
Page, George Allen, Republican, 59.9
Patrick, George Allen, Republican, 58.3
Pittsylvania, George Allen, Republican, 65.2
Powhatan, George Allen, Republican, 71.2
Prince Edward, George Allen, Republican, 51.8
Prince George, George Allen, Republican, 60.6
Prince William, Jim Webb, Democrat, 50.5
Pulaski, George Allen, Republican, 56.7
Rappahannock, Jim Webb, Democrat, 51.6
Richmond, George Allen, Republican, 62
Roanoke, George Allen, Republican, 58.6
Rockbridge, George Allen, Republican, 54.8
Rockingham, George Allen, Republican, 69.7
Russell, Jim Webb, Democrat, 50.8
Scott, George Allen, Republican, 61.6
Shenandoah, George Allen, Republican, 63.2
Smyth, George Allen, Republican, 61.2
Southampton, George Allen, Republican, 51.6
Spotsylvania, George Allen, Republican, 56.8
Stafford, George Allen, Republican, 55.1
Surry, Jim Webb, Democrat, 56.4
Sussex, Jim Webb, Democrat, 51
Tazewell, George Allen, Republican, 55.6
Warren, George Allen, Republican, 55.9
Washington, George Allen, Republican, 62
Westmoreland, Jim Webb, Democrat, 49.4
Wise, George Allen, Republican, 53.1
Wythe, George Allen, Republican, 62.9
York, George Allen, Republican, 57.8
Alexandria City, Jim Webb, Democrat, 70.6
Bedford City, George Allen, Republican, 54
Bristol City, George Allen, Republican, 60.4
Buena Vista City, George Allen, Republican, 54.1
Charlottesville City, Jim Webb, Democrat, 77.3
Chesapeake City, George Allen, Republican, 51.7
Colonial Heights City, George Allen, Republican, 72.4
Covington City, Jim Webb, Democrat, 57.9
Danville City, George Allen, Republican, 50.2
Emporia City, Jim Webb, Democrat, 52.2
Fairfax City, Jim Webb, Democrat, 56.1
Falls Church City, Jim Webb, Democrat, 70.6
Franklin City, Jim Webb, Democrat, 52.9
Fredericksburg City, Jim Webb, Democrat, 58.4
Galax City, George Allen, Republican, 51.8
Hampton City, Jim Webb, Democrat, 61.7
Harrisonburg City, George Allen, Republican, 49.8
Hopewell City, George Allen, Republican, 54.9
Lexington City, Jim Webb, Democrat, 62.4
Lynchburg City, George Allen, Republican, 52
Manassas City, George Allen, Republican, 51.1
Manassas Park City, George Allen, Republican, 50.4
Martinsville City, Jim Webb, Democrat, 56.3
Newport News City, Jim Webb, Democrat, 55.2
Norfolk City, Jim Webb, Democrat, 64.5
Norton City, Jim Webb, Democrat, 51.7
Petersburg City, Jim Webb, Democrat, 78.9
Poquoson City, George Allen, Republican, 69.1
Portsmouth City, Jim Webb, Democrat, 63.8
Radford City, Jim Webb, Democrat, 52.8
Richmond City, Jim Webb, Democrat, 71.7
Roanoke City, Jim Webb, Democrat, 57.2
Salem City, George Allen, Republican, 57.1
Staunton City, George Allen, Republican, 51.6
Suffolk City, Jim Webb, Democrat, 49.8
Virginia Beach City, George Allen, Republican, 52.3
Waynesboro City, George Allen, Republican, 56.3
Williamsburg City, Jim Webb, Democrat, 59.4
Winchester City, George Allen, Republican, 50.3
