Accomack, Chuck Robb, Democrat, 72.1
Albemarle, Chuck Robb, Democrat, 70.7
Alleghany, Chuck Robb, Democrat, 78
Amelia, Chuck Robb, Democrat, 63
Amherst, Chuck Robb, Democrat, 76.8
Appomattox, Chuck Robb, Democrat, 73.5
Arlington, Chuck Robb, Democrat, 74.9
Augusta, Chuck Robb, Democrat, 59.4
Bath, Chuck Robb, Democrat, 74
Bedford, Chuck Robb, Democrat, 69.3
Bland, Chuck Robb, Democrat, 66
Botetourt, Chuck Robb, Democrat, 71.6
Brunswick, Chuck Robb, Democrat, 76.7
Buchanan, Chuck Robb, Democrat, 78.5
Buckingham, Chuck Robb, Democrat, 68.9
Campbell, Chuck Robb, Democrat, 66.2
Caroline, Chuck Robb, Democrat, 77.5
Carroll, Chuck Robb, Democrat, 59.5
Charles City, Chuck Robb, Democrat, 80.1
Charlotte, Chuck Robb, Democrat, 71.2
Chesterfield, Chuck Robb, Democrat, 64.1
Clarke, Chuck Robb, Democrat, 76.5
Craig, Chuck Robb, Democrat, 68.8
Culpeper, Chuck Robb, Democrat, 62.5
Cumberland, Chuck Robb, Democrat, 61.2
Dickenson, Chuck Robb, Democrat, 73.5
Dinwiddie, Chuck Robb, Democrat, 74
Essex, Chuck Robb, Democrat, 71.4
Fairfax, Chuck Robb, Democrat, 72.6
Fauquier, Chuck Robb, Democrat, 64.2
Floyd, Chuck Robb, Democrat, 65.6
Fluvanna, Chuck Robb, Democrat, 68.6
Franklin, Chuck Robb, Democrat, 77.5
Frederick, Chuck Robb, Democrat, 71.5
Giles, Chuck Robb, Democrat, 73.8
Gloucester, Chuck Robb, Democrat, 73.2
Goochland, Chuck Robb, Democrat, 63.7
Grayson, Chuck Robb, Democrat, 68.4
Greene, Chuck Robb, Democrat, 58.6
Greensville, Chuck Robb, Democrat, 80.3
Halifax, Chuck Robb, Democrat, 72.2
Hanover, Chuck Robb, Democrat, 62.4
Henrico, Chuck Robb, Democrat, 66
Henry, Chuck Robb, Democrat, 71.1
Highland, Chuck Robb, Democrat, 67.3
Isle of Wight, Chuck Robb, Democrat, 74.4
James City, Chuck Robb, Democrat, 71.3
King and Queen, Chuck Robb, Democrat, 73.6
King George, Chuck Robb, Democrat, 70.7
King William, Chuck Robb, Democrat, 67.9
Lancaster, Chuck Robb, Democrat, 65.3
Lee, Chuck Robb, Democrat, 77.2
Loudoun, Chuck Robb, Democrat, 64.4
Louisa, Chuck Robb, Democrat, 65.4
Lunenburg, Chuck Robb, Democrat, 71.3
Madison, Chuck Robb, Democrat, 64.3
Mathews, Chuck Robb, Democrat, 73.6
Mecklenburg, Chuck Robb, Democrat, 68.5
Middlesex, Chuck Robb, Democrat, 67
Montgomery, Chuck Robb, Democrat, 71.7
Nelson, Chuck Robb, Democrat, 79.8
New Kent, Chuck Robb, Democrat, 69.4
Northampton, Chuck Robb, Democrat, 77
Northumberland, Chuck Robb, Democrat, 68.7
Nottoway, Chuck Robb, Democrat, 69.4
Orange, Chuck Robb, Democrat, 67.4
Page, Chuck Robb, Democrat, 65.8
Patrick, Chuck Robb, Democrat, 64
Pittsylvania, Chuck Robb, Democrat, 65
Powhatan, Chuck Robb, Democrat, 61.8
Prince Edward, Chuck Robb, Democrat, 66.8
Prince George, Chuck Robb, Democrat, 68.8
Prince William, Chuck Robb, Democrat, 67
Pulaski, Chuck Robb, Democrat, 72.4
Rappahannock, Chuck Robb, Democrat, 70.9
Richmond, Chuck Robb, Democrat, 73.1
Roanoke, Chuck Robb, Democrat, 75.6
Rockbridge, Chuck Robb, Democrat, 73.1
Rockingham, Chuck Robb, Democrat, 59.8
Russell, Chuck Robb, Democrat, 76.2
Scott, Chuck Robb, Democrat, 65
Shenandoah, Chuck Robb, Democrat, 64.2
Smyth, Chuck Robb, Democrat, 70.5
Southampton, Chuck Robb, Democrat, 76.9
Spotsylvania, Chuck Robb, Democrat, 69.8
