Adams, Bill Clinton, Democrat, 51.99
Alcorn, Bill Clinton, Democrat, 45.08
Amite, Bill Clinton, Democrat, 45.91
Attala, George H W Bush, Republican, 49.67
Benton, Bill Clinton, Democrat, 60.73
Bolivar, Bill Clinton, Democrat, 61.87
Calhoun, George H W Bush, Republican, 50.87
Carroll, George H W Bush, Republican, 54.96
Chickasaw, Bill Clinton, Democrat, 45.95
Choctaw, George H W Bush, Republican, 53.77
Claiborne, Bill Clinton, Democrat, 74.84
Clarke, George H W Bush, Republican, 60.67
Clay, Bill Clinton, Democrat, 53.95
Coahoma, Bill Clinton, Democrat, 57.33
Copiah, George H W Bush, Republican, 48.68
Covington, George H W Bush, Republican, 50.39
DeSoto, George H W Bush, Republican, 58.4
Forrest, George H W Bush, Republican, 54.64
Franklin, George H W Bush, Republican, 49.31
George, George H W Bush, Republican, 43.55
Greene, George H W Bush, Republican, 51.9
Grenada, George H W Bush, Republican, 49.34
Hancock, George H W Bush, Republican, 47.78
Harrison, George H W Bush, Republican, 52.84
Hinds, George H W Bush, Republican, 46.9
Holmes, Bill Clinton, Democrat, 68.04
Humphreys, Bill Clinton, Democrat, 57.57
Issaquena, Bill Clinton, Democrat, 55.56
Itawamba, George H W Bush, Republican, 47.54
Jackson, George H W Bush, Republican, 56.36
Jasper, Bill Clinton, Democrat, 47.59
Jefferson, Bill Clinton, Democrat, 79.39
Jefferson Davis, Bill Clinton, Democrat, 53.1
Jones, George H W Bush, Republican, 56.59
Kemper, Bill Clinton, Democrat, 51.43
Lafayette, George H W Bush, Republican, 46.07
Lamar, George H W Bush, Republican, 63.37
Lauderdale, George H W Bush, Republican, 62.25
Lawrence, George H W Bush, Republican, 44.12
Leake, George H W Bush, Republican, 50.64
Lee, George H W Bush, Republican, 54.36
Leflore, Bill Clinton, Democrat, 51
Lincoln, George H W Bush, Republican, 53.78
Lowndes, George H W Bush, Republican, 55.8
Madison, George H W Bush, Republican, 54
Marion, George H W Bush, Republican, 49.74
Marshall, Bill Clinton, Democrat, 63.24
Monroe, George H W Bush, Republican, 49.03
Montgomery, George H W Bush, Republican, 48.66
Neshoba, George H W Bush, Republican, 61.09
Newton, George H W Bush, Republican, 65.69
Noxubee, Bill Clinton, Democrat, 63.29
Oktibbeha, George H W Bush, Republican, 48.5
Panola, Bill Clinton, Democrat, 52.93
Pearl River, George H W Bush, Republican, 52.21
Perry, George H W Bush, Republican, 56.39
Pike, Bill Clinton, Democrat, 45.9
Pontotoc, George H W Bush, Republican, 54.92
Prentiss, George H W Bush, Republican, 50.63
Quitman, Bill Clinton, Democrat, 59.17
Rankin, George H W Bush, Republican, 67.76
Scott, George H W Bush, Republican, 56.47
Sharkey, Bill Clinton, Democrat, 55.45
Simpson, George H W Bush, Republican, 57.45
Smith, George H W Bush, Republican, 60.49
Stone, George H W Bush, Republican, 54.53
Sunflower, Bill Clinton, Democrat, 53.77
Tallahatchie, Bill Clinton, Democrat, 52.59
Tate, George H W Bush, Republican, 50.13
Tippah, George H W Bush, Republican, 50.85
Tishomingo, Bill Clinton, Democrat, 48.44
Tunica, Bill Clinton, Democrat, 64.69
Union, George H W Bush, Republican, 53.1
Walthall, George H W Bush, Republican, 45.72
Warren, George H W Bush, Republican, 49.61
Washington, Bill Clinton, Democrat, 53.78
Wayne, George H W Bush, Republican, 49.78
Webster, George H W Bush, Republican, 55.95
Wilkinson, Bill Clinton, Democrat, 64.91
Winston, George H W Bush, Republican, 48.07
Yalobusha, Bill Clinton, Democrat, 49.87
Yazoo, George H W Bush, Republican, 47.58
