Accomack, George H W Bush, Republican, 43.17
Albemarle, George H W Bush, Republican, 43.69
Alleghany, Bill Clinton, Democrat, 42.35
Amelia, George H W Bush, Republican, 48.82
Amherst, George H W Bush, Republican, 50.26
Appomattox, George H W Bush, Republican, 50.36
Arlington, Bill Clinton, Democrat, 57.83
Augusta, George H W Bush, Republican, 58.98
Bath, George H W Bush, Republican, 46.14
Bedford, George H W Bush, Republican, 50.57
Bland, George H W Bush, Republican, 48.31
Botetourt, George H W Bush, Republican, 48.36
Brunswick, Bill Clinton, Democrat, 54.88
Buchanan, Bill Clinton, Democrat, 63.27
Buckingham, George H W Bush, Republican, 46.4
Campbell, George H W Bush, Republican, 55.33
Caroline, Bill Clinton, Democrat, 48.63
Carroll, George H W Bush, Republican, 51.89
Charles City, Bill Clinton, Democrat, 66.69
Charlotte, George H W Bush, Republican, 44.86
Chesterfield, George H W Bush, Republican, 55.55
Clarke, George H W Bush, Republican, 42.9
Craig, George H W Bush, Republican, 43.88
Culpeper, George H W Bush, Republican, 49.93
Cumberland, George H W Bush, Republican, 48.55
Dickenson, Bill Clinton, Democrat, 59.43
Dinwiddie, George H W Bush, Republican, 42.43
Essex, George H W Bush, Republican, 48.59
Fairfax, George H W Bush, Republican, 44.26
Fauquier, George H W Bush, Republican, 50.57
Floyd, George H W Bush, Republican, 48.44
Fluvanna, George H W Bush, Republican, 48.03
Franklin, George H W Bush, Republican, 42.83
Frederick, George H W Bush, Republican, 53.96
Giles, Bill Clinton, Democrat, 43.84
Gloucester, George H W Bush, Republican, 48.42
Goochland, George H W Bush, Republican, 51.26
Grayson, George H W Bush, Republican, 48.68
Greene, George H W Bush, Republican, 52.3
Greensville, Bill Clinton, Democrat, 56.12
Halifax, George H W Bush, Republican, 46.16
Hanover, George H W Bush, Republican, 59.36
Henrico, George H W Bush, Republican, 52.27
Henry, Bill Clinton, Democrat, 42.59
Highland, George H W Bush, Republican, 49
Isle of Wight, George H W Bush, Republican, 47.16
James City, George H W Bush, Republican, 48.19
King and Queen, Bill Clinton, Democrat, 46.73
King George, George H W Bush, Republican, 48.27
King William, George H W Bush, Republican, 49.54
Lancaster, George H W Bush, Republican, 51.39
Lee, Bill Clinton, Democrat, 53.24
Loudoun, George H W Bush, Republican, 46.4
Louisa, George H W Bush, Republican, 41.66
Lunenburg, George H W Bush, Republican, 45.34
Madison, George H W Bush, Republican, 48.99
Mathews, George H W Bush, Republican, 48.15
Mecklenburg, George H W Bush, Republican, 49.23
Middlesex, George H W Bush, Republican, 47.47
Montgomery, Bill Clinton, Democrat, 42.74
Nelson, Bill Clinton, Democrat, 46.7
New Kent, George H W Bush, Republican, 49.39
Northampton, Bill Clinton, Democrat, 45.71
Northumberland, George H W Bush, Republican, 50
