Autauga, George H W Bush, Republican, 55.92
Baldwin, George H W Bush, Republican, 56.52
Barbour, Bill Clinton, Democrat, 46.36
Bibb, George H W Bush, Republican, 46.49
Blount, George H W Bush, Republican, 53.81
Bullock, Bill Clinton, Democrat, 67.67
Butler, Bill Clinton, Democrat, 47.43
Calhoun, George H W Bush, Republican, 48.18
Chambers, Bill Clinton, Democrat, 45.36
Cherokee, Bill Clinton, Democrat, 53.61
Chilton, George H W Bush, Republican, 56.17
Choctaw, Bill Clinton, Democrat, 52.13
Clarke, George H W Bush, Republican, 46.9
Clay, George H W Bush, Republican, 49.68
Cleburne, George H W Bush, Republican, 46.31
Coffee, George H W Bush, Republican, 48.87
Colbert, Bill Clinton, Democrat, 54.4
Conecuh, Bill Clinton, Democrat, 50.02
Coosa, Bill Clinton, Democrat, 48.56
Covington, George H W Bush, Republican, 48.99
Crenshaw, Bill Clinton, Democrat, 45.44
Cullman, George H W Bush, Republican, 49.62
Dale, George H W Bush, Republican, 51.45
Dallas, Bill Clinton, Democrat, 56.38
DeKalb, George H W Bush, Republican, 48.73
Elmore, George H W Bush, Republican, 55.7
Escambia, George H W Bush, Republican, 46.44
Etowah, Bill Clinton, Democrat, 48.43
Fayette, Bill Clinton, Democrat, 45.22
Franklin, Bill Clinton, Democrat, 50.2
Geneva, George H W Bush, Republican, 49.08
Greene, Bill Clinton, Democrat, 79.18
Hale, Bill Clinton, Democrat, 57.8
Henry, George H W Bush, Republican, 45.7
Houston, George H W Bush, Republican, 58.33
Jackson, Bill Clinton, Democrat, 56.19
Jefferson, George H W Bush, Republican, 50.13
Lamar, George H W Bush, Republican, 47.29
Lauderdale, Bill Clinton, Democrat, 47.21
Lawrence, Bill Clinton, Democrat, 54.91
Lee, George H W Bush, Republican, 47.58
Limestone, George H W Bush, Republican, 45.66
Lowndes, Bill Clinton, Democrat, 67.99
Macon, Bill Clinton, Democrat, 82.78
Madison, George H W Bush, Republican, 47.71
Marengo, Bill Clinton, Democrat, 50.09
Marion, Bill Clinton, Democrat, 46.47
Marshall, George H W Bush, Republican, 45.85
Mobile, George H W Bush, Republican, 50.72
Monroe, George H W Bush, Republican, 50.48
Montgomery, George H W Bush, Republican, 47.29
Morgan, George H W Bush, Republican, 47.92
Perry, Bill Clinton, Democrat, 63.86
Pickens, Bill Clinton, Democrat, 46.46
Pike, George H W Bush, Republican, 48.45
Randolph, George H W Bush, Republican, 46.77
Russell, Bill Clinton, Democrat, 55.12
St. Clair, George H W Bush, Republican, 57.56
Shelby, George H W Bush, Republican, 67.97
Sumter, Bill Clinton, Democrat, 68.47
Talladega, George H W Bush, Republican, 48.21
Tallapoosa, George H W Bush, Republican, 52.67
Tuscaloosa, George H W Bush, Republican, 47.27
Walker, Bill Clinton, Democrat, 50.22
Washington, Bill Clinton, Democrat, 49.57
Wilcox, Bill Clinton, Democrat, 64.84
Winston, George H W Bush, Republican, 55.01
