Adams, George H W Bush, Republican, 42.84
Alexander, Bill Clinton, Democrat, 58.83
Bond, Bill Clinton, Democrat, 45.42
Boone, George H W Bush, Republican, 41.01
Brown, Bill Clinton, Democrat, 42.62
Bureau, Bill Clinton, Democrat, 42.17
Calhoun, Bill Clinton, Democrat, 54.19
Carroll, George H W Bush, Republican, 42.94
Cass, Bill Clinton, Democrat, 49.64
Champaign, Bill Clinton, Democrat, 46
Christian, Bill Clinton, Democrat, 51.4
Clark, Bill Clinton, Democrat, 41.83
Clay, Bill Clinton, Democrat, 44.53
Clinton, Bill Clinton, Democrat, 42.26
Coles, Bill Clinton, Democrat, 42.16
Cook, Bill Clinton, Democrat, 58.21
Crawford, Bill Clinton, Democrat, 40.99
Cumberland, Bill Clinton, Democrat, 40.58
DeKalb, Bill Clinton, Democrat, 40.15
DeWitt, George H W Bush, Republican, 40.78
Douglas, Bill Clinton, Democrat, 40.37
DuPage, George H W Bush, Republican, 48.05
Edgar, Bill Clinton, Democrat, 41.06
Edwards, George H W Bush, Republican, 45.07
Effingham, George H W Bush, Republican, 42.25
Fayette, Bill Clinton, Democrat, 47.77
Ford, George H W Bush, Republican, 47
Franklin, Bill Clinton, Democrat, 59.33
Fulton, Bill Clinton, Democrat, 54.94
Gallatin, Bill Clinton, Democrat, 60.12
Greene, Bill Clinton, Democrat, 44.99
Grundy, George H W Bush, Republican, 39.02
Hamilton, Bill Clinton, Democrat, 51.91
Hancock, Bill Clinton, Democrat, 41.84
Hardin, Bill Clinton, Democrat, 52.47
Henderson, Bill Clinton, Democrat, 49.73
Henry, Bill Clinton, Democrat, 45.45
Iroquois, George H W Bush, Republican, 47.82
Jackson, Bill Clinton, Democrat, 54.73
Jasper, Bill Clinton, Democrat, 41.68
Jefferson, Bill Clinton, Democrat, 49.24
Jersey, Bill Clinton, Democrat, 47.05
Jo Daviess, George H W Bush, Republican, 40.64
Johnson, Bill Clinton, Democrat, 42.65
Kane, George H W Bush, Republican, 43.52
Kankakee, Bill Clinton, Democrat, 43
Kendall, George H W Bush, Republican, 46.29
Knox, Bill Clinton, Democrat, 49.51
Lake, George H W Bush, Republican, 44.2
LaSalle, Bill Clinton, Democrat, 46.62
Lawrence, Bill Clinton, Democrat, 43.67
Lee, George H W Bush, Republican, 43.15
Livingston, George H W Bush, Republican, 46.81
Logan, George H W Bush, Republican, 46.26
Macon, Bill Clinton, Democrat, 49.39
Macoupin, Bill Clinton, Democrat, 50.93
Madison, Bill Clinton, Democrat, 51.26
Marion, Bill Clinton, Democrat, 51.2
Marshall, Bill Clinton, Democrat, 43.4
Mason, Bill Clinton, Democrat, 51.53
Massac, Bill Clinton, Democrat, 47.43
McDonough, Bill Clinton, Democrat, 41.76
McHenry, George H W Bush, Republican, 46.84
McLean, George H W Bush, Republican, 43.39
Menard, George H W Bush, Republican, 44.99
Mercer, Bill Clinton, Democrat, 46.72
Monroe, Bill Clinton, Democrat, 39.02
Montgomery, Bill Clinton, Democrat, 50.04
Morgan, George H W Bush, Republican, 40.29
Moultrie, Bill Clinton, Democrat, 47.27
Ogle, George H W Bush, Republican, 44.8
Peoria, Bill Clinton, Democrat, 46.85
Perry, Bill Clinton, Democrat, 54.2
Piatt, Bill Clinton, Democrat, 41.67
Pike, Bill Clinton, Democrat, 44.44
Pope, Bill Clinton, Democrat, 44.09
Pulaski, Bill Clinton, Democrat, 55.99
Putnam, Bill Clinton, Democrat, 47.58
Randolph, Bill Clinton, Democrat, 51.49
Richland, Bill Clinton, Democrat, 40.76
Rock Island, Bill Clinton, Democrat, 51.93
Saline, Bill Clinton, Democrat, 54.76
Sangamon, Bill Clinton, Democrat, 41.35
Schuyler, Bill Clinton, Democrat, 41.3
Scott, George H W Bush, Republican, 40.68
Shelby, Bill Clinton, Democrat, 45.65
St. Clair, Bill Clinton, Democrat, 53.58
Stark, George H W Bush, Republican, 41.3
Stephenson, George H W Bush, Republican, 41.58
Tazewell, Bill Clinton, Democrat, 44.05
Union, Bill Clinton, Democrat, 51.54
Vermilion, Bill Clinton, Democrat, 47.8
Wabash, George H W Bush, Republican, 39.82
Warren, Bill Clinton, Democrat, 43.35
Washington, George H W Bush, Republican, 39.75
Wayne, George H W Bush, Republican, 42.93
White, Bill Clinton, Democrat, 48.89
Whiteside, Bill Clinton, Democrat, 45.41
Will, Bill Clinton, Democrat, 39.2
Williamson, Bill Clinton, Democrat, 49.93
Winnebago, Bill Clinton, Democrat, 43.04
Woodford, George H W Bush, Republican, 49.26
