Anderson, Bill Clinton, Democrat, 47.12
Bedford, Bill Clinton, Democrat, 52.34
Benton, Bill Clinton, Democrat, 63.72
Bledsoe, Bill Clinton, Democrat, 46.89
Blount, George H W Bush, Republican, 48.91
Bradley, George H W Bush, Republican, 55.66
Campbell, Bill Clinton, Democrat, 52.25
Cannon, Bill Clinton, Democrat, 59.87
Carroll, Bill Clinton, Democrat, 48.66
Carter, George H W Bush, Republican, 55.82
Cheatham, Bill Clinton, Democrat, 49.21
Chester, George H W Bush, Republican, 50.64
Claiborne, Bill Clinton, Democrat, 47.54
Clay, Bill Clinton, Democrat, 59.58
Cocke, George H W Bush, Republican, 52.98
Coffee, Bill Clinton, Democrat, 50.07
Crockett, Bill Clinton, Democrat, 49.6
Cumberland, George H W Bush, Republican, 45.06
Davidson, Bill Clinton, Democrat, 52.18
Decatur, Bill Clinton, Democrat, 56.49
DeKalb, Bill Clinton, Democrat, 65.19
Dickson, Bill Clinton, Democrat, 55.79
Dyer, Bill Clinton, Democrat, 45.71
Fayette, Bill Clinton, Democrat, 48.91
Fentress, Bill Clinton, Democrat, 47.4
Franklin, Bill Clinton, Democrat, 54.83
Gibson, Bill Clinton, Democrat, 52.12
Giles, Bill Clinton, Democrat, 57.26
Grainger, George H W Bush, Republican, 49.92
Greene, George H W Bush, Republican, 47.48
Grundy, Bill Clinton, Democrat, 68.33
Hamblen, George H W Bush, Republican, 49.84
Hamilton, George H W Bush, Republican, 46.47
Hancock, George H W Bush, Republican, 52.02
Hardeman, Bill Clinton, Democrat, 56.01
Hardin, Bill Clinton, Democrat, 45.65
Hawkins, George H W Bush, Republican, 47.64
Haywood, Bill Clinton, Democrat, 55.07
Henderson, George H W Bush, Republican, 52.29
Henry, Bill Clinton, Democrat, 56.2
Hickman, Bill Clinton, Democrat, 60.84
Houston, Bill Clinton, Democrat, 68.18
Humphreys, Bill Clinton, Democrat, 63.16
Jackson, Bill Clinton, Democrat, 75.34
Jefferson, George H W Bush, Republican, 50.02
Johnson, George H W Bush, Republican, 56.98
Knox, George H W Bush, Republican, 46.75
Lake, Bill Clinton, Democrat, 62.84
Lauderdale, Bill Clinton, Democrat, 55.94
Lawrence, Bill Clinton, Democrat, 49.16
Lewis, Bill Clinton, Democrat, 60
Lincoln, Bill Clinton, Democrat, 49.15
Loudon, George H W Bush, Republican, 47.7
Macon, Bill Clinton, Democrat, 51.71
Madison, George H W Bush, Republican, 47.66
Marion, Bill Clinton, Democrat, 55.51
Marshall, Bill Clinton, Democrat, 55.46
Maury, Bill Clinton, Democrat, 48.86
McMinn, George H W Bush, Republican, 46.61
McNairy, Bill Clinton, Democrat, 48.89
Meigs, Bill Clinton, Democrat, 48.02
Monroe, George H W Bush, Republican, 48.55
Montgomery, Bill Clinton, Democrat, 46.29
Moore, Bill Clinton, Democrat, 53.66
Morgan, Bill Clinton, Democrat, 51.58
Obion, Bill Clinton, Democrat, 50.51
Overton, Bill Clinton, Democrat, 67.49
Perry, Bill Clinton, Democrat, 64.71
Pickett, Bill Clinton, Democrat, 48.31
Polk, Bill Clinton, Democrat, 56.03
Putnam, Bill Clinton, Democrat, 50.54
Rhea, George H W Bush, Republican, 46.97
Roane, Bill Clinton, Democrat, 46.73
Robertson, Bill Clinton, Democrat, 53.86
Rutherford, Bill Clinton, Democrat, 44.73
Scott, George H W Bush, Republican, 46.91
Sequatchie, Bill Clinton, Democrat, 49.28
Sevier, George H W Bush, Republican, 55.08
Shelby, Bill Clinton, Democrat, 52.26
Smith, Bill Clinton, Democrat, 71.85
Stewart, Bill Clinton, Democrat, 64.28
Sullivan, George H W Bush, Republican, 50.55
Sumner, Bill Clinton, Democrat, 46.01
Tipton, George H W Bush, Republican, 49.26
Trousdale, Bill Clinton, Democrat, 69.29
Unicoi, George H W Bush, Republican, 51.87
Union, Bill Clinton, Democrat, 46.28
Van Buren, Bill Clinton, Democrat, 63.89
Warren, Bill Clinton, Democrat, 58.19
Washington, George H W Bush, Republican, 51.31
Wayne, George H W Bush, Republican, 56.11
Weakley, Bill Clinton, Democrat, 47.95
White, Bill Clinton, Democrat, 57.99
Williamson, George H W Bush, Republican, 54.77
Wilson, Bill Clinton, Democrat, 46.35
